sample_index,cluster,Activity
441,1,1
442,1,1
443,1,0
444,2,0
445,1,1
446,1,0
447,1,0
448,1,0
449,1,0
450,2,1
451,1,0
452,1,0
453,1,0
454,1,1
455,1,0
456,1,1
457,1,1
458,0,0
459,1,0
460,1,1
461,1,1
462,0,1
463,0,1
464,1,1
465,2,0
466,0,0
467,0,0
468,1,1
469,1,0
470,0,1
471,2,1
472,1,1
473,2,0
474,1,1
475,1,1
476,2,1
477,2,1
478,1,0
479,1,0
480,1,1
481,2,0
482,1,1
483,1,1
484,1,0
485,1,0
486,1,0
487,1,0
488,1,1
489,2,1
490,1,0
491,1,1
492,1,1
493,1,1
494,0,0
495,0,1
496,2,0
497,1,1
498,0,0
499,1,0
500,2,0
501,1,0
502,1,0
503,2,0
504,1,1
505,1,1
506,1,1
507,1,0
508,1,1
509,1,1
510,0,0
511,1,1
512,0,1
513,1,1
514,0,0
515,1,1
516,1,1
517,0,0
518,1,0
519,0,0
520,1,1
521,1,0
522,0,0
523,2,0
524,1,1
525,1,0
526,1,1
527,1,1
528,2,0
529,2,1
530,2,1
531,1,0
532,1,1
533,0,0
534,2,1
535,0,1
536,1,1
537,1,0
538,2,1
539,0,0
540,1,0
541,0,1
542,1,1
543,1,1
544,1,0
545,1,0
546,1,0
547,0,1
548,1,1
549,1,0
550,1,0
551,1,0
552,0,0
553,0,0
554,1,1
555,1,1
556,1,0
557,1,0
558,2,0
559,2,1
560,0,1
561,1,1
562,1,1
563,2,0
564,1,1
565,1,1
566,1,1
567,1,1
568,1,1
569,0,1
570,1,1
571,2,1
572,1,0
573,1,0
574,1,0
575,0,0
576,0,1
577,1,1
578,1,0
579,0,0
580,1,0
581,1,1
582,1,1
583,1,0
584,1,0
585,1,1
586,1,1
587,1,1
588,0,0
589,1,1
590,1,1
591,1,1
592,2,1
593,0,0
594,1,0
595,0,0
596,2,0
597,0,1
598,1,1
599,0,1
600,2,0
601,1,1
602,1,1
603,1,1
604,1,1
605,1,1
606,1,0
607,2,1
608,1,0
609,1,1
610,1,1
611,1,0
612,1,1
613,1,1
614,1,1
615,2,1
616,2,1
617,1,1
618,1,1
619,0,1
620,2,1
621,0,0
622,0,1
623,2,1
624,1,1
625,1,0
626,1,1
627,0,1
628,1,0
629,0,1
630,1,0
631,0,0
632,2,1
633,1,1
634,0,1
635,2,0
636,1,1
637,1,1
638,0,0
639,1,1
640,1,0
641,0,0
642,0,0
643,1,1
644,0,0
645,1,1
646,1,1
647,0,1
648,1,1
649,0,1
650,0,1
651,2,1
652,0,1
653,2,0
654,1,1
655,1,1
656,0,1
657,1,1
658,1,1
659,1,0
660,1,1
661,2,1
662,2,0
663,2,1
664,0,1
665,1,0
666,2,1
667,0,1
668,2,0
669,0,0
670,0,1
671,1,1
672,1,1
673,1,1
674,1,1
675,1,1
676,1,1
677,1,1
678,1,1
679,1,0
680,1,1
681,1,1
682,1,0
683,1,0
684,1,0
685,1,0
686,1,1
687,1,1
688,2,1
689,1,1
690,0,1
691,1,1
692,1,1
693,1,1
694,1,1
695,1,0
696,1,0
697,0,1
698,0,0
699,0,0
700,2,1
701,0,0
702,1,0
703,2,1
704,2,0
705,1,1
706,0,1
707,0,1
708,1,0
709,1,1
710,1,1
711,0,0
712,1,1
713,1,1
714,1,1
715,0,0
716,1,1
717,0,0
718,1,1
719,0,1
720,1,0
721,1,0
722,1,0
723,0,1
724,1,0
725,2,0
726,1,1
727,0,1
728,1,1
729,2,1
730,2,0
731,1,1
732,2,1
733,1,1
734,2,1
735,2,0
736,0,1
737,1,0
738,1,1
739,1,1
740,2,1
741,0,0
742,1,0
743,1,1
744,1,1
745,2,1
746,2,0
747,1,0
748,1,0
749,0,0
750,2,0
751,1,1
752,1,1
753,1,1
754,1,0
755,0,1
756,1,1
757,1,1
758,1,0
759,0,0
760,0,0
761,2,1
762,1,0
763,2,0
764,1,0
765,2,1
766,0,0
767,2,1
768,1,0
769,1,0
770,1,1
771,1,0
772,1,0
773,1,1
774,1,0
775,1,1
776,1,0
777,2,0
778,1,1
779,1,1
780,1,0
781,1,1
782,2,1
783,2,1
784,1,1
785,2,0
786,1,1
787,0,0
788,1,1
789,1,1
790,2,0
791,0,0
792,1,0
793,1,1
794,1,0
795,2,1
796,1,1
797,1,1
798,1,0
799,1,1
800,1,1
801,1,0
802,1,0
803,1,1
804,1,1
805,2,1
806,0,0
807,2,0
808,2,0
809,1,1
810,1,1
811,1,1
812,1,1
813,1,1
814,1,0
815,1,0
816,0,0
817,1,1
818,1,0
819,0,1
820,2,1
821,1,1
822,0,0
823,2,1
824,1,1
825,1,1
826,1,0
827,1,1
828,1,1
829,2,0
830,0,1
831,1,1
832,1,1
833,0,0
834,0,0
835,1,1
836,0,0
837,2,0
838,1,1
839,2,1
840,2,1
841,0,1
842,1,1
843,1,1
844,0,1
845,0,0
846,2,1
847,1,0
848,0,0
849,2,1
850,0,0
851,1,0
852,0,0
853,0,1
854,2,0
855,1,1
856,2,0
857,2,1
858,0,0
859,0,0
860,0,1
861,1,0
862,1,0
863,2,0
864,0,0
865,1,1
866,0,1
867,2,0
868,1,0
869,0,0
870,2,1
871,2,0
872,2,1
873,0,0
874,1,1
875,0,0
876,0,0
877,0,0
878,0,0
879,0,1
880,1,0
881,1,1
882,2,1
883,1,0
884,1,0
885,1,1
886,2,1
887,2,0
888,1,1
889,1,0
890,1,0
891,1,0
892,1,1
893,0,0
894,0,0
895,2,0
896,0,1
897,1,1
898,0,0
899,1,1
900,1,0
901,1,0
902,1,0
903,1,0
904,1,0
905,1,1
906,1,0
907,1,1
908,2,1
909,0,1
910,1,1
911,1,1
912,1,0
913,0,1
914,0,1
915,0,1
916,1,0
917,1,1
918,1,1
919,1,0
920,1,1
921,1,0
922,1,0
923,0,0
924,0,0
925,1,1
926,0,1
927,1,1
928,0,0
929,0,0
930,0,0
931,1,1
932,1,1
933,1,1
934,2,0
935,2,0
936,0,1
937,0,0
938,1,1
939,2,0
940,2,1
941,1,0
942,1,1
943,0,0
944,1,1
945,1,0
946,1,1
947,0,1
948,2,1
949,2,1
950,1,1
951,0,1
952,0,0
953,2,1
954,0,1
955,2,1
956,2,0
957,0,1
958,1,1
959,1,0
960,0,0
961,2,1
962,1,1
963,1,1
964,2,0
965,0,1
966,2,0
967,1,0
968,1,1
969,1,1
970,1,0
971,0,1
972,2,0
973,1,0
974,0,1
975,1,1
976,2,1
977,1,1
978,2,0
979,1,0
980,1,1
981,1,1
982,1,1
983,1,1
984,1,0
985,1,1
986,1,0
987,1,0
988,2,1
989,0,0
990,0,0
991,0,0
992,1,0
993,1,1
994,2,0
995,1,0
996,1,0
997,1,0
998,1,0
999,1,0
1000,0,0
1001,0,0
1002,1,1
1003,1,1
1004,1,0
1005,0,1
1006,0,0
1007,1,1
1008,1,0
1009,1,0
1010,1,1
1011,1,1
1012,2,0
1013,1,0
1014,0,0
1015,1,0
1016,1,1
1017,1,0
1018,1,1
1019,1,1
1020,1,1
1021,1,1
1022,0,0
1023,0,0
1024,2,0
1025,0,0
1026,2,0
1027,1,1
1028,2,0
1029,2,0
1030,1,1
1031,2,1
1032,1,0
1033,1,0
1034,1,0
1035,1,0
1036,2,0
1037,1,1
1038,1,0
1039,1,1
1040,1,0
1041,1,1
1042,1,0
1043,2,1
1044,1,1
1045,1,0
1046,1,0
1047,1,0
1048,2,1
1049,0,0
1050,1,1
1051,2,0
1052,2,0
1053,2,0
1054,0,1
1055,1,0
1056,1,1
1057,0,0
1058,1,0
1059,1,1
1060,1,0
1061,2,0
1062,1,1
1063,2,1
1064,1,1
1065,1,1
1066,1,0
1067,1,0
1068,1,1
1069,1,1
1070,1,1
1071,0,0
1072,2,0
1073,2,1
1074,0,0
1075,0,1
1076,1,1
1077,1,0
1078,1,1
1079,1,1
1080,1,1
1081,2,0
1082,2,0
1083,0,0
1084,1,1
1085,1,1
1086,1,0
1087,2,1
1088,1,1
1089,1,0
1090,1,1
1091,1,0
1092,2,0
1093,1,1
1094,0,1
1095,1,1
1096,1,0
1097,1,0
1098,0,1
1099,0,0
1100,0,1
1101,0,1
1102,1,1
1103,2,1
1104,1,1
1105,1,1
1106,1,1
1107,1,0
1108,1,1
1109,0,1
1110,0,1
1111,0,0
1112,1,0
1113,1,0
1114,0,0
1115,1,0
1116,1,1
1117,1,1
1118,1,0
1119,1,1
1120,2,0
1121,0,0
1122,1,0
1123,1,0
1124,1,0
1125,2,1
1126,1,1
1127,1,1
1128,1,1
1129,1,1
1130,0,1
1131,0,0
1132,1,1
1133,2,0
1134,1,1
1135,0,0
1136,1,1
1137,1,1
1138,0,0
1139,1,0
1140,0,0
1141,1,1
1142,0,1
1143,1,0
1144,0,0
1145,1,0
1146,1,0
1147,2,1
1148,1,0
1149,1,0
1150,1,1
1151,1,0
1152,1,0
1153,1,1
1154,2,1
1155,1,0
1156,0,1
1157,1,1
1158,1,0
1159,1,1
1160,1,0
1161,2,1
1162,0,0
1163,1,1
1164,1,1
1165,0,1
1166,1,0
1167,0,1
1168,0,0
1169,1,1
1170,0,1
1171,1,1
1172,1,1
1173,1,1
1174,1,1
1175,1,1
1176,1,1
1177,1,1
1178,1,0
1179,0,0
1180,1,1
1181,1,0
1182,2,1
1183,0,0
1184,0,0
1185,0,1
1186,1,0
1187,0,0
1188,1,1
1189,1,0
1190,0,1
1191,0,0
1192,0,0
1193,2,0
1194,1,1
1195,1,0
1196,1,1
1197,1,1
1198,0,1
1199,1,1
1200,0,0
1201,1,1
1202,1,1
1203,0,1
1204,1,1
1205,2,0
1206,1,0
1207,1,0
1208,1,1
1209,2,0
1210,0,1
1211,1,0
1212,0,0
1213,1,0
1214,0,1
1215,0,0
1216,1,1
1217,1,1
1218,1,1
1219,0,0
1220,0,1
1221,0,0
1222,0,1
1223,1,0
1224,1,1
1225,0,1
1226,2,1
1227,0,0
1228,1,1
1229,1,1
1230,1,0
1231,1,0
1232,0,0
1233,1,1
1234,1,0
1235,1,1
1236,0,1
1237,1,1
1238,2,0
1239,1,1
1240,1,0
1241,1,0
1242,1,1
1243,1,1
1244,0,0
1245,1,1
1246,1,0
1247,1,0
1248,2,1
1249,1,0
1250,2,1
1251,1,0
1252,1,1
1253,1,1
1254,0,0
1255,1,1
1256,1,0
1257,0,0
1258,1,1
1259,1,1
1260,1,1
1261,2,0
1262,2,0
1263,1,1
1264,2,1
1265,1,1
1266,1,1
1267,1,1
1268,2,0
1269,2,1
1270,1,1
1271,1,1
1272,2,0
1273,0,1
1274,1,0
1275,1,0
1276,1,1
1277,2,1
1278,0,0
1279,2,1
1280,1,1
1281,0,1
1282,2,0
1283,1,1
1284,2,0
1285,0,0
1286,2,1
1287,1,0
1288,2,0
1289,1,1
1290,1,1
1291,0,1
1292,1,0
1293,1,0
1294,0,0
1295,2,0
1296,1,0
1297,0,1
1298,0,0
1299,1,0
1300,1,1
1301,1,1
1302,1,0
1303,0,0
1304,2,0
1305,2,0
1306,2,1
1307,1,1
1308,1,0
1309,1,0
1310,1,1
1311,1,1
1312,1,1
1313,2,1
1314,1,0
1315,0,0
1316,2,1
1317,1,0
1318,0,1
1319,1,0
1320,1,1
1321,1,0
1322,1,0
1323,1,1
1324,1,0
1325,1,1
1326,1,1
1327,2,0
1328,1,0
1329,2,1
1330,1,1
1331,2,1
1332,1,1
1333,0,0
1334,1,1
1335,0,0
1336,0,1
1337,1,0
1338,1,1
1339,2,1
1340,1,0
1341,0,0
1342,0,0
1343,1,1
1344,1,1
1345,1,1
1346,0,0
1347,0,0
1348,1,1
1349,1,0
1350,0,0
1351,1,1
1352,2,1
1353,1,1
1354,0,1
1355,2,1
1356,0,0
1357,0,1
1358,0,0
1359,1,0
1360,1,1
1361,1,0
1362,1,1
1363,0,1
1364,2,0
1365,0,0
1366,0,0
1367,1,0
1368,1,1
1369,1,0
1370,0,0
1371,1,1
1372,2,0
1373,1,0
1374,1,1
1375,1,1
1376,2,0
1377,1,1
1378,1,1
1379,1,1
1380,1,1
1381,0,1
1382,2,0
1383,1,1
1384,0,0
1385,0,0
1386,1,0
1387,1,1
1388,2,0
1389,2,0
1390,1,1
1391,1,0
1392,0,0
1393,1,0
1394,2,0
1395,1,1
1396,1,0
1397,1,1
1398,2,1
1399,2,1
1400,0,0
1401,1,1
1402,1,0
1403,0,0
1404,1,0
1405,0,1
1406,1,1
1407,2,0
1408,0,0
1409,1,1
1410,1,0
1411,1,1
1412,1,1
1413,1,1
1414,1,0
1415,2,0
1416,0,0
1417,1,1
1418,1,1
1419,1,1
1420,1,1
1421,1,0
1422,2,0
1423,2,0
1424,1,0
1425,0,0
1426,0,0
1427,0,1
1428,1,1
1429,2,0
1430,2,0
1431,2,1
1432,1,1
1433,1,1
1434,1,1
1435,1,1
1436,2,1
1437,0,1
1438,1,1
1439,1,1
1440,1,1
1441,1,1
1442,1,0
1443,1,1
1444,2,1
1445,0,0
1446,0,1
1447,0,0
1448,0,0
1449,1,0
1450,1,1
1451,1,1
1452,0,0
1453,0,0
1454,1,1
1455,2,1
1456,0,0
1457,0,0
1458,1,1
1459,0,0
1460,1,0
1461,1,0
1462,1,1
1463,1,0
1464,1,1
1465,0,0
1466,2,0
1467,1,1
1468,0,0
1469,1,1
1470,1,1
1471,2,1
1472,1,1
1473,1,1
1474,1,0
1475,2,0
1476,2,0
1477,1,0
1478,0,0
1479,0,0
1480,0,0
1481,2,0
1482,2,1
1483,0,0
1484,1,0
1485,0,1
1486,1,1
1487,1,0
1488,0,0
1489,2,1
1490,1,0
1491,1,0
1492,1,1
1493,1,0
1494,2,1
1495,1,1
1496,1,1
1497,1,1
1498,0,1
1499,0,1
1500,2,0
1501,0,1
1502,1,1
1503,2,1
1504,1,1
1505,1,1
1506,0,0
1507,1,1
1508,1,1
1509,1,1
1510,0,0
1511,0,0
1512,2,1
1513,0,0
1514,1,0
1515,1,1
1516,1,1
1517,0,0
1518,1,0
1519,1,0
1520,0,0
1521,0,1
1522,1,0
1523,0,0
1524,0,0
1525,1,1
1526,1,0
1527,1,1
1528,1,1
1529,1,0
1530,0,1
1531,0,0
1532,0,1
1533,1,1
1534,1,1
1535,1,1
1536,0,1
1537,1,0
1538,1,1
1539,0,0
1540,2,1
1541,0,1
1542,0,1
1543,0,1
1544,1,1
1545,0,0
1546,2,0
1547,0,1
1548,0,1
1549,1,1
1550,1,0
1551,2,0
1552,1,0
1553,1,1
1554,2,1
1555,1,1
1556,1,1
1557,1,0
1558,0,0
1559,0,1
1560,2,0
1561,2,0
1562,1,1
1563,1,0
1564,2,0
1565,1,1
1566,0,1
1567,1,1
1568,1,1
1569,2,0
1570,1,0
1571,0,0
1572,1,0
1573,1,0
1574,2,1
1575,2,1
1576,1,0
1577,0,0
1578,1,1
1579,1,1
1580,2,0
1581,1,1
1582,1,1
1583,1,1
1584,1,1
1585,1,1
1586,1,1
1587,1,0
1588,1,1
1589,0,1
1590,1,1
1591,2,0
1592,0,0
1593,1,1
1594,1,1
1595,1,1
1596,0,0
1597,2,0
1598,1,1
1599,0,1
1600,1,0
1601,2,0
1602,2,1
1603,1,0
1604,1,1
1605,0,1
1606,2,0
1607,2,0
1608,1,0
1609,0,0
1610,1,0
1611,1,1
1612,0,0
1613,1,0
1614,2,1
1615,1,0
1616,1,0
1617,1,0
1618,0,1
1619,1,1
1620,1,1
1621,2,0
1622,0,0
1623,1,1
1624,0,0
1625,1,1
1626,0,0
1627,1,1
1628,2,0
1629,1,1
1630,2,0
1631,1,1
1632,1,1
1633,2,1
1634,0,0
1635,1,1
1636,2,0
1637,0,0
1638,1,0
1639,1,1
1640,1,0
1641,0,1
1642,1,0
1643,1,1
1644,2,0
1645,0,1
1646,2,0
1647,1,0
1648,2,0
1649,1,1
1650,1,1
1651,1,1
1652,1,1
1653,1,1
1654,0,1
1655,2,0
1656,0,1
1657,0,0
1658,1,1
1659,1,0
1660,1,0
1661,1,1
1662,0,1
1663,1,1
1664,0,0
1665,1,0
1666,2,1
1667,1,1
1668,1,1
1669,2,0
1670,1,0
1671,0,1
1672,1,1
1673,2,1
1674,1,0
1675,2,1
1676,1,0
1677,1,1
1678,1,1
1679,1,0
1680,1,1
1681,0,1
1682,2,1
1683,2,1
1684,1,1
1685,2,1
1686,1,0
1687,2,0
1688,0,0
1689,1,0
1690,1,1
1691,0,1
1692,1,1
1693,1,1
1694,1,0
1695,0,1
1696,0,0
1697,1,0
1698,1,0
1699,1,0
1700,2,0
1701,2,1
1702,2,1
1703,0,0
1704,0,0
1705,1,1
1706,0,0
1707,1,1
1708,1,0
1709,0,0
1710,0,1
1711,0,1
1712,1,1
1713,1,0
1714,0,0
1715,2,1
1716,1,1
1717,1,0
1718,0,0
1719,1,1
1720,2,0
1721,1,1
1722,0,0
1723,0,0
1724,0,1
1725,1,0
1726,1,1
1727,1,1
1728,0,0
1729,0,1
1730,1,1
1731,1,1
1732,1,0
1733,1,1
1734,1,1
1735,1,1
1736,1,1
1737,1,0
1738,1,1
1739,1,1
1740,1,1
1741,0,0
1742,2,1
1743,0,0
1744,2,0
1745,0,0
1746,1,1
1747,1,1
1748,2,0
1749,1,0
1750,1,0
1751,0,1
1752,1,0
1753,1,1
1754,1,0
1755,0,0
1756,1,0
1757,2,1
1758,0,1
1759,1,1
1760,1,1
1761,1,1
1762,1,1
1763,2,1
1764,2,1
1765,1,1
1766,0,1
1767,1,1
1768,1,0
1769,0,1
1770,1,0
1771,1,0
1772,2,0
1773,1,1
1774,0,1
1775,1,0
1776,0,1
1777,1,0
1778,1,1
1779,2,0
1780,2,0
1781,0,1
1782,1,0
1783,1,1
1784,1,0
1785,2,0
1786,1,1
1787,1,1
1788,0,1
1789,1,1
1790,2,0
1791,1,0
1792,1,1
1793,2,0
1794,0,1
1795,1,0
1796,2,1
1797,0,0
1798,1,1
1799,2,1
1800,1,1
1801,2,1
1802,1,0
1803,0,0
1804,1,0
1805,2,1
1806,1,1
1807,1,0
1808,1,1
1809,2,1
1810,1,0
1811,1,1
1812,1,1
1813,1,0
1814,2,1
1815,0,1
1816,2,1
1817,2,1
1818,0,0
1819,1,1
1820,1,1
1821,2,1
1822,2,0
1823,0,1
1824,1,0
1825,1,0
1826,1,0
1827,1,1
1828,0,1
1829,1,0
1830,1,0
1831,1,0
1832,0,1
1833,0,0
1834,1,1
1835,1,1
1836,1,0
1837,1,1
1838,1,1
1839,2,0
1840,2,0
1841,1,0
1842,1,0
1843,1,0
1844,0,1
1845,0,0
1846,1,1
1847,1,1
1848,1,0
1849,1,1
1850,0,0
1851,1,1
1852,2,0
1853,2,0
1854,1,1
1855,0,0
1856,0,1
1857,2,1
1858,1,0
1859,0,0
1860,1,1
1861,1,1
1862,0,0
1863,0,1
1864,1,1
1865,1,0
1866,1,0
1867,0,1
1868,1,1
1869,0,0
1870,1,1
1871,0,0
1872,0,1
1873,1,0
1874,1,1
1875,1,0
1876,1,1
1877,1,1
1878,2,0
1879,0,0
1880,1,1
1881,0,1
1882,1,0
1883,0,0
1884,1,1
1885,1,0
1886,0,1
1887,0,0
1888,1,1
1889,2,0
1890,1,1
1891,0,0
1892,2,0
1893,1,1
1894,1,0
1895,0,1
1896,1,1
1897,1,1
1898,1,0
1899,1,0
1900,2,1
1901,2,1
1902,1,1
1903,2,1
1904,2,0
1905,1,0
1906,2,1
1907,1,1
1908,2,1
1909,1,1
1910,0,1
1911,2,0
1912,0,1
1913,1,1
1914,1,0
1915,2,1
1916,1,0
1917,1,1
1918,1,0
1919,2,0
1920,1,0
1921,0,1
1922,2,1
1923,1,0
1924,1,1
1925,0,1
1926,0,0
1927,0,0
1928,1,0
1929,1,1
1930,0,0
1931,0,0
1932,1,0
1933,0,0
1934,0,0
1935,1,1
1936,0,0
1937,2,0
1938,1,0
1939,2,0
1940,1,0
1941,1,1
1942,1,0
1943,1,0
1944,1,1
1945,0,0
1946,1,0
1947,1,0
1948,1,0
1949,1,1
1950,2,1
1951,0,0
1952,1,0
1953,2,0
1954,1,0
1955,1,1
1956,2,1
1957,1,1
1958,0,1
1959,0,0
1960,0,0
1961,1,1
1962,1,1
1963,1,1
1964,1,1
1965,2,1
1966,2,0
1967,1,1
1968,1,1
1969,2,0
1970,1,1
1971,0,1
1972,1,1
1973,1,1
1974,1,0
1975,1,1
1976,1,1
1977,0,1
1978,1,1
1979,0,0
1980,1,1
1981,2,0
1982,1,1
1983,1,1
1984,1,1
1985,0,1
1986,1,1
1987,0,1
1988,0,1
1989,1,1
1990,1,0
1991,1,0
1992,1,1
1993,1,1
1994,1,1
1995,1,0
1996,1,0
1997,1,0
1998,1,0
1999,0,1
2000,0,0
2001,1,1
2002,1,1
2003,1,0
2004,2,0
2005,1,1
2006,2,1
2007,1,1
2008,0,1
2009,0,0
2010,1,0
2011,1,1
2012,0,1
2013,1,1
2014,1,1
2015,1,0
2016,0,1
2017,0,1
2018,2,1
2019,1,1
2020,2,1
2021,2,1
2022,0,0
2023,1,0
2024,2,0
2025,1,0
2026,0,0
2027,1,1
2028,2,0
2029,1,1
2030,1,1
2031,1,1
2032,0,0
2033,0,0
2034,1,1
2035,0,1
2036,2,0
2037,1,0
2038,0,0
2039,0,0
2040,0,0
2041,2,1
2042,1,0
2043,1,1
2044,1,1
2045,1,1
2046,0,1
2047,1,1
2048,1,1
2049,1,1
2050,1,1
2051,1,1
2052,1,1
2053,1,1
2054,0,0
2055,1,1
2056,1,1
2057,0,1
2058,2,1
2059,0,0
2060,0,1
2061,0,0
2062,0,1
2063,2,0
2064,0,0
2065,0,0
2066,1,0
2067,1,0
2068,1,1
2069,0,1
2070,1,1
2071,1,0
2072,0,0
2073,1,1
2074,1,1
2075,2,1
2076,0,1
2077,2,1
2078,2,1
2079,2,0
2080,0,1
2081,1,1
2082,2,1
2083,0,0
2084,1,1
2085,0,1
2086,1,0
2087,1,0
2088,1,1
2089,0,0
2090,0,1
2091,1,1
2092,1,0
2093,1,1
2094,1,1
2095,0,0
2096,2,0
2097,1,0
2098,2,1
2099,1,0
2100,2,1
2101,1,1
2102,1,0
2103,1,1
2104,2,1
2105,2,1
2106,1,1
2107,1,1
2108,1,0
2109,1,0
2110,0,0
2111,1,1
2112,1,0
2113,2,1
2114,1,0
2115,1,1
2116,1,1
2117,0,1
2118,1,0
2119,2,0
2120,1,0
2121,2,0
2122,1,1
2123,2,1
2124,2,1
2125,1,0
2126,1,0
2127,2,1
2128,1,0
2129,1,1
2130,0,1
2131,2,0
2132,2,1
2133,1,0
2134,0,0
2135,0,0
2136,0,0
2137,1,0
2138,1,0
