feature,column_cluster,is_binary
D165,0,False
D166,0,False
D167,0,False
D168,0,False
D169,0,False
D170,0,True
D172,0,False
D173,0,False
D174,0,False
D175,0,False
D177,1,False
D178,2,False
D180,1,False
D181,2,False
D182,0,False
D183,2,False
D185,0,False
D186,0,False
D187,2,False
D189,1,False
D190,2,False
D191,0,False
D192,0,False
D194,1,False
D195,3,False
D196,1,False
D197,0,False
D198,3,False
D199,1,False
D200,2,False
D201,2,False
D202,2,False
D203,3,False
D204,1,False
D205,2,False
D206,0,False
D207,2,False
D208,2,False
D209,1,False
D210,2,False
D211,0,False
D212,3,False
D213,0,False
D214,0,False
D215,3,False
D216,0,False
D217,2,False
D218,1,False
D219,3,False
D220,0,False
D221,0,False
D222,2,False
D223,0,False
D224,0,False
D225,0,False
D226,0,False
D227,0,False
D228,0,False
D229,0,False
D231,0,False
D233,0,False
D236,0,False
D237,0,False
D246,0,False
D248,0,False
D249,0,False
D250,0,False
D251,0,False
D258,0,False
D259,0,False
D260,0,False
D261,0,False
D262,0,False
D263,0,False
D264,0,False
D265,0,False
D266,0,False
D267,0,False
D268,0,False
D270,0,False
D272,0,False
D273,0,False
D274,0,False
D278,0,False
D279,0,False
D280,0,False
D281,0,False
D282,0,False
D283,0,False
D287,0,False
D288,0,False
D289,0,False
D290,0,False
D291,0,False
D292,0,False
D309,0,False
D310,0,False
D311,0,False
D312,0,False
D313,0,False
D314,0,False
D315,0,False
D316,0,False
D317,0,False
D318,0,False
D319,0,False
D320,0,False
D321,0,False
D325,0,False
D326,0,False
D327,0,False
D328,0,False
D329,0,False
D330,0,False
D334,0,False
D335,0,False
D336,0,False
D337,0,False
D338,0,False
D339,0,False
D340,0,False
D341,0,False
D342,0,False
D343,0,False
D344,0,False
D346,0,False
D347,0,False
D348,0,False
D349,0,False
D350,0,False
D351,0,False
D352,0,False
D359,0,False
D360,0,False
D361,0,False
D362,0,False
D363,0,False
D364,0,False
D365,0,False
D366,0,False
D367,0,False
D373,0,False
D374,0,False
D375,0,False
D376,0,False
D377,0,False
D378,0,False
D379,0,False
D380,0,False
D381,0,False
D382,0,False
D383,0,False
D386,0,False
D387,0,False
D388,0,False
D389,0,False
D390,0,False
D391,0,False
D392,0,False
D393,0,False
D394,0,False
D395,0,False
D396,0,False
D400,0,False
D409,0,False
D410,0,False
D415,0,False
D416,0,False
D417,0,False
D418,0,False
D419,0,False
D420,0,False
D421,0,False
D422,0,False
D423,0,False
D424,0,False
D426,0,False
D427,0,False
D428,0,False
D429,0,False
D430,0,False
D431,0,False
D432,0,False
D433,0,False
D434,0,False
D435,0,False
D436,0,False
D440,0,False
D441,0,False
D442,0,False
D443,0,False
D444,0,False
D445,0,False
D446,0,False
D447,0,False
D448,0,False
D449,0,False
D451,0,False
D452,0,False
D453,0,False
D454,0,False
D455,0,False
D456,0,False
D457,0,False
D458,0,False
D459,0,False
D460,0,False
D461,0,False
D462,0,False
D463,0,False
D464,0,False
D465,0,False
D466,0,False
D467,0,False
D469,0,False
D470,0,False
D471,0,False
D472,0,False
D473,0,False
D474,0,False
D475,0,False
D476,0,False
D477,0,False
D478,0,False
D479,0,False
D480,0,False
D481,0,False
D482,0,False
D486,0,False
D491,0,False
D492,0,False
D493,0,False
D494,0,False
D495,0,False
D496,0,False
D497,0,False
D498,0,False
D499,0,False
D504,0,False
D505,0,False
D508,0,False
D512,0,False
D513,0,False
D514,0,False
D515,0,False
D516,0,False
D517,0,False
D518,0,False
D519,0,False
D520,0,False
D521,0,False
D522,0,False
D523,0,False
D524,0,False
D525,0,False
D526,0,False
D527,0,False
D528,0,False
D529,0,False
D530,0,False
D531,0,False
D532,0,False
D534,0,False
D535,0,False
D536,0,False
D537,0,False
D538,0,False
D539,0,False
D542,0,False
D543,0,False
D544,0,False
D545,0,False
D546,0,False
D547,0,False
D548,0,False
D549,0,False
D550,0,False
D551,0,False
D552,0,False
D553,0,False
D554,0,False
D555,0,False
D556,0,False
D557,0,False
D558,0,False
D559,0,False
D560,0,False
D561,0,False
D562,0,False
D563,0,False
D564,0,False
D565,0,False
D567,0,False
D568,0,True
D569,0,False
D578,0,False
D579,0,False
D582,0,False
D583,0,False
D584,0,False
D585,0,False
D586,0,False
D587,0,False
D588,0,False
D589,0,False
D590,0,False
D591,0,False
D592,0,False
D593,0,False
D594,0,False
D595,0,False
D596,0,False
D597,0,False
D598,0,False
D599,0,False
D600,0,False
D601,0,False
D602,0,False
D607,0,False
D608,0,False
D609,0,False
D610,0,False
D611,0,False
D612,0,False
D613,0,False
D614,0,False
D615,0,False
D616,0,False
D621,0,False
D622,0,False
D623,0,False
D624,0,False
D625,0,False
D626,0,False
D627,0,False
D628,0,False
D629,0,False
D630,0,False
D631,0,False
D635,0,False
D636,0,False
D643,0,False
D649,0,False
D650,0,False
D651,0,False
D652,0,False
D653,0,False
D654,0,False
D659,3,False
D660,0,False
D661,0,False
D662,0,False
D663,0,False
D664,0,False
D665,0,False
D666,0,False
D667,0,False
D668,0,False
D669,0,False
D672,0,False
D673,0,False
D674,0,False
D675,0,False
D676,0,False
D677,0,False
D678,0,False
D679,0,False
D680,0,False
D681,0,False
D685,0,False
D686,0,False
D687,0,False
D688,0,False
D689,0,False
D690,0,False
D691,0,False
D692,0,False
D693,0,False
D694,0,False
D697,0,False
D698,0,False
D699,0,False
D700,0,False
D701,0,False
D702,0,False
D703,0,False
D704,0,False
D705,0,False
D706,0,False
D707,0,False
D708,0,False
D709,0,False
D710,0,False
D711,0,False
D712,0,False
D728,0,False
D729,0,False
D730,0,False
D731,0,False
D732,0,False
D733,0,False
D734,0,False
D739,0,False
D740,0,False
D741,0,False
D742,0,False
D743,0,False
D747,0,False
D748,0,False
D749,0,False
D750,0,False
D751,0,False
D752,0,False
D753,0,False
D754,0,False
D755,0,False
D756,0,False
D757,0,False
D758,0,False
D759,0,False
D760,0,False
D762,0,False
D763,0,False
D764,0,False
D765,0,False
D766,0,False
D767,0,False
D768,0,False
D769,0,False
D770,0,False
D771,0,False
D772,0,False
D773,0,False
D774,0,False
D775,0,False
D776,0,False
D777,0,False
D778,0,False
D780,0,False
D791,0,False
D792,0,False
D793,0,False
D794,0,False
D795,0,False
D796,0,False
D797,0,False
D798,0,False
D802,0,False
D803,0,False
D806,0,False
D807,0,False
D808,0,False
D809,0,False
D810,0,False
D811,0,False
D812,0,False
D813,0,False
D814,0,False
D815,0,False
D816,0,False
D817,0,False
D818,0,False
D819,0,False
D832,0,False
D833,0,False
D841,0,False
D842,0,False
D843,0,False
D844,0,False
D845,0,False
D846,0,False
D848,0,False
D849,0,False
D850,0,False
D855,0,False
D863,0,False
D864,0,False
D865,0,False
D866,0,False
D867,0,False
D876,0,False
D880,0,False
D881,0,False
D882,0,False
D883,0,False
D884,0,False
D889,0,False
D890,0,False
D891,0,False
D892,0,False
D893,0,False
D894,0,False
D895,0,False
D896,0,False
D897,0,False
D898,0,False
D900,0,False
D901,0,False
D902,0,False
D903,0,False
D904,0,False
D905,0,False
D906,0,False
D907,0,False
D908,0,False
D911,3,False
D912,0,False
D913,0,False
D914,0,False
D915,0,False
D916,0,False
D917,0,False
D918,0,False
D919,0,False
D920,0,False
D925,0,False
D926,0,False
D927,0,False
D928,0,False
D929,0,False
D932,0,False
D933,0,False
D934,0,False
D935,0,False
D936,0,False
D937,0,False
D938,0,False
D939,0,False
D940,0,False
D941,0,False
D942,0,False
D943,0,False
D944,0,False
D946,0,False
D947,0,False
D948,0,False
D949,3,False
D950,0,False
D951,3,False
D952,1,True
D953,3,True
D954,1,True
D955,1,True
D956,1,True
D957,3,True
D958,1,True
D959,1,True
D960,1,True
D961,2,True
D962,1,True
D963,1,True
D964,1,True
D965,2,True
D966,1,True
D967,1,True
D968,1,True
D969,2,True
D970,1,True
D971,0,True
D972,2,True
D973,1,True
D974,2,True
D975,1,True
D976,1,True
D977,1,True
D978,1,True
D979,2,True
D980,2,True
D981,2,True
D982,0,True
D983,1,True
D984,3,True
D985,1,True
D986,1,True
D987,1,True
D988,1,True
D989,2,True
D990,2,True
D991,1,True
D992,2,True
D993,1,True
D994,1,True
D995,1,True
D996,1,True
D997,1,True
D998,2,True
D999,1,True
D1000,1,True
D1001,2,True
D1002,1,True
D1003,1,True
D1004,2,True
D1005,2,True
D1006,1,True
D1007,1,True
D1008,1,True
D1009,1,True
D1010,1,True
D1011,1,True
D1012,1,True
D1013,1,True
D1014,1,True
D1015,1,True
D1016,2,True
D1017,1,True
D1018,1,True
D1019,1,True
D1020,1,True
D1021,1,True
D1022,2,True
D1023,1,True
D1024,1,True
D1025,0,True
D1026,1,True
D1027,1,True
D1028,1,True
D1029,1,True
D1030,1,True
D1031,2,True
D1032,1,True
D1033,1,True
D1034,2,True
D1035,0,True
D1036,2,True
D1037,1,True
D1038,1,True
D1039,1,True
D1040,1,True
D1041,1,True
D1042,1,True
D1043,3,True
D1044,2,True
D1045,1,True
D1046,1,True
D1047,1,True
D1048,1,True
D1049,1,True
D1050,1,True
D1051,2,True
D1052,1,True
D1053,3,True
D1054,1,True
D1055,1,True
D1056,1,True
D1057,2,True
D1058,1,True
D1059,1,True
D1060,1,True
D1061,1,True
D1062,1,True
D1063,1,True
D1064,1,True
D1065,0,True
D1066,1,True
D1067,1,True
D1068,1,True
D1069,1,True
D1070,1,True
D1071,1,True
D1072,1,True
D1073,1,True
D1074,3,True
D1075,2,True
D1076,1,True
D1077,2,True
D1078,1,True
D1079,0,True
D1080,3,True
D1081,0,True
D1082,0,True
D1083,1,True
D1084,1,True
D1085,0,True
D1086,3,True
D1087,1,True
D1088,1,True
D1089,1,True
D1090,1,True
D1091,1,True
D1092,3,True
D1093,3,True
D1094,1,True
D1095,1,True
D1096,2,True
D1097,3,True
D1098,1,True
D1099,3,True
D1100,1,True
D1101,3,True
D1102,3,True
D1103,3,True
D1104,3,True
D1105,3,True
D1106,1,True
D1107,3,True
D1108,1,True
D1109,2,True
D1110,3,True
D1111,3,True
D1112,3,True
D1113,3,True
D1114,3,True
D1115,3,True
D1116,1,True
D1117,1,True
D1118,1,True
D1119,3,True
D1120,1,True
D1121,1,True
D1122,0,True
D1123,3,True
D1124,1,True
D1125,1,True
D1126,3,True
D1127,3,True
D1128,2,True
D1129,0,True
D1130,1,True
D1131,1,True
D1132,0,True
D1133,1,True
D1134,3,True
D1135,3,True
D1136,3,True
D1137,0,True
D1138,3,True
D1139,3,True
D1140,1,True
D1141,1,True
D1142,1,True
D1143,1,True
D1144,1,True
D1145,1,True
D1146,3,True
D1147,1,True
D1148,3,True
D1149,1,True
D1150,1,True
D1151,1,True
D1152,1,True
D1153,3,True
D1154,3,True
D1155,1,True
D1156,3,True
D1157,1,True
D1158,1,True
D1159,1,True
D1160,1,True
D1161,1,True
D1162,3,True
D1163,1,True
D1164,1,True
D1165,1,True
D1166,1,True
D1167,1,True
D1168,1,True
D1169,3,True
D1170,3,True
D1171,3,True
D1172,1,True
D1173,1,True
D1174,3,True
D1175,1,True
D1176,2,True
D1177,3,True
D1178,1,True
D1179,0,True
D1180,3,True
D1181,3,True
D1182,1,True
D1183,1,True
D1184,0,True
D1185,3,True
D1186,3,True
D1187,1,True
D1188,3,True
D1189,1,True
D1190,2,True
D1191,3,True
D1192,3,True
D1193,3,True
D1194,1,True
D1195,3,True
D1196,1,True
D1197,1,True
D1198,3,True
D1199,3,True
D1200,1,True
D1201,1,True
D1202,1,True
D1203,3,True
D1204,0,True
D1205,3,True
D1206,3,True
D1207,3,True
D1208,3,True
D1209,3,True
D1210,3,True
D1211,3,True
D1212,3,True
D1213,3,True
D1214,3,True
D1215,3,True
D1216,3,True
D1217,0,True
D1218,3,True
D1219,3,True
D1220,3,True
D1221,3,True
D1222,3,True
D1223,3,True
D1224,0,True
D1225,0,True
D1226,3,True
D1227,3,True
D1228,3,True
D1229,3,True
D1230,3,True
D1231,3,True
D1232,3,True
D1233,3,True
D1234,3,True
D1235,3,True
D1236,3,True
D1237,3,True
D1238,0,True
D1239,0,True
D1240,3,True
D1241,3,True
D1242,3,True
D1243,3,True
D1244,3,True
D1245,3,True
D1246,3,True
D1247,3,True
D1248,3,True
D1249,3,True
D1250,3,True
D1251,3,True
D1252,3,True
D1253,0,True
D1254,3,True
D1255,0,True
D1256,3,True
D1257,3,True
D1258,3,True
D1259,3,True
D1260,0,True
D1261,3,True
D1262,0,True
D1263,3,True
D1264,3,True
D1265,3,True
D1266,3,True
D1267,3,True
D1268,3,True
D1269,0,True
D1270,3,True
D1271,3,True
D1272,3,True
D1273,3,True
D1274,3,True
D1275,3,True
D1276,3,True
D1277,3,True
D1278,3,True
D1279,3,True
D1280,3,True
D1281,3,True
D1282,3,True
D1283,0,True
D1284,0,True
D1285,3,True
D1286,3,True
D1287,0,True
D1288,3,True
D1289,3,True
D1290,3,True
D1291,3,True
D1292,3,True
D1293,3,True
D1294,3,True
D1295,3,True
D1296,3,True
D1297,3,True
D1298,3,True
D1299,3,True
D1300,3,True
D1301,3,True
D1302,3,True
D1303,3,True
D1304,3,True
D1305,3,True
D1306,0,True
D1307,3,True
D1308,0,True
D1309,3,True
D1310,3,True
D1311,3,True
D1312,0,True
D1313,3,True
D1314,0,True
D1315,3,True
D1316,3,True
D1317,3,True
D1318,3,True
D1319,3,True
D1320,3,True
D1321,3,True
D1322,3,True
D1323,3,True
D1324,3,True
D1325,3,True
D1326,0,True
D1327,3,True
D1328,0,True
D1329,3,True
D1330,3,True
D1331,3,True
D1332,3,True
D1333,3,True
D1334,3,True
D1335,3,True
D1336,0,True
D1337,3,True
D1338,3,True
D1339,3,True
D1340,3,True
D1341,3,True
D1342,3,True
D1343,3,True
D1344,3,True
D1345,3,True
D1346,3,True
D1347,3,True
D1348,3,True
D1349,3,True
D1350,3,True
D1351,0,True
D1352,3,True
D1353,3,True
D1354,3,True
D1355,3,True
D1356,0,True
D1357,3,True
D1358,0,True
D1359,3,True
D1360,3,True
D1361,0,True
D1362,3,True
D1363,3,True
D1364,3,True
D1365,3,True
D1366,3,True
D1367,0,True
D1368,3,True
D1369,3,True
D1370,0,True
D1371,3,True
D1372,3,True
D1373,3,True
D1374,3,True
D1375,3,True
D1376,3,True
D1377,3,True
D1378,3,True
D1379,3,True
D1380,3,True
D1381,3,True
D1382,3,True
D1383,0,True
D1384,3,True
D1385,3,True
D1386,3,True
D1387,3,True
D1388,3,True
D1389,3,True
D1390,3,True
D1391,3,True
D1392,3,True
D1393,3,True
D1394,3,True
D1395,3,True
D1396,3,True
D1397,3,True
D1398,3,True
D1399,3,True
D1400,3,True
D1401,3,True
D1402,3,True
D1403,3,True
D1404,3,True
D1405,3,True
D1406,3,True
D1407,3,True
D1408,3,True
D1409,3,True
D1410,3,True
D1411,3,True
D1412,3,True
D1413,3,True
D1414,3,True
D1415,3,True
D1416,3,True
D1417,3,True
D1418,3,True
D1419,3,True
D1420,3,True
D1421,3,True
D1422,3,True
D1423,3,True
D1424,3,True
D1425,3,True
D1426,0,True
D1427,3,True
D1428,3,True
D1429,3,True
D1430,3,True
D1431,3,True
D1432,3,True
D1433,3,True
D1434,3,True
D1435,3,True
D1436,3,True
D1437,3,True
D1438,3,True
D1439,3,True
D1440,0,True
D1441,3,True
D1442,3,True
D1443,0,True
D1444,3,True
D1445,3,True
D1446,3,True
D1447,3,True
D1448,3,True
D1449,3,True
D1450,0,True
D1451,0,True
D1452,0,True
D1453,0,True
D1454,0,True
D1455,0,True
D1456,0,True
D1457,0,True
D1458,0,True
D1459,0,True
D1460,0,True
D1461,0,True
D1462,0,True
D1463,0,True
D1464,0,True
D1465,0,True
D1467,0,True
D1468,0,True
D1469,0,True
D1470,0,True
D1471,0,True
D1472,0,True
D1473,0,True
D1474,0,True
D1475,0,True
D1476,0,True
D1477,0,True
D1478,0,True
D1479,0,True
D1480,0,True
D1481,0,True
D1482,0,True
D1483,0,True
D1484,0,True
D1485,0,True
D1486,0,True
D1488,0,True
D1489,0,True
D1490,0,True
D1491,0,True
D1492,0,True
D1493,0,True
D1494,0,True
D1495,0,True
D1496,0,True
D1497,0,True
D1498,0,True
D1499,0,True
D1500,0,True
D1501,0,True
D1502,0,True
D1503,0,True
D1504,0,True
D1505,0,True
D1506,0,True
D1507,0,True
D1508,0,True
D1509,0,True
D1510,0,True
D1511,0,True
D1512,0,True
D1513,0,True
D1514,0,True
D1515,0,True
D1516,0,True
D1517,0,True
D1518,0,True
D1519,0,True
D1520,0,True
D1521,0,True
D1522,0,True
D1523,0,True
D1524,0,True
D1525,0,True
D1526,0,True
D1527,0,True
D1528,0,True
D1529,0,True
D1530,0,True
D1531,0,True
D1532,0,True
D1533,0,True
D1534,0,True
D1535,0,True
D1536,0,True
D1537,0,True
D1538,0,True
D1539,0,True
D1540,0,True
D1541,0,True
D1542,0,True
D1543,0,True
D1544,0,True
D1545,0,True
D1546,0,True
D1547,0,True
D1548,0,True
D1549,0,True
D1550,0,True
D1551,0,True
D1552,0,True
D1553,0,True
D1554,0,True
D1555,0,True
D1556,0,True
D1557,0,True
D1558,0,True
D1559,0,True
D1560,0,True
D1561,0,True
D1562,0,True
D1563,0,True
D1564,0,True
D1565,0,True
D1566,0,True
D1567,0,True
D1568,0,True
D1569,0,True
D1570,0,True
D1571,0,True
D1572,0,True
D1573,0,True
D1574,0,True
D1575,0,True
D1576,0,True
D1577,0,True
D1578,0,True
D1579,0,True
D1580,0,True
D1581,0,True
D1582,0,True
D1583,0,True
D1584,0,True
D1585,0,True
D1586,0,True
D1587,0,True
D1588,0,True
D1589,0,True
D1590,0,True
D1591,0,True
D1592,0,True
D1593,0,True
D1594,0,True
D1595,0,True
D1596,0,True
D1598,0,True
D1599,0,True
D1600,0,True
D1601,0,True
D1602,0,True
D1603,0,True
D1604,0,True
D1605,0,True
D1606,0,True
D1607,0,True
D1608,0,True
D1609,0,True
D1610,0,True
D1611,0,True
D1612,0,True
D1613,0,True
D1614,0,True
D1615,0,True
D1616,0,True
D1617,0,True
D1618,0,True
D1619,0,True
D1620,0,True
D1621,0,True
D1622,0,True
D1623,0,True
D1624,0,True
D1625,0,True
D1626,0,True
D1627,0,True
D1628,0,True
D1629,0,True
D1630,0,True
D1631,0,True
D1632,0,True
D1633,0,True
D1634,0,True
D1635,0,True
D1636,0,True
D1637,0,True
D1638,0,True
D1639,0,True
D1640,0,True
D1641,0,True
D1642,0,True
D1643,0,True
D1644,0,True
D1645,0,True
D1646,0,True
D1647,0,True
D1648,0,True
D1649,0,True
D1650,0,True
D1651,0,True
D1652,0,True
D1653,0,True
D1654,0,True
D1655,0,True
D1656,0,True
D1657,0,True
D1658,0,True
D1659,0,True
D1660,0,True
D1661,0,True
D1662,0,True
D1663,0,True
D1664,0,True
D1665,0,True
D1666,0,True
D1667,0,True
D1668,0,True
D1669,0,True
D1670,0,True
D1671,0,True
D1672,0,True
D1673,0,True
D1674,0,True
D1675,0,True
D1676,0,True
D1677,0,True
D1678,0,True
D1679,0,True
D1680,0,True
D1681,0,True
D1682,0,True
D1683,0,True
D1684,0,True
D1685,0,True
D1686,0,True
D1687,0,True
D1688,0,True
D1689,0,True
D1690,0,True
D1691,0,True
D1692,0,True
D1693,0,True
D1694,0,True
D1695,0,True
D1696,0,True
D1697,0,True
D1698,0,True
D1699,0,True
D1700,0,True
D1701,0,True
D1702,0,True
D1703,0,True
D1704,0,True
D1705,0,True
D1706,0,True
D1707,0,True
D1709,0,True
D1710,0,True
D1711,0,True
D1712,0,True
D1713,0,True
D1714,0,True
D1715,0,True
D1716,0,True
D1717,0,True
D1718,0,True
D1719,0,True
D1720,0,True
D1721,0,True
D1722,0,True
D1723,0,True
D1724,0,True
D1725,0,True
D1726,0,True
D1727,0,True
D1728,0,True
D1729,0,True
D1730,0,True
D1731,0,True
D1732,0,True
D1733,0,True
D1734,0,True
D1735,0,True
D1736,0,True
D1737,0,True
D1738,0,True
D1739,0,True
D1740,0,True
D1741,0,True
D1742,0,True
D1743,0,True
D1744,0,True
D1745,0,True
D1746,0,True
D1747,0,True
D1748,0,True
D1749,0,True
D1750,0,True
D1751,0,True
D1752,0,True
D1753,0,True
D1754,0,True
D1755,0,True
D1756,0,True
D1757,0,True
D1758,0,True
D1759,0,True
D1760,0,True
D1761,0,True
D1762,0,True
D1763,0,True
D1764,0,True
D1765,0,True
D1766,0,True
D1767,0,True
D1768,0,True
D1769,0,True
D1770,0,True
D1771,0,True
D1772,0,True
D1773,0,True
D1774,0,True
D1775,0,True
D1776,0,True
