model_id,method,n_row_clusters,n_column_clusters,n_blocks,random_state,column_cluster,n_features,feature_cluster_fraction,n_binary,n_numeric,binary_fraction,numeric_fraction,n_sparse_features,sparse_feature_fraction,mean_feature_zero_fraction,median_feature_zero_fraction,min_feature_zero_fraction,max_feature_zero_fraction,mean_feature_nonzero_fraction,mean_feature_value,mean_feature_std,median_unique_values
bistochastic_r2_c6_seed42,bistochastic,2,6,12,42,3,41,0.026920551543007223,22,19,0.5365853658536586,0.4634146341463415,0,0.0,0.16432040886657864,0.10930418555051986,0.0,0.48627032791255664,0.8356795911334215,0.72138040780309,0.2808333590254359,2.0
bistochastic_r2_c6_seed42,bistochastic,2,6,12,42,4,173,0.11359159553512804,126,47,0.7283236994219653,0.27167630057803466,0,0.0,0.6192614532078536,0.7478005865102639,0.0,0.8861636896827513,0.3807385467921464,0.21226592059381927,0.3418673338991681,2.0
bistochastic_r2_c6_seed42,bistochastic,2,6,12,42,5,215,0.14116874589625739,211,4,0.9813953488372092,0.018604651162790697,8,0.037209302325581395,0.9057454446256193,0.9157557984537457,0.2708611037056785,0.9605438549720074,0.0942545553743808,0.08830729947752847,0.2768155866261833,2.0
bistochastic_r3_c2_seed42,bistochastic,3,2,6,42,0,1324,0.8693368351936966,679,645,0.5128398791540786,0.4871601208459215,626,0.472809667673716,0.8685629451481619,0.942415355905092,0.0,0.9898693681684884,0.1314370548518381,0.05100829986130969,0.14839717071173433,2.0
bistochastic_r3_c2_seed42,bistochastic,3,2,6,42,1,199,0.13066316480630336,149,50,0.7487437185929648,0.25125628140703515,0,0.0,0.4544262233588631,0.5731804852039456,0.0,0.7640629165555852,0.5455737766411369,0.44210203192473563,0.3829045133564888,2.0
bistochastic_r3_c3_seed42,bistochastic,3,3,9,42,0,1025,0.6730137885751806,413,612,0.4029268292682927,0.5970731707317073,626,0.6107317073170732,0.8922865447262843,0.9682751266328979,0.0,0.9898693681684884,0.10771345527371562,0.023719242216290938,0.09828029305501401,6.0
bistochastic_r3_c3_seed42,bistochastic,3,3,9,42,1,376,0.2468811556139199,334,42,0.8882978723404256,0.11170212765957446,0,0.0,0.756213236753887,0.8256464942681951,0.0,0.9368168488403092,0.2437867632461131,0.17522669412977743,0.3405913608700824,2.0
bistochastic_r3_c3_seed42,bistochastic,3,3,9,42,2,122,0.08010505581089954,81,41,0.6639344262295082,0.3360655737704918,0,0.0,0.339985839841616,0.41962143428419085,0.0,0.6779525459877366,0.660014160158384,0.5353756811877205,0.35964098452243576,2.0
bistochastic_r3_c4_seed42,bistochastic,3,4,12,42,0,988,0.6487196323046619,371,617,0.37550607287449395,0.6244939271255061,626,0.6336032388663968,0.8867330385311555,0.9704078912290056,0.0,0.9898693681684884,0.11326696146884448,0.02306381632395626,0.09289273535765925,6.0
bistochastic_r3_c4_seed42,bistochastic,3,4,12,42,1,181,0.11884438608010506,153,28,0.8453038674033149,0.15469613259668508,0,0.0,0.5968441564754002,0.6779525459877366,0.0,0.8331111703545722,0.4031558435245997,0.30904207595661265,0.4067497232389667,2.0
bistochastic_r3_c4_seed42,bistochastic,3,4,12,42,2,63,0.04136572554169402,33,30,0.5238095238095238,0.47619047619047616,0,0.0,0.19050158053090605,0.1487603305785124,0.0,0.5491868834977339,0.809498419469094,0.6572942955480655,0.2961951905104061,2.0
bistochastic_r3_c4_seed42,bistochastic,3,4,12,42,3,291,0.19107025607353906,271,20,0.9312714776632303,0.06872852233676977,0,0.0,0.83946915415912,0.8848307118101839,0.0,0.9490802452679286,0.16053084584088004,0.12158105317406401,0.30452176198797815,2.0
bistochastic_r3_c5_seed42,bistochastic,3,5,15,42,0,977,0.6414970453053185,372,605,0.38075742067553736,0.6192425793244627,626,0.6407369498464688,0.8948827566146128,0.9706744868035191,0.0,0.9898693681684884,0.10511724338538725,0.021171636928087958,0.0915097198249039,6.0
bistochastic_r3_c5_seed42,bistochastic,3,5,15,42,1,102,0.066973079448457,81,21,0.7941176470588235,0.20588235294117646,0,0.0,0.48744648485893965,0.5819781391628899,0.0,0.7126099706744868,0.5125535151410604,0.41081912457683434,0.41658424706351393,2.0
bistochastic_r3_c5_seed42,bistochastic,3,5,15,42,2,180,0.11818778726198292,133,47,0.7388888888888889,0.2611111111111111,0,0.0,0.6303193222548061,0.7585977072780592,0.0,0.8861636896827513,0.3696806777451938,0.20775976478791283,0.34088398802262987,2.0
bistochastic_r3_c5_seed42,bistochastic,3,5,15,42,3,44,0.028890347997373604,23,21,0.5227272727272727,0.4772727272727273,0,0.0,0.16227793800441095,0.10823780325246601,0.0,0.48627032791255664,0.8377220619955892,0.712442617003199,0.2781084616147873,2.0
bistochastic_r3_c5_seed42,bistochastic,3,5,15,42,4,220,0.14445173998686803,219,1,0.9954545454545455,0.004545454545454545,0,0.0,0.8899566176292383,0.9048253798986937,0.754732071447614,0.9490802452679286,0.11004338237076174,0.10991282079023774,0.3053789661624725,2.0
bistochastic_r3_c6_seed42,bistochastic,3,6,18,42,0,941,0.6178594878529219,341,600,0.36238044633368754,0.6376195536663124,619,0.6578108395324124,0.896110452728015,0.9725406558251133,0.0,0.9898693681684884,0.10388954727198499,0.019621156982193622,0.08683086118670252,6.0
bistochastic_r3_c6_seed42,bistochastic,3,6,18,42,1,100,0.06565988181221274,79,21,0.79,0.21,0,0.0,0.4829832044788057,0.5781125033324447,0.0,0.7099440149293522,0.5170167955211944,0.41324771714568376,0.4158464589122075,2.0
bistochastic_r3_c6_seed42,bistochastic,3,6,18,42,2,53,0.03479973736047275,53,0,1.0,0.0,0,0.0,0.8172411885132517,0.8288456411623567,0.6928818981604905,0.8890962410023994,0.18275881148674822,0.18275881148674822,0.3820364598623235,2.0
bistochastic_r3_c6_seed42,bistochastic,3,6,18,42,3,214,0.14051214707813525,208,6,0.9719626168224299,0.028037383177570093,7,0.03271028037383177,0.8991097701049191,0.9157557984537457,0.00026659557451346307,0.9570781125033324,0.10089022989508094,0.08805366076516045,0.275029395818205,2.0
bistochastic_r3_c6_seed42,bistochastic,3,6,18,42,4,44,0.028890347997373604,23,21,0.5227272727272727,0.4772727272727273,0,0.0,0.16227793800441095,0.10823780325246601,0.0,0.48627032791255664,0.8377220619955892,0.712442617003199,0.2781084616147873,2.0
bistochastic_r3_c6_seed42,bistochastic,3,6,18,42,5,171,0.11227839789888379,124,47,0.7251461988304093,0.27485380116959063,0,0.0,0.6199204578584112,0.7573980271927486,0.0,0.8861636896827513,0.38007954214158873,0.2096364758707666,0.33942906738900597,2.0
bistochastic_r4_c2_seed42,bistochastic,4,2,8,42,0,1324,0.8693368351936966,679,645,0.5128398791540786,0.4871601208459215,626,0.472809667673716,0.8685629451481619,0.942415355905092,0.0,0.9898693681684884,0.1314370548518381,0.05100829986130969,0.14839717071173433,2.0
bistochastic_r4_c2_seed42,bistochastic,4,2,8,42,1,199,0.13066316480630336,149,50,0.7487437185929648,0.25125628140703515,0,0.0,0.4544262233588631,0.5731804852039456,0.0,0.7640629165555852,0.5455737766411369,0.44210203192473563,0.3829045133564888,2.0
bistochastic_r4_c3_seed42,bistochastic,4,3,12,42,0,1025,0.6730137885751806,413,612,0.4029268292682927,0.5970731707317073,626,0.6107317073170732,0.8922865447262843,0.9682751266328979,0.0,0.9898693681684884,0.10771345527371562,0.023719242216290938,0.09828029305501401,6.0
bistochastic_r4_c3_seed42,bistochastic,4,3,12,42,1,376,0.2468811556139199,334,42,0.8882978723404256,0.11170212765957446,0,0.0,0.756213236753887,0.8256464942681951,0.0,0.9368168488403092,0.2437867632461131,0.17522669412977743,0.3405913608700824,2.0
bistochastic_r4_c3_seed42,bistochastic,4,3,12,42,2,122,0.08010505581089954,81,41,0.6639344262295082,0.3360655737704918,0,0.0,0.339985839841616,0.41962143428419085,0.0,0.6779525459877366,0.660014160158384,0.5353756811877205,0.35964098452243576,2.0
bistochastic_r4_c4_seed42,bistochastic,4,4,16,42,0,988,0.6487196323046619,371,617,0.37550607287449395,0.6244939271255061,626,0.6336032388663968,0.8867330385311555,0.9704078912290056,0.0,0.9898693681684884,0.11326696146884448,0.02306381632395626,0.09289273535765925,6.0
bistochastic_r4_c4_seed42,bistochastic,4,4,16,42,1,181,0.11884438608010506,153,28,0.8453038674033149,0.15469613259668508,0,0.0,0.5968441564754002,0.6779525459877366,0.0,0.8331111703545722,0.4031558435245997,0.30904207595661265,0.4067497232389667,2.0
bistochastic_r4_c4_seed42,bistochastic,4,4,16,42,2,63,0.04136572554169402,33,30,0.5238095238095238,0.47619047619047616,0,0.0,0.19050158053090605,0.1487603305785124,0.0,0.5491868834977339,0.809498419469094,0.6572942955480655,0.2961951905104061,2.0
bistochastic_r4_c4_seed42,bistochastic,4,4,16,42,3,291,0.19107025607353906,271,20,0.9312714776632303,0.06872852233676977,0,0.0,0.83946915415912,0.8848307118101839,0.0,0.9490802452679286,0.16053084584088004,0.12158105317406401,0.30452176198797815,2.0
bistochastic_r4_c5_seed42,bistochastic,4,5,20,42,0,977,0.6414970453053185,372,605,0.38075742067553736,0.6192425793244627,626,0.6407369498464688,0.8948827566146128,0.9706744868035191,0.0,0.9898693681684884,0.10511724338538725,0.021171636928087958,0.0915097198249039,6.0
bistochastic_r4_c5_seed42,bistochastic,4,5,20,42,1,102,0.066973079448457,81,21,0.7941176470588235,0.20588235294117646,0,0.0,0.48744648485893965,0.5819781391628899,0.0,0.7126099706744868,0.5125535151410604,0.41081912457683434,0.41658424706351393,2.0
bistochastic_r4_c5_seed42,bistochastic,4,5,20,42,2,180,0.11818778726198292,133,47,0.7388888888888889,0.2611111111111111,0,0.0,0.6303193222548061,0.7585977072780592,0.0,0.8861636896827513,0.3696806777451938,0.20775976478791283,0.34088398802262987,2.0
bistochastic_r4_c5_seed42,bistochastic,4,5,20,42,3,44,0.028890347997373604,23,21,0.5227272727272727,0.4772727272727273,0,0.0,0.16227793800441095,0.10823780325246601,0.0,0.48627032791255664,0.8377220619955892,0.712442617003199,0.2781084616147873,2.0
bistochastic_r4_c5_seed42,bistochastic,4,5,20,42,4,220,0.14445173998686803,219,1,0.9954545454545455,0.004545454545454545,0,0.0,0.8899566176292383,0.9048253798986937,0.754732071447614,0.9490802452679286,0.11004338237076174,0.10991282079023774,0.3053789661624725,2.0
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,0,941,0.6178594878529219,341,600,0.36238044633368754,0.6376195536663124,619,0.6578108395324124,0.896110452728015,0.9725406558251133,0.0,0.9898693681684884,0.10388954727198499,0.019621156982193622,0.08683086118670252,6.0
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,1,100,0.06565988181221274,79,21,0.79,0.21,0,0.0,0.4829832044788057,0.5781125033324447,0.0,0.7099440149293522,0.5170167955211944,0.41324771714568376,0.4158464589122075,2.0
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,2,53,0.03479973736047275,53,0,1.0,0.0,0,0.0,0.8172411885132517,0.8288456411623567,0.6928818981604905,0.8890962410023994,0.18275881148674822,0.18275881148674822,0.3820364598623235,2.0
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,3,214,0.14051214707813525,208,6,0.9719626168224299,0.028037383177570093,7,0.03271028037383177,0.8991097701049191,0.9157557984537457,0.00026659557451346307,0.9570781125033324,0.10089022989508094,0.08805366076516045,0.275029395818205,2.0
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,4,44,0.028890347997373604,23,21,0.5227272727272727,0.4772727272727273,0,0.0,0.16227793800441095,0.10823780325246601,0.0,0.48627032791255664,0.8377220619955892,0.712442617003199,0.2781084616147873,2.0
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,5,171,0.11227839789888379,124,47,0.7251461988304093,0.27485380116959063,0,0.0,0.6199204578584112,0.7573980271927486,0.0,0.8861636896827513,0.38007954214158873,0.2096364758707666,0.33942906738900597,2.0
bistochastic_r5_c2_seed42,bistochastic,5,2,10,42,0,1324,0.8693368351936966,679,645,0.5128398791540786,0.4871601208459215,626,0.472809667673716,0.8685629451481619,0.942415355905092,0.0,0.9898693681684884,0.1314370548518381,0.05100829986130969,0.14839717071173433,2.0
bistochastic_r5_c2_seed42,bistochastic,5,2,10,42,1,199,0.13066316480630336,149,50,0.7487437185929648,0.25125628140703515,0,0.0,0.4544262233588631,0.5731804852039456,0.0,0.7640629165555852,0.5455737766411369,0.44210203192473563,0.3829045133564888,2.0
bistochastic_r5_c3_seed42,bistochastic,5,3,15,42,0,1025,0.6730137885751806,413,612,0.4029268292682927,0.5970731707317073,626,0.6107317073170732,0.8922865447262843,0.9682751266328979,0.0,0.9898693681684884,0.10771345527371562,0.023719242216290938,0.09828029305501401,6.0
bistochastic_r5_c3_seed42,bistochastic,5,3,15,42,1,376,0.2468811556139199,334,42,0.8882978723404256,0.11170212765957446,0,0.0,0.756213236753887,0.8256464942681951,0.0,0.9368168488403092,0.2437867632461131,0.17522669412977743,0.3405913608700824,2.0
bistochastic_r5_c3_seed42,bistochastic,5,3,15,42,2,122,0.08010505581089954,81,41,0.6639344262295082,0.3360655737704918,0,0.0,0.339985839841616,0.41962143428419085,0.0,0.6779525459877366,0.660014160158384,0.5353756811877205,0.35964098452243576,2.0
bistochastic_r5_c4_seed42,bistochastic,5,4,20,42,0,988,0.6487196323046619,371,617,0.37550607287449395,0.6244939271255061,626,0.6336032388663968,0.8867330385311555,0.9704078912290056,0.0,0.9898693681684884,0.11326696146884448,0.02306381632395626,0.09289273535765925,6.0
bistochastic_r5_c4_seed42,bistochastic,5,4,20,42,1,181,0.11884438608010506,153,28,0.8453038674033149,0.15469613259668508,0,0.0,0.5968441564754002,0.6779525459877366,0.0,0.8331111703545722,0.4031558435245997,0.30904207595661265,0.4067497232389667,2.0
bistochastic_r5_c4_seed42,bistochastic,5,4,20,42,2,63,0.04136572554169402,33,30,0.5238095238095238,0.47619047619047616,0,0.0,0.19050158053090605,0.1487603305785124,0.0,0.5491868834977339,0.809498419469094,0.6572942955480655,0.2961951905104061,2.0
bistochastic_r5_c4_seed42,bistochastic,5,4,20,42,3,291,0.19107025607353906,271,20,0.9312714776632303,0.06872852233676977,0,0.0,0.83946915415912,0.8848307118101839,0.0,0.9490802452679286,0.16053084584088004,0.12158105317406401,0.30452176198797815,2.0
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,0,977,0.6414970453053185,372,605,0.38075742067553736,0.6192425793244627,626,0.6407369498464688,0.8948827566146128,0.9706744868035191,0.0,0.9898693681684884,0.10511724338538725,0.021171636928087958,0.0915097198249039,6.0
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,1,102,0.066973079448457,81,21,0.7941176470588235,0.20588235294117646,0,0.0,0.48744648485893965,0.5819781391628899,0.0,0.7126099706744868,0.5125535151410604,0.41081912457683434,0.41658424706351393,2.0
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,2,180,0.11818778726198292,133,47,0.7388888888888889,0.2611111111111111,0,0.0,0.6303193222548061,0.7585977072780592,0.0,0.8861636896827513,0.3696806777451938,0.20775976478791283,0.34088398802262987,2.0
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,3,44,0.028890347997373604,23,21,0.5227272727272727,0.4772727272727273,0,0.0,0.16227793800441095,0.10823780325246601,0.0,0.48627032791255664,0.8377220619955892,0.712442617003199,0.2781084616147873,2.0
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,4,220,0.14445173998686803,219,1,0.9954545454545455,0.004545454545454545,0,0.0,0.8899566176292383,0.9048253798986937,0.754732071447614,0.9490802452679286,0.11004338237076174,0.10991282079023774,0.3053789661624725,2.0
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,0,941,0.6178594878529219,341,600,0.36238044633368754,0.6376195536663124,619,0.6578108395324124,0.896110452728015,0.9725406558251133,0.0,0.9898693681684884,0.10388954727198499,0.019621156982193622,0.08683086118670252,6.0
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,1,100,0.06565988181221274,79,21,0.79,0.21,0,0.0,0.4829832044788057,0.5781125033324447,0.0,0.7099440149293522,0.5170167955211944,0.41324771714568376,0.4158464589122075,2.0
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,2,53,0.03479973736047275,53,0,1.0,0.0,0,0.0,0.8172411885132517,0.8288456411623567,0.6928818981604905,0.8890962410023994,0.18275881148674822,0.18275881148674822,0.3820364598623235,2.0
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,3,214,0.14051214707813525,208,6,0.9719626168224299,0.028037383177570093,7,0.03271028037383177,0.8991097701049191,0.9157557984537457,0.00026659557451346307,0.9570781125033324,0.10089022989508094,0.08805366076516045,0.275029395818205,2.0
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,4,44,0.028890347997373604,23,21,0.5227272727272727,0.4772727272727273,0,0.0,0.16227793800441095,0.10823780325246601,0.0,0.48627032791255664,0.8377220619955892,0.712442617003199,0.2781084616147873,2.0
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,5,171,0.11227839789888379,124,47,0.7251461988304093,0.27485380116959063,0,0.0,0.6199204578584112,0.7573980271927486,0.0,0.8861636896827513,0.38007954214158873,0.2096364758707666,0.33942906738900597,2.0
bistochastic_r6_c2_seed42,bistochastic,6,2,12,42,0,1324,0.8693368351936966,679,645,0.5128398791540786,0.4871601208459215,626,0.472809667673716,0.8685629451481619,0.942415355905092,0.0,0.9898693681684884,0.1314370548518381,0.05100829986130969,0.14839717071173433,2.0
bistochastic_r6_c2_seed42,bistochastic,6,2,12,42,1,199,0.13066316480630336,149,50,0.7487437185929648,0.25125628140703515,0,0.0,0.4544262233588631,0.5731804852039456,0.0,0.7640629165555852,0.5455737766411369,0.44210203192473563,0.3829045133564888,2.0
bistochastic_r6_c3_seed42,bistochastic,6,3,18,42,0,1017,0.6677609980302035,405,612,0.39823008849557523,0.6017699115044248,626,0.615535889872173,0.892058151913341,0.9688083177819248,0.0,0.9898693681684884,0.10794184808665903,0.0232869135892546,0.09693723721087308,6.0
bistochastic_r6_c3_seed42,bistochastic,6,3,18,42,1,379,0.24885095206828628,337,42,0.8891820580474934,0.11081794195250659,0,0.0,0.7608757277742647,0.8296454278858971,0.0,0.9368168488403092,0.2391242722257354,0.17110689494937076,0.33735843559557177,2.0
bistochastic_r6_c3_seed42,bistochastic,6,3,18,42,2,127,0.08338804990151018,86,41,0.6771653543307087,0.3228346456692913,0,0.0,0.35285918505721314,0.436950146627566,0.0,0.6824846707544655,0.6471408149427869,0.5274093627032518,0.364030195638566,2.0
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,0,188,0.12344057780695995,156,32,0.8297872340425532,0.1702127659574468,0,0.0,0.5916351384311702,0.6776859504132231,0.0,0.8331111703545722,0.4083648615688299,0.3041859570451029,0.40138685801716883,2.0
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,1,995,0.6533158240315168,374,621,0.3758793969849246,0.6241206030150753,626,0.629145728643216,0.8844338997037977,0.9701412956544921,0.0,0.9898693681684884,0.11556610029620243,0.02360962023537576,0.0935131230437366,6.0
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,2,63,0.04136572554169402,33,30,0.5238095238095238,0.47619047619047616,0,0.0,0.19050158053090605,0.1487603305785124,0.0,0.5491868834977339,0.809498419469094,0.6572942955480655,0.2961951905104061,2.0
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,3,277,0.1818778726198293,265,12,0.9566787003610109,0.04332129963898917,0,0.0,0.8562000794974531,0.8885630498533724,0.0,0.9490802452679286,0.14379992050254709,0.12066866675519886,0.3086977200085787,2.0
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,0,975,0.6401838476690742,372,603,0.38153846153846155,0.6184615384615385,626,0.642051282051282,0.8963481874918825,0.9709410823780326,0.0,0.9898693681684884,0.10365181250811749,0.020932104640592253,0.09137525219607606,6.0
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,1,105,0.06894287590282337,84,21,0.8,0.2,0,0.0,0.49552754186185277,0.5891762196747534,0.0,0.7126099706744868,0.5044724581381472,0.40564476444718484,0.41749776628517843,2.0
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,2,45,0.02954694681549573,24,21,0.5333333333333333,0.4666666666666667,0,0.0,0.16892088035783048,0.10930418555051986,0.0,0.48627032791255664,0.8310791196421696,0.7085836623162771,0.28300589784130287,2.0
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,3,215,0.14116874589625739,214,1,0.9953488372093023,0.004651162790697674,0,0.0,0.8894694748067182,0.905625166622234,0.7070114636097041,0.9490802452679286,0.11053052519328178,0.11039692729693167,0.30554420059289905,2.0
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,4,183,0.12015758371634931,134,49,0.73224043715847,0.2677595628415301,0,0.0,0.6316989422128597,0.7640629165555852,0.0,0.8861636896827513,0.36830105778714023,0.20158572079121195,0.3350844114690039,2.0
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,0,942,0.618516086671044,340,602,0.3609341825902335,0.6390658174097664,618,0.6560509554140127,0.8944802263628496,0.9724073580378565,0.0,0.9898693681684884,0.10551977363715039,0.019782065528155264,0.08680969210829892,6.0
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,1,100,0.06565988181221274,77,23,0.77,0.23,0,0.0,0.4661183684350841,0.5666488936283658,0.0,0.6960810450546521,0.533881631564916,0.4218522625581898,0.4092840043215491,2.0
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,2,52,0.034143138542350626,52,0,1.0,0.0,0,0.0,0.8190636343129012,0.829245534524127,0.6928818981604905,0.8890962410023994,0.1809363656870988,0.1809363656870988,0.3807721956322434,2.0
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,3,41,0.026920551543007223,22,19,0.5365853658536586,0.4634146341463415,0,0.0,0.16432040886657864,0.10930418555051986,0.0,0.48627032791255664,0.8356795911334215,0.72138040780309,0.2808333590254359,2.0
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,4,173,0.11359159553512804,126,47,0.7283236994219653,0.27167630057803466,0,0.0,0.6192614532078536,0.7478005865102639,0.0,0.8861636896827513,0.3807385467921464,0.21226592059381927,0.3418673338991681,2.0
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,5,215,0.14116874589625739,211,4,0.9813953488372092,0.018604651162790697,8,0.037209302325581395,0.9057454446256193,0.9157557984537457,0.2708611037056785,0.9605438549720074,0.0942545553743808,0.08830729947752847,0.2768155866261833,2.0
