reordered_position,feature,variance,zero_fraction
363,D470,0.0031368862737028475,0.7262063449746734
364,D471,0.0031286346117311977,0.761663556384964
365,D86,0.0031055394147182797,0.04798720341242335
366,D579,0.0030860570514529475,0.9880031991468942
367,D526,0.00306046184475615,0.9610770461210344
368,D249,0.0030604514753092746,0.9125566515595841
369,D279,0.003059284929527724,0.981604905358571
370,D711,0.0030561498511582517,0.9520127965875766
371,D40,0.0030400607411880383,0.8224473473740336
372,D388,0.0030360081755976182,0.920554518794988
373,D436,0.0030257175864213982,0.9832044788056519
374,D250,0.0030109086105436374,0.9834710743801653
375,D187,0.0030064483030396347,0.00026659557451346307
376,D457,0.0029827816235931492,0.6894161556918155
377,D848,0.002961717586421398,0.9802719274860038
378,D351,0.002959338140485037,0.9730738469741402
379,D939,0.002941242113229655,0.9413489736070382
380,D281,0.0029343463965164846,0.9802719274860038
381,D181,0.002925273135514744,0.0
382,D793,0.0028920757131431613,0.9528125833111171
383,D763,0.0028908111477710993,0.8205811783524394
384,D731,0.0028735448324891137,0.9757398027192749
385,D545,0.002858970881383648,0.9221540922420688
386,D677,0.0028583108023919456,0.9400159957344708
387,D880,0.0028420549594577174,0.9762729938683018
388,D676,0.0028250441817277215,0.9114902692615302
389,D942,0.0028016621345418997,0.981604905358571
390,D441,0.0027910888545276814,0.5539856038389763
391,D901,0.002790013774104683,0.9658757664622767
392,D559,0.0027852174531236115,0.9394828045854439
393,D544,0.0027783346663112062,0.9629432151426286
394,D236,0.002775432360742856,0.9882697947214076
395,D792,0.0027691745278813624,0.967208744334844
396,D728,0.0027408750254455877,0.9616102372700613
397,D381,0.0027182340709144223,0.9786723540389229
398,D318,0.0027038597128432713,0.9680085310583845
399,D518,0.002687192186106581,0.8834977339376167
400,D517,0.00265473949076527,0.8056518261796854
401,D382,0.002646444574946565,0.9864036256998134
402,D532,0.002638282115003967,0.9866702212743268
403,D400,0.0026361947924997777,0.9786723540389229
404,D366,0.002635315027103884,0.9845374566782191
405,D536,0.0026330800613895452,0.9442815249266863
406,D363,0.0026272342211033973,0.9557451346307652
407,D903,0.002617726384075358,0.9600106638229805
408,D227,0.0026037216742202086,0.8864302852572647
409,D340,0.002600481040072496,0.9570781125033324
410,D712,0.0025997873794077683,0.9578778992268728
411,D906,0.0025871056607126987,0.9789389496134364
412,D348,0.002584366391184573,0.9568115169288189
413,D482,0.002572446897428908,0.93148493735004
414,D272,0.00253978494623656,0.9792055451879499
415,D941,0.0025371056607126985,0.9680085310583845
416,D475,0.0025314349746333297,0.8661690215942416
417,D341,0.00252989247311828,0.9570781125033324
418,D815,0.0025298414867146544,0.9376166355638497
419,D313,0.00251181123286342,0.9362836576912823
420,D444,0.0025028814682519296,0.743268461743535
421,D78,0.00250043042581284,0.16368968275126633
422,D443,0.0024978238649406843,0.7411356971474273
423,D435,0.002496341242335377,0.9786723540389229
424,D732,0.0024923842530880647,0.9805385230605171
425,D917,0.0024898619343908706,0.9805385230605171
426,D547,0.002487323380431885,0.9450813116502266
427,D498,0.0024819892473118277,0.9757398027192749
428,D613,0.002469723629254421,0.9488136496934151
429,D462,0.0024669790392978863,0.891229005598507
430,D867,0.0024608790544743617,0.989069581444948
431,D520,0.002457834663505908,0.9373500399893362
432,D810,0.002443787364788276,0.7723273793655026
433,D280,0.0024290589176219667,0.9813383097840576
434,D421,0.0024255535912421126,0.928019194881365
435,D893,0.002422423464853817,0.9312183417755265
436,D918,0.0023954312421752486,0.9826712876566249
437,D902,0.0023861525815338136,0.9704078912290056
438,D558,0.0023801130616301863,0.927486003732338
439,D34,0.0023344326451925296,0.6520927752599307
440,D463,0.002321819700063732,0.9352172753932285
441,D554,0.0023013648097170497,0.917088776326313
442,D919,0.0023011542597124717,0.985603838976273
443,D809,0.0022664198603695117,0.7845907757931219
444,D496,0.0022628262685506087,0.9653425753132499
445,D582,0.0022378759352659075,0.8413756331644895
446,D890,0.002229253221705665,0.8496400959744068
447,D339,0.0022119249093214845,0.9370834444148227
448,D938,0.002201904460361508,0.9250866435617169
449,D519,0.0021957820222949257,0.923487070114636
450,D278,0.0021932640184839595,0.9728072513996268
451,D451,0.002180734491712982,0.9098906958144495
452,D621,0.002176579993166624,0.779525459877366
453,D679,0.002176108593264019,0.9749400159957344
454,D912,0.002174714102222489,0.9088243135163956
455,D260,0.00216633389065722,0.960277259397494
456,D625,0.0021609949995653457,0.841109037589976
457,D91,0.002160398312010592,0.00026659557451346307
458,D172,0.0021591458274202112,0.9333511063716342
459,D600,0.002159050919754732,0.9792055451879499
460,D315,0.0021588409757398027,0.9621434284190883
461,D794,0.0021435261707988982,0.9688083177819248
462,D492,0.0021424080838207253,0.9394828045854439
463,D705,0.002141129032258065,0.9576113036523594
464,D629,0.0021351772860570516,0.9722740602505998
465,D393,0.0021092886341420067,0.9690749133564383
466,D560,0.0021001293758225953,0.9576113036523594
467,D349,0.0020928008531058387,0.9645427885897094
468,D849,0.002088654109716585,0.9858704345507865
469,D557,0.002080794996221313,0.9290855771794189
470,D664,0.0020802471537033147,0.8864302852572647
471,D733,0.002075668710566071,0.9861370301253
472,D914,0.0020731738203145834,0.9680085310583845
473,D433,0.002063643028525727,0.9704078912290056
474,D189,0.0020626683870673766,0.0
475,D542,0.002059726944615514,0.8946947480671821
476,D916,0.0020480682484670756,0.9720074646760863
477,D531,0.0020402000929566175,0.9864036256998134
478,D394,0.0020397849462365594,0.967208744334844
479,D90,0.0020346296809106426,0.0
480,D283,0.002030054207766818,0.9874700079978672
481,D266,0.0020274060250599834,0.978139162889896
482,D325,0.0020167422038481473,0.9682751266328979
483,D178,0.0020140270512340585,0.0
484,D742,0.0020004061898616595,0.8299120234604106
485,D258,0.0019906602683728786,0.9762729938683018
486,D442,0.0019725203060263576,0.7198080511863503
487,D521,0.0019694716075713144,0.9634764062916555
488,D904,0.001965795787789922,0.9624100239936018
489,D594,0.0019639349506798184,0.9866702212743268
490,D900,0.001963900737581089,0.9688083177819248
491,D265,0.0019473881798124195,0.985603838976273
492,D464,0.0019398534067465824,0.9608104505465209
493,D651,0.0018991636802688388,0.9853372434017595
494,D380,0.0018557740158180044,0.9744068248467076
495,D316,0.0018329201101928375,0.9869368168488403
496,D422,0.001832679889167306,0.9520127965875766
497,D940,0.0018102417133208926,0.9680085310583845
498,D546,0.001805366024831899,0.9442815249266863
499,D889,0.00179561451245664,0.8469741402292722
500,D601,0.0017914116716520908,0.9898693681684884
501,D432,0.0017861787621704928,0.9565449213543055
502,D379,0.0017858190880590697,0.9698747000799787
503,D476,0.0017761911567012983,0.8962943215142629
504,D892,0.0017687839728136266,0.9053585710477207
505,D897,0.00175496809739625,0.9826712876566249
506,D754,0.0017457605749577891,0.9288189816049054
507,D768,0.0017347969532288323,0.9040255931751533
508,D694,0.0017276025172238117,0.981604905358571
509,D943,0.0017247822802808146,0.9858704345507865
510,D920,0.0017155174955836672,0.9872034124233537
511,D678,0.001713673717849267,0.9538789656091708
512,D813,0.001712428109564262,0.8704345507864569
513,D905,0.00170316360081756,0.9738736336976807
514,D795,0.0016993982049231316,0.9741402292721941
515,D499,0.001698749222429574,0.9824046920821115
516,D246,0.0016986926032918567,0.9845374566782191
517,D192,0.0016847656216537742,0.9618768328445748
518,D561,0.001682148547277565,0.9621434284190883
519,D549,0.0016715631387185638,0.9682751266328979
520,D233,0.0016693672349550033,0.0
521,D592,0.0016677764431585426,0.978139162889896
522,D159,0.0016599855824205108,0.46680885097307384
523,D448,0.0016598264547082679,0.9573447080778459
524,D850,0.0016590946414289526,0.9874700079978672
525,D543,0.0016583399982226966,0.9826712876566249
526,D614,0.0016575372501672209,0.9757398027192749
527,D555,0.001657325034251607,0.9536123700346574
528,D611,0.001653803507003115,0.8968275126632897
529,D290,0.0016461210343908287,0.9858704345507865
530,D267,0.0016448946947480673,0.9845374566782191
531,D756,0.0016384749057943178,0.9605438549720074
532,D423,0.0016355524821567622,0.9610770461210344
533,D691,0.0016138726224302201,0.9594774726739536
534,D729,0.0016046743090731364,0.9656091708877632
535,D374,0.0015988127694668245,0.9186883497733938
536,D755,0.0015910219877078788,0.9504132231404959
537,D378,0.001590880084292138,0.9442815249266863
538,D494,0.001577164422820581,0.9421487603305785
539,D703,0.001574407113436619,0.9237536656891495
540,D97,0.0015730883828422321,0.6939482804585444
541,D362,0.0015664556118368438,0.9389496134364169
542,D928,0.0015387302958206263,0.8136496934150893
543,D690,0.0015357063611788132,0.9504132231404959
544,D590,0.0015220691149026926,0.9648093841642229
545,D894,0.0015203162490002667,0.9560117302052786
546,D627,0.001516459561650211,0.9128232471340976
547,D491,0.0015109983115613617,0.9872034124233537
548,D876,0.0014997047703412618,0.9880031991468942
549,D141,0.0014992158535501645,0.9181551586243668
550,D654,0.0014818004087798807,0.9864036256998134
551,D668,0.0014777520438994042,0.9757398027192749
552,D816,0.0014745526892112537,0.9522793921620901
553,D539,0.001474150460113263,0.9733404425486537
554,D424,0.001472063054860959,0.9784057584644095
555,D282,0.001456427974762286,0.9858704345507865
556,D328,0.0014473118279569894,0.9845374566782191
557,D563,0.0014469491479724244,0.9741402292721941
558,D434,0.0014425526444788173,0.9752066115702479
559,D616,0.0014183862081222785,0.9882697947214076
560,D929,0.0014149255309695193,0.9520127965875766
561,D115,0.0014104128676797297,0.9661423620367902
562,D702,0.001403210329956956,0.8954945347907225
563,D291,0.0014009192215409228,0.9837376699546787
564,D832,0.0013953928336289734,0.9882697947214076
565,D190,0.0013910002357618832,0.00026659557451346307
566,D760,0.0013842291207547739,0.9885363902959211
567,D797,0.0013826357415800234,0.9845374566782191
568,D895,0.0013815887985426107,0.9701412956544921
569,D556,0.001365622424829214,0.9392162090109304
570,D866,0.0013622947670712132,0.9845374566782191
571,D352,0.0013603313683352907,0.9858704345507865
572,D455,0.001353826642752469,0.9426819514796054
573,D409,0.0013537101217453126,0.9885363902959211
574,D410,0.0013527326046387628,0.9877366035723807
575,D288,0.0013436483604372168,0.967741935483871
576,D538,0.0013251916428767465,0.9685417222074113
577,D819,0.0013108815426997249,0.9778725673153825
578,D319,0.0013050542077668178,0.9773393761663557
579,D681,0.0012851881474731993,0.989069581444948
580,D698,0.0012819926168152937,0.8347107438016529
581,D628,0.001279585874199237,0.9509464142895228
582,D765,0.0012790632859975763,0.8365769128232471
583,D948,0.0012705384463716518,0.9872034124233537
584,D564,0.0012634583846947275,0.9834710743801653
585,D588,0.0012473647379072895,0.9504132231404959
586,D477,0.0012442160557448421,0.9168221807517996
587,D680,0.0012410023993601707,0.9869368168488403
588,D643,0.0012404670754465475,0.9832044788056519
589,D693,0.0012373352278273965,0.9749400159957344
590,D330,0.0012230960632720162,0.9898693681684884
591,D528,0.0012175269295236959,0.9768061850173287
592,D329,0.0012139013596374297,0.9866702212743268
593,D833,0.0012133574258466266,0.9898693681684884
594,D865,0.001204871682653801,0.9826712876566249
595,D527,0.00119697607319835,0.9754732071447614
596,D180,0.0011887647653755825,0.0
597,D704,0.0011853252086828417,0.9370834444148227
598,D769,0.0011771281393278626,0.9261530258597708
599,D273,0.0011717764151781746,0.9888029858704346
600,D456,0.001148097941035808,0.9709410823780326
601,D589,0.0011368712560507637,0.9618768328445748
602,D881,0.0011327160733439338,0.9616102372700613
603,D778,0.0011296202770901718,0.9762729938683018
604,D602,0.0011230960632720162,0.9898693681684884
