feature,type
D560,numeric
D561,numeric
D562,numeric
D563,numeric
D564,numeric
D565,numeric
D567,numeric
D568,binary
D569,numeric
D578,numeric
D579,numeric
D582,numeric
D583,numeric
D584,numeric
D585,numeric
D586,numeric
D587,numeric
D588,numeric
D589,numeric
D590,numeric
D591,numeric
D592,numeric
D593,numeric
D594,numeric
D595,numeric
D596,numeric
D597,numeric
D598,numeric
D599,numeric
D600,numeric
D601,numeric
D602,numeric
D607,numeric
D608,numeric
D609,numeric
D610,numeric
D611,numeric
D612,numeric
D613,numeric
D614,numeric
D615,numeric
D616,numeric
D621,numeric
D622,numeric
D623,numeric
D624,numeric
D625,numeric
D626,numeric
D627,numeric
D628,numeric
D629,numeric
D630,numeric
D631,numeric
D635,numeric
D636,numeric
D643,numeric
D649,numeric
D650,numeric
D651,numeric
D652,numeric
D653,numeric
D654,numeric
D659,numeric
D660,numeric
D661,numeric
D662,numeric
D663,numeric
D664,numeric
D665,numeric
D666,numeric
D667,numeric
D668,numeric
D669,numeric
D672,numeric
D673,numeric
D674,numeric
D675,numeric
D676,numeric
D677,numeric
D678,numeric
D679,numeric
D680,numeric
D681,numeric
D685,numeric
D686,numeric
D687,numeric
D688,numeric
D689,numeric
D690,numeric
D691,numeric
D692,numeric
D693,numeric
D694,numeric
D697,numeric
D698,numeric
D699,numeric
D700,numeric
D701,numeric
D702,numeric
D703,numeric
D704,numeric
D705,numeric
D706,numeric
D707,numeric
D708,numeric
D709,numeric
D710,numeric
D711,numeric
D712,numeric
D728,numeric
D729,numeric
D730,numeric
D731,numeric
D732,numeric
D733,numeric
D734,numeric
D739,numeric
D740,numeric
D741,numeric
D742,numeric
D743,numeric
D747,numeric
D748,numeric
D749,numeric
D750,numeric
D751,numeric
D752,numeric
D753,numeric
D754,numeric
D755,numeric
D756,numeric
D757,numeric
D758,numeric
D759,numeric
D760,numeric
D762,numeric
D763,numeric
D764,numeric
D765,numeric
D766,numeric
D767,numeric
D768,numeric
D769,numeric
D770,numeric
D771,numeric
D772,numeric
D773,numeric
D774,numeric
D775,numeric
D776,numeric
D777,numeric
D778,numeric
D780,numeric
D791,numeric
D792,numeric
D793,numeric
D794,numeric
D795,numeric
D796,numeric
D797,numeric
D798,numeric
D802,numeric
D803,numeric
D806,numeric
D807,numeric
D808,numeric
D809,numeric
D810,numeric
D811,numeric
D812,numeric
D813,numeric
D814,numeric
D815,numeric
D816,numeric
D817,numeric
D818,numeric
D819,numeric
D832,numeric
D833,numeric
D841,numeric
D842,numeric
D843,numeric
D844,numeric
D845,numeric
D846,numeric
D848,numeric
D849,numeric
D850,numeric
D855,numeric
D863,numeric
D864,numeric
D865,numeric
D866,numeric
D867,numeric
D876,numeric
D880,numeric
D881,numeric
D882,numeric
D883,numeric
D884,numeric
D889,numeric
D890,numeric
D891,numeric
D892,numeric
D893,numeric
D894,numeric
D895,numeric
D896,numeric
D897,numeric
D898,numeric
D900,numeric
D901,numeric
D902,numeric
D903,numeric
D904,numeric
D905,numeric
D906,numeric
D907,numeric
D908,numeric
D911,numeric
D912,numeric
D913,numeric
D914,numeric
D915,numeric
D916,numeric
D917,numeric
D918,numeric
D919,numeric
D920,numeric
D925,numeric
D926,numeric
D927,numeric
D928,numeric
D929,numeric
D932,numeric
D933,numeric
D934,numeric
D935,numeric
D936,numeric
D937,numeric
D938,numeric
D939,numeric
D940,numeric
D941,numeric
D942,numeric
D943,numeric
D944,numeric
D946,numeric
D947,numeric
D948,numeric
D949,numeric
D950,numeric
D951,numeric
D952,binary
D953,binary
D954,binary
D955,binary
D956,binary
D957,binary
D958,binary
D959,binary
D960,binary
D961,binary
D962,binary
D963,binary
D964,binary
D965,binary
D966,binary
D967,binary
D968,binary
D969,binary
D970,binary
D971,binary
D972,binary
D973,binary
D974,binary
D975,binary
D976,binary
D977,binary
D978,binary
D979,binary
D980,binary
D981,binary
D982,binary
D983,binary
D984,binary
D985,binary
D986,binary
D987,binary
D988,binary
D989,binary
D990,binary
D991,binary
D992,binary
D993,binary
D994,binary
D995,binary
D996,binary
D997,binary
D998,binary
D999,binary
D1000,binary
D1001,binary
D1002,binary
D1003,binary
D1004,binary
D1005,binary
D1006,binary
D1007,binary
D1008,binary
D1009,binary
D1010,binary
D1011,binary
D1012,binary
D1013,binary
D1014,binary
D1015,binary
D1016,binary
D1017,binary
D1018,binary
D1019,binary
D1020,binary
D1021,binary
D1022,binary
D1023,binary
D1024,binary
D1025,binary
D1026,binary
D1027,binary
D1028,binary
D1029,binary
D1030,binary
D1031,binary
D1032,binary
D1033,binary
D1034,binary
D1035,binary
D1036,binary
D1037,binary
D1038,binary
D1039,binary
D1040,binary
D1041,binary
D1042,binary
D1043,binary
D1044,binary
D1045,binary
D1046,binary
D1047,binary
D1048,binary
D1049,binary
D1050,binary
D1051,binary
D1052,binary
D1053,binary
D1054,binary
D1055,binary
D1056,binary
D1057,binary
D1058,binary
D1059,binary
D1060,binary
D1061,binary
D1062,binary
D1063,binary
D1064,binary
D1065,binary
D1066,binary
D1067,binary
D1068,binary
D1069,binary
D1070,binary
D1071,binary
D1072,binary
D1073,binary
D1074,binary
D1075,binary
D1076,binary
D1077,binary
D1078,binary
D1079,binary
D1080,binary
D1081,binary
D1082,binary
D1083,binary
D1084,binary
D1085,binary
D1086,binary
D1087,binary
D1088,binary
D1089,binary
D1090,binary
D1091,binary
D1092,binary
D1093,binary
D1094,binary
D1095,binary
D1096,binary
D1097,binary
D1098,binary
D1099,binary
D1100,binary
D1101,binary
D1102,binary
D1103,binary
D1104,binary
D1105,binary
D1106,binary
D1107,binary
D1108,binary
D1109,binary
D1110,binary
D1111,binary
D1112,binary
D1113,binary
D1114,binary
D1115,binary
D1116,binary
D1117,binary
D1118,binary
D1119,binary
D1120,binary
D1121,binary
D1122,binary
D1123,binary
D1124,binary
D1125,binary
D1126,binary
D1127,binary
D1128,binary
D1129,binary
D1130,binary
D1131,binary
D1132,binary
D1133,binary
D1134,binary
D1135,binary
D1136,binary
D1137,binary
D1138,binary
D1139,binary
D1140,binary
D1141,binary
D1142,binary
D1143,binary
D1144,binary
D1145,binary
D1146,binary
D1147,binary
D1148,binary
D1149,binary
D1150,binary
D1151,binary
D1152,binary
D1153,binary
D1154,binary
D1155,binary
D1156,binary
D1157,binary
D1158,binary
D1159,binary
D1160,binary
D1161,binary
D1162,binary
D1163,binary
D1164,binary
D1165,binary
D1166,binary
D1167,binary
D1168,binary
D1169,binary
D1170,binary
D1171,binary
D1172,binary
D1173,binary
D1174,binary
D1175,binary
D1176,binary
D1177,binary
D1178,binary
D1179,binary
D1180,binary
D1181,binary
D1182,binary
D1183,binary
D1184,binary
D1185,binary
D1186,binary
D1187,binary
D1188,binary
D1189,binary
D1190,binary
D1191,binary
D1192,binary
D1193,binary
D1194,binary
D1195,binary
D1196,binary
D1197,binary
D1198,binary
D1199,binary
D1200,binary
D1201,binary
D1202,binary
D1203,binary
D1204,binary
D1205,binary
D1206,binary
D1207,binary
D1208,binary
D1209,binary
D1210,binary
D1211,binary
D1212,binary
D1213,binary
D1214,binary
D1215,binary
D1216,binary
D1217,binary
D1218,binary
D1219,binary
D1220,binary
D1221,binary
D1222,binary
D1223,binary
D1224,binary
D1225,binary
D1226,binary
D1227,binary
D1228,binary
D1229,binary
D1230,binary
D1231,binary
D1232,binary
D1233,binary
D1234,binary
D1235,binary
D1236,binary
D1237,binary
D1238,binary
D1239,binary
D1240,binary
D1241,binary
D1242,binary
D1243,binary
D1244,binary
D1245,binary
D1246,binary
D1247,binary
D1248,binary
D1249,binary
D1250,binary
D1251,binary
D1252,binary
D1253,binary
D1254,binary
D1255,binary
D1256,binary
D1257,binary
D1258,binary
D1259,binary
D1260,binary
D1261,binary
D1262,binary
D1263,binary
D1264,binary
D1265,binary
D1266,binary
D1267,binary
D1268,binary
D1269,binary
D1270,binary
D1271,binary
D1272,binary
D1273,binary
D1274,binary
D1275,binary
D1276,binary
D1277,binary
D1278,binary
D1279,binary
D1280,binary
D1281,binary
D1282,binary
D1283,binary
D1284,binary
D1285,binary
D1286,binary
D1287,binary
D1288,binary
D1289,binary
D1290,binary
D1291,binary
D1292,binary
D1293,binary
D1294,binary
D1295,binary
D1296,binary
D1297,binary
D1298,binary
D1299,binary
D1300,binary
D1301,binary
D1302,binary
D1303,binary
D1304,binary
D1305,binary
D1306,binary
D1307,binary
D1308,binary
D1309,binary
D1310,binary
D1311,binary
D1312,binary
D1313,binary
D1314,binary
D1315,binary
D1316,binary
D1317,binary
D1318,binary
D1319,binary
D1320,binary
D1321,binary
D1322,binary
D1323,binary
D1324,binary
D1325,binary
D1326,binary
D1327,binary
D1328,binary
D1329,binary
D1330,binary
D1331,binary
D1332,binary
D1333,binary
D1334,binary
D1335,binary
D1336,binary
D1337,binary
D1338,binary
D1339,binary
D1340,binary
D1341,binary
D1342,binary
D1343,binary
D1344,binary
D1345,binary
D1346,binary
D1347,binary
D1348,binary
D1349,binary
D1350,binary
D1351,binary
D1352,binary
D1353,binary
D1354,binary
D1355,binary
D1356,binary
D1357,binary
D1358,binary
D1359,binary
D1360,binary
D1361,binary
D1362,binary
D1363,binary
D1364,binary
D1365,binary
D1366,binary
D1367,binary
D1368,binary
D1369,binary
D1370,binary
D1371,binary
D1372,binary
D1373,binary
D1374,binary
D1375,binary
D1376,binary
D1377,binary
D1378,binary
D1379,binary
D1380,binary
D1381,binary
D1382,binary
D1383,binary
D1384,binary
D1385,binary
D1386,binary
D1387,binary
D1388,binary
D1389,binary
D1390,binary
D1391,binary
D1392,binary
D1393,binary
D1394,binary
D1395,binary
D1396,binary
D1397,binary
D1398,binary
D1399,binary
D1400,binary
D1401,binary
D1402,binary
D1403,binary
D1404,binary
D1405,binary
D1406,binary
D1407,binary
D1408,binary
D1409,binary
D1410,binary
D1411,binary
D1412,binary
D1413,binary
D1414,binary
D1415,binary
D1416,binary
D1417,binary
D1418,binary
D1419,binary
D1420,binary
D1421,binary
D1422,binary
D1423,binary
D1424,binary
D1425,binary
D1426,binary
D1427,binary
D1428,binary
D1429,binary
D1430,binary
D1431,binary
D1432,binary
D1433,binary
D1434,binary
D1435,binary
D1436,binary
D1437,binary
D1438,binary
D1439,binary
D1440,binary
D1441,binary
D1442,binary
D1443,binary
D1444,binary
D1445,binary
D1446,binary
D1447,binary
D1448,binary
D1449,binary
D1450,binary
D1451,binary
D1452,binary
D1453,binary
D1454,binary
D1455,binary
D1456,binary
D1457,binary
D1458,binary
D1459,binary
D1460,binary
D1461,binary
D1462,binary
D1463,binary
D1464,binary
D1465,binary
D1467,binary
D1468,binary
D1469,binary
D1470,binary
D1471,binary
D1472,binary
D1473,binary
D1474,binary
D1475,binary
D1476,binary
D1477,binary
D1478,binary
D1479,binary
D1480,binary
D1481,binary
D1482,binary
D1483,binary
D1484,binary
D1485,binary
D1486,binary
D1488,binary
D1489,binary
D1490,binary
D1491,binary
D1492,binary
D1493,binary
D1494,binary
D1495,binary
D1496,binary
D1497,binary
D1498,binary
D1499,binary
D1500,binary
D1501,binary
D1502,binary
D1503,binary
D1504,binary
D1505,binary
D1506,binary
D1507,binary
D1508,binary
D1509,binary
D1510,binary
D1511,binary
D1512,binary
D1513,binary
D1514,binary
D1515,binary
D1516,binary
D1517,binary
D1518,binary
D1519,binary
D1520,binary
D1521,binary
D1522,binary
D1523,binary
D1524,binary
D1525,binary
D1526,binary
D1527,binary
D1528,binary
D1529,binary
D1530,binary
D1531,binary
D1532,binary
D1533,binary
D1534,binary
D1535,binary
D1536,binary
D1537,binary
D1538,binary
D1539,binary
D1540,binary
D1541,binary
D1542,binary
D1543,binary
D1544,binary
D1545,binary
D1546,binary
D1547,binary
D1548,binary
D1549,binary
D1550,binary
D1551,binary
D1552,binary
D1553,binary
D1554,binary
D1555,binary
D1556,binary
D1557,binary
D1558,binary
D1559,binary
D1560,binary
D1561,binary
D1562,binary
D1563,binary
D1564,binary
D1565,binary
D1566,binary
D1567,binary
D1568,binary
D1569,binary
D1570,binary
D1571,binary
D1572,binary
D1573,binary
D1574,binary
D1575,binary
D1576,binary
D1577,binary
D1578,binary
D1579,binary
D1580,binary
D1581,binary
D1582,binary
D1583,binary
D1584,binary
D1585,binary
D1586,binary
D1587,binary
D1588,binary
D1589,binary
D1590,binary
D1591,binary
D1592,binary
D1593,binary
D1594,binary
D1595,binary
D1596,binary
D1598,binary
D1599,binary
D1600,binary
D1601,binary
D1602,binary
D1603,binary
D1604,binary
D1605,binary
D1606,binary
D1607,binary
D1608,binary
D1609,binary
D1610,binary
D1611,binary
D1612,binary
D1613,binary
D1614,binary
D1615,binary
D1616,binary
D1617,binary
D1618,binary
D1619,binary
D1620,binary
D1621,binary
D1622,binary
D1623,binary
D1624,binary
D1625,binary
D1626,binary
D1627,binary
D1628,binary
D1629,binary
D1630,binary
D1631,binary
D1632,binary
D1633,binary
D1634,binary
D1635,binary
D1636,binary
D1637,binary
D1638,binary
D1639,binary
D1640,binary
D1641,binary
D1642,binary
D1643,binary
D1644,binary
D1645,binary
D1646,binary
D1647,binary
D1648,binary
D1649,binary
D1650,binary
D1651,binary
D1652,binary
D1653,binary
D1654,binary
D1655,binary
D1656,binary
D1657,binary
D1658,binary
D1659,binary
D1660,binary
D1661,binary
D1662,binary
D1663,binary
D1664,binary
D1665,binary
D1666,binary
D1667,binary
D1668,binary
D1669,binary
D1670,binary
D1671,binary
D1672,binary
D1673,binary
D1674,binary
D1675,binary
D1676,binary
D1677,binary
D1678,binary
D1679,binary
D1680,binary
D1681,binary
D1682,binary
D1683,binary
D1684,binary
D1685,binary
D1686,binary
D1687,binary
D1688,binary
D1689,binary
D1690,binary
D1691,binary
D1692,binary
D1693,binary
D1694,binary
D1695,binary
D1696,binary
D1697,binary
D1698,binary
D1699,binary
D1700,binary
D1701,binary
D1702,binary
D1703,binary
D1704,binary
D1705,binary
D1706,binary
D1707,binary
D1709,binary
D1710,binary
D1711,binary
D1712,binary
D1713,binary
D1714,binary
D1715,binary
D1716,binary
D1717,binary
D1718,binary
D1719,binary
D1720,binary
D1721,binary
D1722,binary
D1723,binary
D1724,binary
D1725,binary
D1726,binary
D1727,binary
D1728,binary
D1729,binary
D1730,binary
D1731,binary
D1732,binary
D1733,binary
D1734,binary
D1735,binary
D1736,binary
D1737,binary
D1738,binary
D1739,binary
D1740,binary
D1741,binary
D1742,binary
D1743,binary
D1744,binary
D1745,binary
D1746,binary
D1747,binary
D1748,binary
D1749,binary
D1750,binary
D1751,binary
D1752,binary
D1753,binary
D1754,binary
D1755,binary
D1756,binary
D1757,binary
D1758,binary
D1759,binary
D1760,binary
D1761,binary
D1762,binary
D1763,binary
D1764,binary
D1765,binary
D1766,binary
D1767,binary
D1768,binary
D1769,binary
D1770,binary
D1771,binary
D1772,binary
D1773,binary
D1774,binary
D1775,binary
D1776,binary
