row_index,mixed_classical_selected,mixed_balanced_selected,mixed_balanced_k2,mixed_balanced_k3,mixed_balanced_k4
246,1,1,0,1,0
247,1,2,1,0,3
248,1,2,1,0,3
249,0,0,1,2,2
250,1,2,1,0,3
251,1,3,0,1,1
252,1,3,0,1,1
253,1,2,1,0,3
254,1,2,1,0,3
255,1,3,0,1,1
256,0,0,1,2,2
257,1,1,0,1,0
258,1,1,0,1,0
259,0,0,1,2,2
260,0,0,1,2,2
261,1,2,1,0,3
262,0,0,1,2,2
263,0,0,1,2,2
264,0,0,1,2,2
265,0,0,1,2,2
266,1,2,1,0,3
267,1,1,0,1,0
268,1,2,1,0,3
269,1,1,0,1,0
270,1,2,1,0,3
271,0,0,1,2,2
272,1,1,0,1,0
273,1,2,1,0,3
274,0,0,1,2,2
275,1,1,0,1,0
276,0,0,1,2,2
277,1,3,0,1,1
278,1,2,1,0,3
279,1,3,0,1,1
280,0,0,1,2,2
281,1,1,0,1,0
282,0,0,1,2,2
283,1,2,1,0,3
284,0,0,1,2,2
285,0,0,1,2,2
286,0,0,1,2,2
287,1,1,0,1,0
288,1,2,1,0,3
289,1,2,1,0,3
290,1,1,0,1,0
291,1,2,1,0,3
292,1,2,1,0,3
293,0,0,1,2,2
294,1,2,1,0,3
295,1,2,1,0,3
296,1,2,1,0,3
297,1,2,1,0,3
298,1,3,0,1,1
299,0,0,1,2,2
300,0,0,1,2,2
301,1,1,0,1,0
302,1,2,1,0,3
303,1,2,1,0,3
304,1,1,0,1,0
305,1,2,1,0,3
306,1,2,1,0,3
307,1,1,0,1,0
308,1,1,0,1,0
309,1,2,1,0,3
310,0,0,1,2,2
311,0,0,1,2,2
312,1,2,1,0,3
313,1,2,1,0,3
314,1,2,1,0,3
315,0,0,1,2,2
316,0,0,1,2,2
317,1,2,1,0,3
318,1,1,0,1,0
319,1,2,1,0,3
320,1,1,0,1,0
321,0,0,1,2,2
322,1,3,0,1,1
323,1,2,1,0,3
324,1,2,1,0,3
325,0,0,1,2,2
326,1,2,1,0,3
327,0,0,1,2,2
328,1,2,1,0,3
329,1,2,1,0,3
330,1,2,1,0,3
331,1,1,0,1,0
332,1,2,1,0,3
333,1,2,1,0,3
334,1,1,0,1,0
335,1,3,0,1,1
336,0,0,1,2,2
337,1,1,0,1,0
338,0,0,1,2,2
339,0,0,1,2,2
340,1,1,0,1,0
341,0,0,1,2,2
342,1,1,0,1,0
343,1,2,1,0,3
344,0,0,1,2,2
345,0,0,1,2,2
346,1,1,0,1,0
347,1,2,1,0,3
348,1,3,0,1,1
349,1,3,0,1,1
350,1,2,1,0,3
351,1,2,1,0,3
352,1,2,1,0,3
353,1,3,0,1,1
354,1,2,1,0,3
355,1,1,0,1,0
356,1,3,0,1,1
357,1,2,1,0,3
358,1,2,1,0,3
359,1,3,0,1,1
360,1,3,0,1,1
361,1,2,1,0,3
362,0,0,1,2,2
363,0,0,1,2,2
364,0,0,1,2,2
365,1,2,1,0,3
366,1,1,0,1,0
367,0,0,1,2,2
368,1,2,1,0,3
369,1,2,1,0,3
370,1,2,1,0,3
371,1,3,0,1,1
372,1,2,1,0,3
373,1,2,1,0,3
374,1,2,1,0,3
375,1,3,0,1,1
376,1,1,0,1,0
377,0,0,1,2,2
378,1,2,1,0,3
379,0,0,1,2,2
380,1,3,0,1,1
381,1,2,1,0,3
382,1,1,0,1,0
383,1,1,0,1,0
384,1,2,1,0,3
385,0,0,1,2,2
386,1,1,0,1,0
387,1,2,1,0,3
388,1,1,0,1,0
389,1,1,0,1,0
390,0,0,1,2,2
391,1,1,0,1,0
392,1,2,1,0,3
393,1,1,0,1,0
394,1,1,0,1,0
395,1,2,1,0,3
396,1,3,0,1,1
397,1,2,1,0,3
398,0,0,1,2,2
399,1,2,1,0,3
400,1,1,0,1,0
401,1,1,0,1,0
402,1,1,0,1,0
403,0,0,1,2,2
404,1,2,1,0,3
405,1,1,0,1,0
406,1,1,0,1,0
407,1,1,0,1,0
408,0,0,1,2,2
409,1,3,0,1,1
410,1,1,0,1,0
411,1,2,1,0,3
412,1,2,1,0,3
413,1,1,0,1,0
414,1,1,0,1,0
415,1,2,1,0,3
416,0,0,1,2,2
417,1,3,0,1,1
418,1,2,1,0,3
419,1,1,0,1,0
420,0,0,1,2,2
421,1,1,0,1,0
422,0,0,1,2,2
423,0,0,1,2,2
424,1,2,1,0,3
425,0,0,1,2,2
426,1,1,0,1,0
427,0,0,1,2,2
428,0,0,1,2,2
429,1,1,0,1,0
430,1,2,1,0,3
431,0,0,1,2,2
432,1,2,1,0,3
433,0,0,1,2,2
434,0,0,1,2,2
435,0,0,1,2,2
436,1,2,1,0,3
437,1,2,1,0,3
438,1,2,1,0,3
439,1,2,1,0,3
440,1,2,1,0,3
441,0,0,1,2,2
442,0,0,1,2,2
443,1,1,0,1,0
444,1,2,1,0,3
445,1,2,1,0,3
446,1,1,0,1,0
447,1,1,0,1,0
448,1,1,0,1,0
449,0,0,1,2,2
450,1,2,1,0,3
451,1,1,0,1,0
452,1,1,0,1,0
453,1,1,0,1,0
454,1,1,0,1,0
455,0,0,1,2,2
456,1,2,1,0,3
457,1,1,0,1,0
458,1,3,0,1,1
459,1,1,0,1,0
460,1,2,1,0,3
461,0,0,1,2,2
462,1,1,0,1,0
463,0,0,1,2,2
464,1,2,1,0,3
465,0,0,1,2,2
466,1,2,1,0,3
467,1,1,0,1,0
468,1,1,0,1,0
469,1,1,0,1,0
470,1,1,0,1,0
471,0,0,1,2,2
472,0,0,1,2,2
473,1,2,1,0,3
474,1,1,0,1,0
475,1,2,1,0,3
476,0,0,1,2,2
477,1,2,1,0,3
478,1,2,1,0,3
479,1,2,1,0,3
480,1,2,1,0,3
481,0,0,1,2,2
482,1,3,0,1,1
483,1,2,1,0,3
484,1,2,1,0,3
485,0,0,1,2,2
486,1,2,1,0,3
487,1,2,1,0,3
488,1,2,1,0,3
489,0,0,1,2,2
490,1,2,1,0,3
491,0,0,1,2,2
492,1,2,1,0,3
493,1,2,1,0,3
494,1,3,0,1,1
495,1,1,0,1,0
496,1,2,1,0,3
497,1,1,0,1,0
498,1,3,0,1,1
499,1,1,0,1,0
500,0,0,1,2,2
501,1,2,1,0,3
502,1,2,1,0,3
503,0,0,1,2,2
504,1,1,0,1,0
505,0,0,1,2,2
506,1,2,1,0,3
507,0,0,1,2,2
508,1,2,1,0,3
509,1,2,1,0,3
510,1,1,0,1,0
511,1,1,0,1,0
512,1,1,0,1,0
513,0,0,1,2,2
514,1,3,0,1,1
515,1,1,0,1,0
516,1,1,0,1,0
517,1,3,0,1,1
518,1,2,1,0,3
519,1,3,0,1,1
520,1,1,0,1,0
521,1,1,0,1,0
522,1,3,0,1,1
523,1,2,1,0,3
524,1,2,1,0,3
525,1,1,0,1,0
526,1,2,1,0,3
527,1,2,1,0,3
528,0,0,1,2,2
529,0,0,1,2,2
530,0,0,1,2,2
531,0,0,1,2,2
532,1,2,1,0,3
533,1,1,0,1,0
534,0,0,1,2,2
535,1,1,0,1,0
536,1,3,0,1,1
537,0,0,1,2,2
538,0,0,1,2,2
539,1,3,0,1,1
540,1,2,1,0,3
541,1,1,0,1,0
542,1,2,1,0,3
543,1,2,1,0,3
544,1,2,1,0,3
545,1,1,0,1,0
546,1,1,0,1,0
547,0,0,1,2,2
548,0,0,1,2,2
549,1,2,1,0,3
550,1,1,0,1,0
551,1,1,0,1,0
552,1,2,1,0,3
553,1,3,0,1,1
554,1,2,1,0,3
555,1,2,1,0,3
556,1,3,0,1,1
557,1,1,0,1,0
558,0,0,1,2,2
559,1,1,0,1,0
560,1,3,0,1,1
561,1,1,0,1,0
562,1,1,0,1,0
563,1,2,1,0,3
564,1,2,1,0,3
565,0,0,1,2,2
566,0,0,1,2,2
567,0,0,1,2,2
568,0,0,1,2,2
569,1,2,1,0,3
570,1,2,1,0,3
571,0,0,1,2,2
572,1,1,0,1,0
573,1,1,0,1,0
574,1,1,0,1,0
575,0,0,1,2,2
576,1,1,0,1,0
577,1,1,0,1,0
578,1,3,0,1,1
579,1,3,0,1,1
580,1,1,0,1,0
581,1,2,1,0,3
582,1,1,0,1,0
583,1,2,1,0,3
584,1,2,1,0,3
585,1,2,1,0,3
586,0,0,1,2,2
587,1,1,0,1,0
588,1,2,1,0,3
589,1,2,1,0,3
590,1,2,1,0,3
591,1,1,0,1,0
592,0,0,1,2,2
593,1,3,0,1,1
594,1,2,1,0,3
595,1,3,0,1,1
596,0,0,1,2,2
597,1,2,1,0,3
598,0,0,1,2,2
599,1,2,1,0,3
600,1,2,1,0,3
601,1,1,0,1,0
602,1,2,1,0,3
603,1,2,1,0,3
604,1,2,1,0,3
605,0,0,1,2,2
606,1,1,0,1,0
607,0,0,1,2,2
608,1,2,1,0,3
609,0,0,1,2,2
610,1,2,1,0,3
611,0,0,1,2,2
612,1,1,0,1,0
613,1,1,0,1,0
614,0,0,1,2,2
615,0,0,1,2,2
616,0,0,1,2,2
617,0,0,1,2,2
618,1,2,1,0,3
619,1,3,0,1,1
620,0,0,1,2,2
621,1,2,1,0,3
622,1,2,1,0,3
623,0,0,1,2,2
624,1,1,0,1,0
625,1,2,1,0,3
626,0,0,1,2,2
627,1,3,0,1,1
628,1,2,1,0,3
629,1,1,0,1,0
630,0,0,1,2,2
631,1,1,0,1,0
632,1,2,1,0,3
633,0,0,1,2,2
634,0,0,1,2,2
635,0,0,1,2,2
636,0,0,1,2,2
637,1,2,1,0,3
638,1,1,0,1,0
639,0,0,1,2,2
640,1,2,1,0,3
641,1,2,1,0,3
642,1,1,0,1,0
643,1,2,1,0,3
644,1,3,0,1,1
645,0,0,1,2,2
646,1,1,0,1,0
647,1,3,0,1,1
648,0,0,1,2,2
649,1,3,0,1,1
650,1,3,0,1,1
651,0,0,1,2,2
652,1,3,0,1,1
653,0,0,1,2,2
654,1,1,0,1,0
655,0,0,1,2,2
656,1,3,0,1,1
657,1,2,1,0,3
658,0,0,1,2,2
659,0,0,1,2,2
660,1,2,1,0,3
661,1,2,1,0,3
662,0,0,1,2,2
663,1,1,0,1,0
664,1,3,0,1,1
665,1,2,1,0,3
666,0,0,1,2,2
667,1,3,0,1,1
668,0,0,1,2,2
669,1,1,0,1,0
670,1,1,0,1,0
671,1,2,1,0,3
672,1,2,1,0,3
673,0,0,1,2,2
674,1,2,1,0,3
675,0,0,1,2,2
676,1,2,1,0,3
677,0,0,1,2,2
678,1,1,0,1,0
679,1,2,1,0,3
680,1,1,0,1,0
681,1,2,1,0,3
682,1,2,1,0,3
683,1,1,0,1,0
684,1,1,0,1,0
685,1,2,1,0,3
686,1,1,0,1,0
687,1,2,1,0,3
688,0,0,1,2,2
689,1,2,1,0,3
690,1,3,0,1,1
691,1,1,0,1,0
692,1,2,1,0,3
693,1,1,0,1,0
694,1,2,1,0,3
695,1,1,0,1,0
696,0,0,1,2,2
697,1,3,0,1,1
698,1,3,0,1,1
699,1,3,0,1,1
700,0,0,1,2,2
701,1,3,0,1,1
702,1,2,1,0,3
703,0,0,1,2,2
704,0,0,1,2,2
705,0,0,1,2,2
706,1,1,0,1,0
707,1,3,0,1,1
708,1,2,1,0,3
709,0,0,1,2,2
710,0,0,1,2,2
711,1,3,0,1,1
712,1,2,1,0,3
713,0,0,1,2,2
714,1,2,1,0,3
715,1,3,0,1,1
716,0,0,1,2,2
717,1,2,1,0,3
718,1,2,1,0,3
719,1,1,0,1,0
720,0,0,1,2,2
721,1,2,1,0,3
722,1,1,0,1,0
723,1,2,1,0,3
724,1,2,1,0,3
725,0,0,1,2,2
726,1,2,1,0,3
727,1,2,1,0,3
728,0,0,1,2,2
729,1,2,1,0,3
730,0,0,1,2,2
731,1,2,1,0,3
732,0,0,1,2,2
733,0,0,1,2,2
734,0,0,1,2,2
735,0,0,1,2,2
736,1,2,1,0,3
737,0,0,1,2,2
738,1,2,1,0,3
739,1,2,1,0,3
740,1,2,1,0,3
741,1,1,0,1,0
742,1,2,1,0,3
743,1,1,0,1,0
744,1,2,1,0,3
745,0,0,1,2,2
746,0,0,1,2,2
747,1,1,0,1,0
748,1,1,0,1,0
749,1,2,1,0,3
750,1,2,1,0,3
751,1,1,0,1,0
752,1,2,1,0,3
753,0,0,1,2,2
754,1,1,0,1,0
755,1,3,0,1,1
756,1,2,1,0,3
757,1,2,1,0,3
758,0,0,1,2,2
759,1,3,0,1,1
760,1,1,0,1,0
761,0,0,1,2,2
762,1,2,1,0,3
763,1,2,1,0,3
764,1,2,1,0,3
765,0,0,1,2,2
766,1,3,0,1,1
767,0,0,1,2,2
768,1,2,1,0,3
769,1,2,1,0,3
770,1,2,1,0,3
771,1,2,1,0,3
772,1,2,1,0,3
773,1,1,0,1,0
774,1,1,0,1,0
775,1,2,1,0,3
776,1,2,1,0,3
777,0,0,1,2,2
778,1,2,1,0,3
779,1,1,0,1,0
780,1,1,0,1,0
781,1,1,0,1,0
782,1,2,1,0,3
783,0,0,1,2,2
784,1,1,0,1,0
785,0,0,1,2,2
786,1,2,1,0,3
787,1,1,0,1,0
788,1,2,1,0,3
789,1,2,1,0,3
790,1,2,1,0,3
791,1,1,0,1,0
792,1,1,0,1,0
793,1,3,0,1,1
794,1,1,0,1,0
795,0,0,1,2,2
796,1,2,1,0,3
797,1,2,1,0,3
798,1,1,0,1,0
799,1,1,0,1,0
800,1,2,1,0,3
801,1,1,0,1,0
802,1,2,1,0,3
803,1,1,0,1,0
804,1,2,1,0,3
805,1,2,1,0,3
806,1,1,0,1,0
807,1,2,1,0,3
808,0,0,1,2,2
809,0,0,1,2,2
810,1,1,0,1,0
811,0,0,1,2,2
812,0,0,1,2,2
813,0,0,1,2,2
814,1,1,0,1,0
815,0,0,1,2,2
816,1,1,0,1,0
817,0,0,1,2,2
818,1,2,1,0,3
819,1,3,0,1,1
820,1,2,1,0,3
821,1,1,0,1,0
822,1,1,0,1,0
823,0,0,1,2,2
824,1,1,0,1,0
825,1,2,1,0,3
826,1,1,0,1,0
827,0,0,1,2,2
828,0,0,1,2,2
829,0,0,1,2,2
830,1,2,1,0,3
831,1,1,0,1,0
832,1,2,1,0,3
833,1,3,0,1,1
834,1,3,0,1,1
835,0,0,1,2,2
836,1,3,0,1,1
837,1,2,1,0,3
838,1,1,0,1,0
839,0,0,1,2,2
840,0,0,1,2,2
841,1,2,1,0,3
842,1,1,0,1,0
843,0,0,1,2,2
844,1,2,1,0,3
845,1,1,0,1,0
846,0,0,1,2,2
847,1,2,1,0,3
848,1,1,0,1,0
849,1,2,1,0,3
850,1,3,0,1,1
851,0,0,1,2,2
852,1,1,0,1,0
853,1,1,0,1,0
854,0,0,1,2,2
855,1,1,0,1,0
856,0,0,1,2,2
857,0,0,1,2,2
858,1,3,0,1,1
859,1,3,0,1,1
860,1,1,0,1,0
861,1,2,1,0,3
862,1,2,1,0,3
863,0,0,1,2,2
864,1,1,0,1,0
865,0,0,1,2,2
866,1,2,1,0,3
867,0,0,1,2,2
868,1,2,1,0,3
869,1,3,0,1,1
870,0,0,1,2,2
871,0,0,1,2,2
872,0,0,1,2,2
873,1,3,0,1,1
874,1,2,1,0,3
875,1,1,0,1,0
876,1,3,0,1,1
877,1,2,1,0,3
878,1,3,0,1,1
879,1,3,0,1,1
880,1,2,1,0,3
881,0,0,1,2,2
882,0,0,1,2,2
883,1,1,0,1,0
884,0,0,1,2,2
885,0,0,1,2,2
886,1,2,1,0,3
887,0,0,1,2,2
888,1,2,1,0,3
889,0,0,1,2,2
890,0,0,1,2,2
891,1,2,1,0,3
892,0,0,1,2,2
893,1,1,0,1,0
894,1,3,0,1,1
895,0,0,1,2,2
896,1,1,0,1,0
897,0,0,1,2,2
898,1,3,0,1,1
899,1,2,1,0,3
900,1,2,1,0,3
901,1,2,1,0,3
902,1,2,1,0,3
903,0,0,1,2,2
904,1,1,0,1,0
905,1,2,1,0,3
906,0,0,1,2,2
907,1,1,0,1,0
908,0,0,1,2,2
909,1,3,0,1,1
910,1,3,0,1,1
911,1,1,0,1,0
912,1,2,1,0,3
913,1,1,0,1,0
914,1,1,0,1,0
915,1,3,0,1,1
916,1,2,1,0,3
917,0,0,1,2,2
918,1,2,1,0,3
919,1,1,0,1,0
920,1,2,1,0,3
921,1,1,0,1,0
922,1,1,0,1,0
923,1,1,0,1,0
924,1,3,0,1,1
925,0,0,1,2,2
926,1,2,1,0,3
927,0,0,1,2,2
928,1,3,0,1,1
929,1,3,0,1,1
930,1,2,1,0,3
931,1,1,0,1,0
932,1,1,0,1,0
933,1,1,0,1,0
934,0,0,1,2,2
935,1,2,1,0,3
936,1,3,0,1,1
937,1,3,0,1,1
938,0,0,1,2,2
939,0,0,1,2,2
940,0,0,1,2,2
941,1,2,1,0,3
942,1,2,1,0,3
943,1,1,0,1,0
944,1,2,1,0,3
945,1,1,0,1,0
946,1,1,0,1,0
947,1,3,0,1,1
948,0,0,1,2,2
949,0,0,1,2,2
950,0,0,1,2,2
951,1,1,0,1,0
952,1,3,0,1,1
953,0,0,1,2,2
954,1,1,0,1,0
955,0,0,1,2,2
956,0,0,1,2,2
957,1,1,0,1,0
958,1,3,0,1,1
959,1,2,1,0,3
960,1,2,1,0,3
961,0,0,1,2,2
962,0,0,1,2,2
963,1,2,1,0,3
964,1,2,1,0,3
965,1,1,0,1,0
966,0,0,1,2,2
967,1,2,1,0,3
968,1,3,0,1,1
969,1,1,0,1,0
970,1,2,1,0,3
971,1,2,1,0,3
972,1,2,1,0,3
973,1,2,1,0,3
974,1,3,0,1,1
975,1,2,1,0,3
976,0,0,1,2,2
977,0,0,1,2,2
978,0,0,1,2,2
979,1,1,0,1,0
980,1,1,0,1,0
981,0,0,1,2,2
982,1,1,0,1,0
983,1,3,0,1,1
984,0,0,1,2,2
985,1,1,0,1,0
986,1,2,1,0,3
987,1,2,1,0,3
988,0,0,1,2,2
989,1,1,0,1,0
990,1,1,0,1,0
991,1,3,0,1,1
992,1,2,1,0,3
993,0,0,1,2,2
994,0,0,1,2,2
995,1,3,0,1,1
996,1,3,0,1,1
997,0,0,1,2,2
998,1,2,1,0,3
999,1,2,1,0,3
1000,1,1,0,1,0
1001,1,1,0,1,0
1002,0,0,1,2,2
1003,1,2,1,0,3
1004,0,0,1,2,2
1005,1,3,0,1,1
1006,1,3,0,1,1
1007,1,1,0,1,0
1008,1,2,1,0,3
1009,1,2,1,0,3
1010,1,2,1,0,3
1011,1,1,0,1,0
1012,0,0,1,2,2
1013,1,1,0,1,0
1014,1,3,0,1,1
1015,1,2,1,0,3
1016,0,0,1,2,2
1017,1,2,1,0,3
1018,1,1,0,1,0
1019,0,0,1,2,2
1020,1,2,1,0,3
1021,1,2,1,0,3
1022,1,1,0,1,0
1023,1,1,0,1,0
1024,1,2,1,0,3
1025,1,3,0,1,1
1026,1,2,1,0,3
1027,1,2,1,0,3
1028,0,0,1,2,2
1029,0,0,1,2,2
1030,1,2,1,0,3
1031,1,2,1,0,3
1032,1,2,1,0,3
1033,0,0,1,2,2
1034,0,0,1,2,2
1035,1,1,0,1,0
1036,0,0,1,2,2
1037,1,2,1,0,3
1038,1,1,0,1,0
1039,1,1,0,1,0
1040,1,2,1,0,3
1041,1,1,0,1,0
1042,0,0,1,2,2
1043,1,2,1,0,3
1044,1,3,0,1,1
1045,0,0,1,2,2
1046,1,1,0,1,0
1047,1,2,1,0,3
1048,0,0,1,2,2
1049,1,1,0,1,0
1050,1,1,0,1,0
1051,0,0,1,2,2
1052,1,2,1,0,3
1053,0,0,1,2,2
1054,1,2,1,0,3
1055,1,1,0,1,0
1056,1,2,1,0,3
1057,0,0,1,2,2
1058,1,2,1,0,3
1059,1,2,1,0,3
1060,1,1,0,1,0
1061,0,0,1,2,2
1062,0,0,1,2,2
1063,0,0,1,2,2
1064,0,0,1,2,2
1065,0,0,1,2,2
1066,1,2,1,0,3
1067,1,1,0,1,0
1068,1,1,0,1,0
1069,1,2,1,0,3
1070,1,1,0,1,0
1071,1,1,0,1,0
1072,0,0,1,2,2
1073,0,0,1,2,2
1074,1,2,1,0,3
1075,1,2,1,0,3
1076,1,2,1,0,3
1077,1,2,1,0,3
1078,0,0,1,2,2
1079,1,1,0,1,0
1080,1,2,1,0,3
1081,1,2,1,0,3
1082,0,0,1,2,2
1083,1,1,0,1,0
1084,1,2,1,0,3
1085,1,2,1,0,3
1086,1,2,1,0,3
1087,0,0,1,2,2
1088,0,0,1,2,2
1089,1,1,0,1,0
1090,1,1,0,1,0
1091,0,0,1,2,2
1092,0,0,1,2,2
1093,1,2,1,0,3
1094,1,2,1,0,3
1095,1,1,0,1,0
1096,1,1,0,1,0
1097,1,2,1,0,3
1098,1,1,0,1,0
1099,1,3,0,1,1
1100,1,3,0,1,1
1101,1,1,0,1,0
1102,1,2,1,0,3
1103,0,0,1,2,2
1104,1,1,0,1,0
1105,0,0,1,2,2
1106,0,0,1,2,2
1107,1,2,1,0,3
1108,1,2,1,0,3
1109,1,3,0,1,1
1110,1,3,0,1,1
1111,1,2,1,0,3
1112,1,2,1,0,3
1113,1,2,1,0,3
1114,1,1,0,1,0
1115,1,1,0,1,0
1116,1,1,0,1,0
1117,1,2,1,0,3
1118,1,1,0,1,0
1119,1,2,1,0,3
1120,0,0,1,2,2
1121,1,1,0,1,0
1122,1,2,1,0,3
1123,1,1,0,1,0
1124,1,1,0,1,0
1125,0,0,1,2,2
1126,1,2,1,0,3
1127,0,0,1,2,2
1128,1,2,1,0,3
1129,1,2,1,0,3
1130,1,1,0,1,0
1131,1,3,0,1,1
1132,0,0,1,2,2
1133,0,0,1,2,2
1134,1,1,0,1,0
1135,1,1,0,1,0
1136,1,2,1,0,3
1137,1,1,0,1,0
1138,1,2,1,0,3
1139,1,1,0,1,0
1140,1,3,0,1,1
1141,1,2,1,0,3
1142,0,0,1,2,2
1143,1,1,0,1,0
