feature,dominant_value_ratio,dominant_value_pct,n_unique,drop
D781,0.9957344708077845,99.57344708077845,4,True
D782,0.9957344708077845,99.57344708077845,6,True
D285,0.9957344708077845,99.57344708077845,3,True
D715,0.9954678752332712,99.54678752332711,5,True
D541,0.9954678752332712,99.54678752332711,7,True
D503,0.9954678752332712,99.54678752332711,6,True
D372,0.9954678752332712,99.54678752332711,7,True
D641,0.9954678752332712,99.54678752332711,4,True
D257,0.9954678752332712,99.54678752332711,8,True
D305,0.9954678752332712,99.54678752332711,4,True
D308,0.9954678752332712,99.54678752332711,5,True
D408,0.9952012796587577,99.52012796587577,4,True
D723,0.9952012796587577,99.52012796587577,6,True
D414,0.9952012796587577,99.52012796587577,3,True
D799,0.9952012796587577,99.52012796587577,4,True
D570,0.9952012796587577,99.52012796587577,4,True
D875,0.9952012796587577,99.52012796587577,4,True
D243,0.9952012796587577,99.52012796587577,19,True
D684,0.9952012796587577,99.52012796587577,5,True
D188,0.9952012796587577,99.52012796587577,19,True
D804,0.9952012796587577,99.52012796587577,3,True
D369,0.9949346840842442,99.49346840842442,4,True
D356,0.9949346840842442,99.49346840842442,6,True
D805,0.9949346840842442,99.49346840842442,4,True
D406,0.9949346840842442,99.49346840842442,3,True
D870,0.9949346840842442,99.49346840842442,6,True
D800,0.9949346840842442,99.49346840842442,4,True
D299,0.9949346840842442,99.49346840842442,7,True
D184,0.9949346840842442,99.49346840842442,20,True
D603,0.9946680885097308,99.46680885097308,4,True
D836,0.9946680885097308,99.46680885097308,5,True
D835,0.9946680885097308,99.46680885097308,5,True
D322,0.9946680885097308,99.46680885097308,4,True
D241,0.9946680885097308,99.46680885097308,21,True
D656,0.9946680885097308,99.46680885097308,3,True
D852,0.9946680885097308,99.46680885097308,7,True
D298,0.9946680885097308,99.46680885097308,6,True
D171,0.9946680885097308,99.46680885097308,21,True
D878,0.9946680885097308,99.46680885097308,6,True
D487,0.9946680885097308,99.46680885097308,7,True
D247,0.9946680885097308,99.46680885097308,21,True
D354,0.9946680885097308,99.46680885097308,7,True
D909,0.9946680885097308,99.46680885097308,5,True
D407,0.9946680885097308,99.46680885097308,3,True
D618,0.9946680885097308,99.46680885097308,5,True
D384,0.9944014929352173,99.44014929352173,6,True
D853,0.9944014929352173,99.44014929352173,7,True
D511,0.9944014929352173,99.44014929352173,3,True
D877,0.9944014929352173,99.44014929352173,5,True
D922,0.9944014929352173,99.44014929352173,5,True
D439,0.9944014929352173,99.44014929352173,7,True
D683,0.9944014929352173,99.44014929352173,7,True
D633,0.9944014929352173,99.44014929352173,4,True
D357,0.9944014929352173,99.44014929352173,6,True
D786,0.9944014929352173,99.44014929352173,7,True
D779,0.9944014929352173,99.44014929352173,6,True
D670,0.9944014929352173,99.44014929352173,3,True
D645,0.9944014929352173,99.44014929352173,4,True
D744,0.9944014929352173,99.44014929352173,4,True
D746,0.9941348973607038,99.41348973607037,3,True
D632,0.9941348973607038,99.41348973607037,4,True
D244,0.9941348973607038,99.41348973607037,23,True
D450,0.9941348973607038,99.41348973607037,4,True
D300,0.9941348973607038,99.41348973607037,6,True
D657,0.9941348973607038,99.41348973607037,5,True
D438,0.9941348973607038,99.41348973607037,6,True
D930,0.9938683017861903,99.38683017861904,4,True
D295,0.9938683017861903,99.38683017861904,4,True
D716,0.9938683017861903,99.38683017861904,3,True
D719,0.9938683017861903,99.38683017861904,5,True
D671,0.9938683017861903,99.38683017861904,5,True
D619,0.9938683017861903,99.38683017861904,5,True
D727,0.9938683017861903,99.38683017861904,5,True
D385,0.9938683017861903,99.38683017861904,6,True
D655,0.9938683017861903,99.38683017861904,4,True
D413,0.9936017062116769,99.36017062116768,4,True
D403,0.9936017062116769,99.36017062116768,5,True
D269,0.9936017062116769,99.36017062116768,4,True
D931,0.9936017062116769,99.36017062116768,4,True
D869,0.9936017062116769,99.36017062116768,8,True
D745,0.9933351106371634,99.33351106371634,3,True
D851,0.9933351106371634,99.33351106371634,7,True
D296,0.9933351106371634,99.33351106371634,9,True
D718,0.9933351106371634,99.33351106371634,5,True
D790,0.9933351106371634,99.33351106371634,3,True
D256,0.9933351106371634,99.33351106371634,4,True
D483,0.9930685150626499,99.30685150626499,6,True
D437,0.9930685150626499,99.30685150626499,5,True
D722,0.9930685150626499,99.30685150626499,4,True
D886,0.9930685150626499,99.30685150626499,8,True
D885,0.9930685150626499,99.30685150626499,7,True
D736,0.9930685150626499,99.30685150626499,4,True
D332,0.9930685150626499,99.30685150626499,4,True
D230,0.9930685150626499,99.30685150626499,3,True
D921,0.9928019194881365,99.28019194881365,5,True
D533,0.9928019194881365,99.28019194881365,10,True
D239,0.9928019194881365,99.28019194881365,28,True
D899,0.992535323913623,99.2535323913623,14,True
D276,0.992535323913623,99.2535323913623,5,True
D717,0.992535323913623,99.2535323913623,5,True
D275,0.9922687283391096,99.22687283391096,3,True
D323,0.9922687283391096,99.22687283391096,6,True
D355,0.9922687283391096,99.22687283391096,7,True
D294,0.9922687283391096,99.22687283391096,5,True
D682,0.9922687283391096,99.22687283391096,5,True
D501,0.9922687283391096,99.22687283391096,5,True
D725,0.9922687283391096,99.22687283391096,5,True
D509,0.9922687283391096,99.22687283391096,4,True
D398,0.9920021327645961,99.20021327645962,5,True
D606,0.9920021327645961,99.20021327645962,6,True
D695,0.9920021327645961,99.20021327645962,6,True
D713,0.9920021327645961,99.20021327645962,7,True
D580,0.9920021327645961,99.20021327645962,6,True
D255,0.9920021327645961,99.20021327645962,5,True
D507,0.9920021327645961,99.20021327645962,4,True
D634,0.9917355371900827,99.17355371900827,9,True
D604,0.9917355371900827,99.17355371900827,3,True
D368,0.9917355371900827,99.17355371900827,4,True
D253,0.9917355371900827,99.17355371900827,3,True
D331,0.9917355371900827,99.17355371900827,4,True
D620,0.9917355371900827,99.17355371900827,6,True
D286,0.9917355371900827,99.17355371900827,3,True
D834,0.9914689416155692,99.14689416155692,5,True
D644,0.9914689416155692,99.14689416155692,4,True
D566,0.9914689416155692,99.14689416155692,10,True
D506,0.9914689416155692,99.14689416155692,3,True
D232,0.9914689416155692,99.14689416155692,33,True
D284,0.9914689416155692,99.14689416155692,3,True
D868,0.9914689416155692,99.14689416155692,9,True
D412,0.9912023460410557,99.12023460410558,4,True
D1487,0.9912023460410557,99.12023460410558,2,True
D399,0.9912023460410557,99.12023460410558,10,True
D271,0.9912023460410557,99.12023460410558,3,True
D761,0.9912023460410557,99.12023460410558,3,True
D397,0.9912023460410557,99.12023460410558,6,True
D735,0.9909357504665423,99.09357504665422,3,True
D252,0.9909357504665423,99.09357504665422,3,True
D1708,0.9909357504665423,99.09357504665422,2,True
D1466,0.9909357504665423,99.09357504665422,2,True
D640,0.9909357504665423,99.09357504665422,5,True
D696,0.9909357504665423,99.09357504665422,8,True
D293,0.9909357504665423,99.09357504665422,4,True
D254,0.9906691548920288,99.06691548920288,4,True
D411,0.9906691548920288,99.06691548920288,3,True
D617,0.9906691548920288,99.06691548920288,5,True
D297,0.9906691548920288,99.06691548920288,4,True
D576,0.9906691548920288,99.06691548920288,6,True
D500,0.9906691548920288,99.06691548920288,8,True
D577,0.9906691548920288,99.06691548920288,6,True
D468,0.9904025593175153,99.04025593175153,9,True
D714,0.9904025593175153,99.04025593175153,6,True
D724,0.9901359637430018,99.01359637430018,5,True
D1597,0.9901359637430018,99.01359637430018,2,True
D945,0.9901359637430018,99.01359637430018,6,True
D353,0.9901359637430018,99.01359637430018,8,True
D345,0.9901359637430018,99.01359637430018,9,True
D383,0.9898693681684884,98.98693681684884,6,False
D396,0.9898693681684884,98.98693681684884,6,False
D330,0.9898693681684884,98.98693681684884,4,False
D833,0.9898693681684884,98.98693681684884,6,False
D601,0.9898693681684884,98.98693681684884,4,False
D602,0.9898693681684884,98.98693681684884,3,False
D1685,0.9896027725939749,98.96027725939749,2,False
D578,0.9896027725939749,98.96027725939749,6,False
D1570,0.9896027725939749,98.96027725939749,2,False
D508,0.9896027725939749,98.96027725939749,5,False
D1671,0.9896027725939749,98.96027725939749,2,False
D780,0.9896027725939749,98.96027725939749,16,False
D1621,0.9896027725939749,98.96027725939749,2,False
D1670,0.9896027725939749,98.96027725939749,2,False
D1748,0.9893361770194615,98.93361770194615,2,False
D486,0.9893361770194615,98.93361770194615,10,False
D274,0.9893361770194615,98.93361770194615,3,False
D264,0.9893361770194615,98.93361770194615,5,False
D1719,0.9893361770194615,98.93361770194615,2,False
D1557,0.9893361770194615,98.93361770194615,2,False
D1721,0.989069581444948,98.90695814449481,2,False
D467,0.989069581444948,98.90695814449481,6,False
D1667,0.989069581444948,98.90695814449481,2,False
D681,0.989069581444948,98.90695814449481,5,False
D1615,0.989069581444948,98.90695814449481,2,False
D1490,0.989069581444948,98.90695814449481,2,False
D1522,0.989069581444948,98.90695814449481,2,False
D552,0.989069581444948,98.90695814449481,8,False
D884,0.989069581444948,98.90695814449481,7,False
D867,0.989069581444948,98.90695814449481,10,False
D855,0.989069581444948,98.90695814449481,7,False
D1635,0.989069581444948,98.90695814449481,2,False
D321,0.9888029858704346,98.88029858704346,4,False
D798,0.9888029858704346,98.88029858704346,6,False
D1485,0.9888029858704346,98.88029858704346,2,False
D1617,0.9888029858704346,98.88029858704346,2,False
D1776,0.9888029858704346,98.88029858704346,2,False
D1647,0.9888029858704346,98.88029858704346,2,False
D1756,0.9888029858704346,98.88029858704346,2,False
D273,0.9888029858704346,98.88029858704346,4,False
D1600,0.9885363902959211,98.85363902959212,2,False
D946,0.9885363902959211,98.85363902959212,19,False
D1560,0.9885363902959211,98.85363902959212,2,False
D1655,0.9885363902959211,98.85363902959212,2,False
D760,0.9885363902959211,98.85363902959212,9,False
D409,0.9885363902959211,98.85363902959212,4,False
D1707,0.9885363902959211,98.85363902959212,2,False
D898,0.9885363902959211,98.85363902959212,7,False
D553,0.9882697947214076,98.82697947214076,10,False
D1475,0.9882697947214076,98.82697947214076,2,False
D1632,0.9882697947214076,98.82697947214076,2,False
D1722,0.9882697947214076,98.82697947214076,2,False
D832,0.9882697947214076,98.82697947214076,5,False
D593,0.9882697947214076,98.82697947214076,12,False
D236,0.9882697947214076,98.82697947214076,45,False
D1774,0.9882697947214076,98.82697947214076,2,False
D1687,0.9882697947214076,98.82697947214076,2,False
D616,0.9882697947214076,98.82697947214076,3,False
D1740,0.9882697947214076,98.82697947214076,2,False
D1701,0.9880031991468942,98.80031991468941,2,False
D1745,0.9880031991468942,98.80031991468941,2,False
D876,0.9880031991468942,98.80031991468941,5,False
D268,0.9880031991468942,98.80031991468941,8,False
D1480,0.9880031991468942,98.80031991468941,2,False
D231,0.9880031991468942,98.80031991468941,3,False
D1680,0.9880031991468942,98.80031991468941,2,False
D579,0.9880031991468942,98.80031991468941,5,False
D1663,0.9880031991468942,98.80031991468941,2,False
D567,0.9880031991468942,98.80031991468941,19,False
D367,0.9877366035723807,98.77366035723807,5,False
D1773,0.9877366035723807,98.77366035723807,2,False
D1688,0.9877366035723807,98.77366035723807,2,False
D1683,0.9877366035723807,98.77366035723807,2,False
D410,0.9877366035723807,98.77366035723807,4,False
D1649,0.9877366035723807,98.77366035723807,2,False
D1515,0.9877366035723807,98.77366035723807,2,False
D1451,0.9874700079978672,98.74700079978672,2,False
D1666,0.9874700079978672,98.74700079978672,2,False
D850,0.9874700079978672,98.74700079978672,9,False
D734,0.9874700079978672,98.74700079978672,4,False
D1568,0.9874700079978672,98.74700079978672,2,False
D1660,0.9874700079978672,98.74700079978672,2,False
D565,0.9874700079978672,98.74700079978672,10,False
D1758,0.9874700079978672,98.74700079978672,2,False
D1541,0.9874700079978672,98.74700079978672,2,False
D283,0.9874700079978672,98.74700079978672,5,False
D1581,0.9874700079978672,98.74700079978672,2,False
D1692,0.9872034124233537,98.72034124233538,2,False
D948,0.9872034124233537,98.72034124233538,11,False
D1508,0.9872034124233537,98.72034124233538,2,False
D1697,0.9872034124233537,98.72034124233538,2,False
D568,0.9872034124233537,98.72034124233538,2,False
D1549,0.9872034124233537,98.72034124233538,2,False
D759,0.9872034124233537,98.72034124233538,8,False
D1575,0.9872034124233537,98.72034124233538,2,False
D1694,0.9872034124233537,98.72034124233538,2,False
D1555,0.9872034124233537,98.72034124233538,2,False
D920,0.9872034124233537,98.72034124233538,8,False
D1760,0.9872034124233537,98.72034124233538,2,False
D1530,0.9872034124233537,98.72034124233538,2,False
D491,0.9872034124233537,98.72034124233538,6,False
D1639,0.9872034124233537,98.72034124233538,2,False
D1573,0.9872034124233537,98.72034124233538,2,False
D944,0.9869368168488403,98.69368168488403,8,False
D1521,0.9869368168488403,98.69368168488403,2,False
D1516,0.9869368168488403,98.69368168488403,2,False
D1572,0.9869368168488403,98.69368168488403,2,False
D1591,0.9869368168488403,98.69368168488403,2,False
D1463,0.9869368168488403,98.69368168488403,2,False
D1704,0.9869368168488403,98.69368168488403,2,False
D1742,0.9869368168488403,98.69368168488403,2,False
D1658,0.9869368168488403,98.69368168488403,2,False
D530,0.9869368168488403,98.69368168488403,8,False
D316,0.9869368168488403,98.69368168488403,8,False
D680,0.9869368168488403,98.69368168488403,7,False
D1638,0.9869368168488403,98.69368168488403,2,False
D532,0.9866702212743268,98.66702212743267,9,False
D1629,0.9866702212743268,98.66702212743267,2,False
D908,0.9866702212743268,98.66702212743267,5,False
D1542,0.9866702212743268,98.66702212743267,2,False
D594,0.9866702212743268,98.66702212743267,6,False
D329,0.9866702212743268,98.66702212743267,5,False
D1571,0.9866702212743268,98.66702212743267,2,False
D1750,0.9866702212743268,98.66702212743267,2,False
D1529,0.9866702212743268,98.66702212743267,2,False
D382,0.9864036256998134,98.64036256998135,8,False
D1526,0.9864036256998134,98.64036256998135,2,False
D1712,0.9864036256998134,98.64036256998135,2,False
D1493,0.9864036256998134,98.64036256998135,2,False
D1626,0.9864036256998134,98.64036256998135,2,False
D344,0.9864036256998134,98.64036256998135,7,False
D1730,0.9864036256998134,98.64036256998135,2,False
D531,0.9864036256998134,98.64036256998135,10,False
D654,0.9864036256998134,98.64036256998135,3,False
D1625,0.9864036256998134,98.64036256998135,2,False
D1491,0.9864036256998134,98.64036256998135,2,False
D287,0.9864036256998134,98.64036256998135,3,False
D1628,0.9861370301253,98.61370301253,2,False
D1553,0.9861370301253,98.61370301253,2,False
D1769,0.9861370301253,98.61370301253,2,False
D1525,0.9861370301253,98.61370301253,2,False
D1633,0.9861370301253,98.61370301253,2,False
D317,0.9861370301253,98.61370301253,3,False
D1746,0.9861370301253,98.61370301253,2,False
D733,0.9861370301253,98.61370301253,5,False
D1738,0.9858704345507865,98.58704345507864,2,False
D1711,0.9858704345507865,98.58704345507864,2,False
D849,0.9858704345507865,98.58704345507864,8,False
D290,0.9858704345507865,98.58704345507864,4,False
D1606,0.9858704345507865,98.58704345507864,2,False
D943,0.9858704345507865,98.58704345507864,7,False
D1592,0.9858704345507865,98.58704345507864,2,False
D282,0.9858704345507865,98.58704345507864,6,False
D352,0.9858704345507865,98.58704345507864,9,False
D523,0.9858704345507865,98.58704345507864,3,False
D1510,0.9858704345507865,98.58704345507864,2,False
D1754,0.985603838976273,98.5603838976273,2,False
D1631,0.985603838976273,98.5603838976273,2,False
D1544,0.985603838976273,98.5603838976273,2,False
D1726,0.985603838976273,98.5603838976273,2,False
D919,0.985603838976273,98.5603838976273,7,False
D1763,0.985603838976273,98.5603838976273,2,False
D1558,0.985603838976273,98.5603838976273,2,False
D1496,0.985603838976273,98.5603838976273,2,False
D1576,0.985603838976273,98.5603838976273,2,False
D265,0.985603838976273,98.5603838976273,8,False
D1768,0.9853372434017595,98.53372434017595,2,False
D251,0.9853372434017595,98.53372434017595,3,False
D1613,0.9853372434017595,98.53372434017595,2,False
D1646,0.9853372434017595,98.53372434017595,2,False
D1465,0.9853372434017595,98.53372434017595,2,False
D1464,0.9853372434017595,98.53372434017595,2,False
D1714,0.9853372434017595,98.53372434017595,2,False
D1539,0.9853372434017595,98.53372434017595,2,False
D651,0.9853372434017595,98.53372434017595,6,False
D1689,0.9850706478272461,98.50706478272461,2,False
D1450,0.9850706478272461,98.50706478272461,2,False
D1550,0.9850706478272461,98.50706478272461,2,False
D1673,0.9850706478272461,98.50706478272461,2,False
D1735,0.9850706478272461,98.50706478272461,2,False
D1586,0.9850706478272461,98.50706478272461,2,False
D1595,0.9850706478272461,98.50706478272461,2,False
D1455,0.9850706478272461,98.50706478272461,2,False
D1500,0.9850706478272461,98.50706478272461,2,False
D1753,0.9850706478272461,98.50706478272461,2,False
D1736,0.9850706478272461,98.50706478272461,2,False
D1662,0.9848040522527326,98.48040522527326,2,False
D1771,0.9848040522527326,98.48040522527326,2,False
D1743,0.9848040522527326,98.48040522527326,2,False
D708,0.9848040522527326,98.48040522527326,8,False
D1563,0.9848040522527326,98.48040522527326,2,False
D1540,0.9848040522527326,98.48040522527326,2,False
D1512,0.9848040522527326,98.48040522527326,2,False
D1537,0.9848040522527326,98.48040522527326,2,False
D630,0.9848040522527326,98.48040522527326,5,False
D320,0.9848040522527326,98.48040522527326,6,False
D1616,0.9848040522527326,98.48040522527326,2,False
D328,0.9845374566782191,98.4537456678219,4,False
D1642,0.9845374566782191,98.4537456678219,2,False
D1650,0.9845374566782191,98.4537456678219,2,False
D866,0.9845374566782191,98.4537456678219,9,False
D1664,0.9845374566782191,98.4537456678219,2,False
D797,0.9845374566782191,98.4537456678219,6,False
D1459,0.9845374566782191,98.4537456678219,2,False
D246,0.9845374566782191,98.4537456678219,58,False
D1577,0.9845374566782191,98.4537456678219,2,False
D1630,0.9845374566782191,98.4537456678219,2,False
D1520,0.9845374566782191,98.4537456678219,2,False
D1546,0.9845374566782191,98.4537456678219,2,False
D267,0.9845374566782191,98.4537456678219,4,False
D366,0.9845374566782191,98.4537456678219,4,False
D1678,0.9842708611037057,98.42708611037057,2,False
D1651,0.9842708611037057,98.42708611037057,2,False
D1589,0.9842708611037057,98.42708611037057,2,False
D1503,0.9842708611037057,98.42708611037057,2,False
D1732,0.9842708611037057,98.42708611037057,2,False
D1723,0.9842708611037057,98.42708611037057,2,False
D1675,0.9842708611037057,98.42708611037057,2,False
D1502,0.9842708611037057,98.42708611037057,2,False
D1564,0.9842708611037057,98.42708611037057,2,False
D1718,0.9842708611037057,98.42708611037057,2,False
D615,0.9842708611037057,98.42708611037057,5,False
D1588,0.9840042655291922,98.40042655291921,2,False
D1725,0.9840042655291922,98.40042655291921,2,False
D1706,0.9840042655291922,98.40042655291921,2,False
D292,0.9840042655291922,98.40042655291921,3,False
D1604,0.9840042655291922,98.40042655291921,2,False
D1528,0.9840042655291922,98.40042655291921,2,False
D1479,0.9840042655291922,98.40042655291921,2,False
D1454,0.9840042655291922,98.40042655291921,2,False
D1679,0.9837376699546787,98.37376699546788,2,False
D1643,0.9837376699546787,98.37376699546788,2,False
D1709,0.9837376699546787,98.37376699546788,2,False
D291,0.9837376699546787,98.37376699546788,5,False
D1578,0.9837376699546787,98.37376699546788,2,False
D1637,0.9837376699546787,98.37376699546788,2,False
D1538,0.9837376699546787,98.37376699546788,2,False
D1460,0.9834710743801653,98.34710743801654,2,False
D1672,0.9834710743801653,98.34710743801654,2,False
D1584,0.9834710743801653,98.34710743801654,2,False
D250,0.9834710743801653,98.34710743801654,63,False
D564,0.9834710743801653,98.34710743801654,13,False
D1547,0.9834710743801653,98.34710743801654,2,False
D170,0.9834710743801653,98.34710743801654,2,False
D190,0.9834710743801653,98.34710743801654,60,False
D1509,0.9832044788056519,98.32044788056518,2,False
D1729,0.9832044788056519,98.32044788056518,2,False
D436,0.9832044788056519,98.32044788056518,5,False
D1772,0.9832044788056519,98.32044788056518,2,False
D631,0.9832044788056519,98.32044788056518,4,False
D1695,0.9832044788056519,98.32044788056518,2,False
D1762,0.9832044788056519,98.32044788056518,2,False
D1477,0.9832044788056519,98.32044788056518,2,False
D1498,0.9832044788056519,98.32044788056518,2,False
D643,0.9832044788056519,98.32044788056518,4,False
D1713,0.9829378832311384,98.29378832311384,2,False
D1674,0.9829378832311384,98.29378832311384,2,False
D1686,0.9829378832311384,98.29378832311384,2,False
D1681,0.9829378832311384,98.29378832311384,2,False
D1696,0.9829378832311384,98.29378832311384,2,False
D1682,0.9829378832311384,98.29378832311384,2,False
D1499,0.9829378832311384,98.29378832311384,2,False
D1747,0.9829378832311384,98.29378832311384,2,False
D543,0.9826712876566249,98.26712876566249,4,False
D1582,0.9826712876566249,98.26712876566249,2,False
D897,0.9826712876566249,98.26712876566249,10,False
D918,0.9826712876566249,98.26712876566249,7,False
D865,0.9826712876566249,98.26712876566249,10,False
D1737,0.9826712876566249,98.26712876566249,2,False
D1720,0.9826712876566249,98.26712876566249,2,False
D1599,0.9826712876566249,98.26712876566249,2,False
D1624,0.9824046920821115,98.24046920821115,2,False
D1514,0.9824046920821115,98.24046920821115,2,False
D1461,0.9824046920821115,98.24046920821115,2,False
D499,0.9824046920821115,98.24046920821115,7,False
D1727,0.9824046920821115,98.24046920821115,2,False
D883,0.9824046920821115,98.24046920821115,10,False
D1601,0.982138096507598,98.2138096507598,2,False
D1478,0.982138096507598,98.2138096507598,2,False
D1618,0.982138096507598,98.2138096507598,2,False
D669,0.9818715009330845,98.18715009330845,8,False
D636,0.9818715009330845,98.18715009330845,6,False
D1766,0.9818715009330845,98.18715009330845,2,False
D907,0.9818715009330845,98.18715009330845,7,False
D1611,0.9818715009330845,98.18715009330845,2,False
D1457,0.981604905358571,98.16049053585711,2,False
D1652,0.981604905358571,98.16049053585711,2,False
D1691,0.981604905358571,98.16049053585711,2,False
D1659,0.981604905358571,98.16049053585711,2,False
D1657,0.981604905358571,98.16049053585711,2,False
D1523,0.981604905358571,98.16049053585711,2,False
D1751,0.981604905358571,98.16049053585711,2,False
D279,0.981604905358571,98.16049053585711,3,False
D1554,0.981604905358571,98.16049053585711,2,False
D1566,0.981604905358571,98.16049053585711,2,False
D942,0.981604905358571,98.16049053585711,6,False
D694,0.981604905358571,98.16049053585711,7,False
D1715,0.981604905358571,98.16049053585711,2,False
D1620,0.981604905358571,98.16049053585711,2,False
D280,0.9813383097840576,98.13383097840575,5,False
D1569,0.9813383097840576,98.13383097840575,2,False
D1636,0.9810717142095441,98.10717142095442,2,False
D1527,0.9810717142095441,98.10717142095442,2,False
D1501,0.9810717142095441,98.10717142095442,2,False
D1645,0.9810717142095441,98.10717142095442,2,False
D1710,0.9808051186350306,98.08051186350306,2,False
D343,0.9808051186350306,98.08051186350306,8,False
D395,0.9808051186350306,98.08051186350306,5,False
D1497,0.9808051186350306,98.08051186350306,2,False
D1488,0.9808051186350306,98.08051186350306,2,False
D1612,0.9808051186350306,98.08051186350306,2,False
D1705,0.9808051186350306,98.08051186350306,2,False
D1669,0.9808051186350306,98.08051186350306,2,False
D1693,0.9808051186350306,98.08051186350306,2,False
D1610,0.9805385230605171,98.05385230605171,2,False
D1471,0.9805385230605171,98.05385230605171,2,False
D1640,0.9805385230605171,98.05385230605171,2,False
D1724,0.9805385230605171,98.05385230605171,2,False
D1506,0.9805385230605171,98.05385230605171,2,False
D732,0.9805385230605171,98.05385230605171,5,False
D1741,0.9805385230605171,98.05385230605171,2,False
D796,0.9805385230605171,98.05385230605171,4,False
