dimensionality,subspace,bins,support,support_fraction,region
2,"D86,D163","0,0",3081,0.8213809650759797,0 <= D86 < 0.0846353 AND 0 <= D163 < 0.09
2,"D336,D416","0,0",3080,0.8211143695014663,0 <= D336 < 0.1 AND 0 <= D416 < 0.1
2,"D419,D610","0,0",3080,0.8211143695014663,0 <= D419 < 0.1 AND 0 <= D610 < 0.1
2,"D157,D937","0,0",3079,0.8208477739269529,0 <= D157 < 0.1 AND 0 <= D937 < 0.1
2,"D360,D685","0,0",3078,0.8205811783524394,0 <= D360 < 0.1 AND 0 <= D685 < 0.1
2,"D462,D626","0,0",3078,0.8205811783524394,0 <= D462 < 0.0666667 AND 0 <= D626 < 0.07
2,"D418,D611","0,0",3077,0.8203145827779259,0 <= D418 < 0.08 AND 0 <= D611 < 0.05
2,"D164,D336","0,0",3075,0.819781391628899,0 <= D164 < 0.1 AND 0 <= D336 < 0.1
2,"D214,D336","0,0",3075,0.819781391628899,0 <= D214 < 0.0642111 AND 0 <= D336 < 0.1
1,D203,0,3074,0.8195147960543855,0 <= D203 < 0.0976333
2,"D157,D203","0,0",3074,0.8195147960543855,0 <= D157 < 0.1 AND 0 <= D203 < 0.0976333
2,"D361,D598","0,0",3074,0.8195147960543855,0 <= D361 < 0.1 AND 0 <= D598 < 0.1
2,"D611,D662","0,0",3074,0.8195147960543855,0 <= D611 < 0.05 AND 0 <= D662 < 0.1
2,"D59,D223","0,0",3071,0.8187150093308451,0 <= D59 < 0.1 AND 0 <= D223 < 0.096968
1,D195,0,3070,0.8184484137563316,0 <= D195 < 0.0998499
2,"D157,D195","0,0",3070,0.8184484137563316,0 <= D157 < 0.1 AND 0 <= D195 < 0.0998499
2,"D195,D203","0,0",3070,0.8184484137563316,0 <= D195 < 0.0998499 AND 0 <= D203 < 0.0976333
2,"D361,D418","0,0",3070,0.8184484137563316,0 <= D361 < 0.1 AND 0 <= D418 < 0.08
2,"D416,D685","0,0",3070,0.8184484137563316,0 <= D416 < 0.1 AND 0 <= D685 < 0.1
2,"D598,D662","0,0",3070,0.8184484137563316,0 <= D598 < 0.1 AND 0 <= D662 < 0.1
2,"D118,D227","0,0",3069,0.8181818181818182,0 <= D118 < 0.0922243 AND 0 <= D227 < 0.1
2,"D419,D688","0,0",3069,0.8181818181818182,0 <= D419 < 0.1 AND 0 <= D688 < 0.1
2,"D361,D662","0,0",3068,0.8179152226073048,0 <= D361 < 0.1 AND 0 <= D662 < 0.1
2,"D611,D685","0,0",3068,0.8179152226073048,0 <= D611 < 0.05 AND 0 <= D685 < 0.1
2,"D164,D360","0,0",3067,0.8176486270327913,0 <= D164 < 0.1 AND 0 <= D360 < 0.1
2,"D180,D843","4,0",3067,0.8176486270327913,0.391951 <= D180 < 0.466313 AND 0 <= D843 < 0.1
2,"D214,D360","0,0",3067,0.8176486270327913,0 <= D214 < 0.0642111 AND 0 <= D360 < 0.1
2,"D165,D360","0,0",3066,0.8173820314582778,0 <= D165 < 0.1 AND 0 <= D360 < 0.1
2,"D215,D360","0,0",3066,0.8173820314582778,0 <= D215 < 0.1 AND 0 <= D360 < 0.1
2,"D611,D626","0,0",3066,0.8173820314582778,0 <= D611 < 0.05 AND 0 <= D626 < 0.07
2,"D118,D685","0,0",3065,0.8171154358837643,0 <= D118 < 0.0922243 AND 0 <= D685 < 0.1
2,"D611,D741","0,0",3065,0.8171154358837643,0 <= D611 < 0.05 AND 0 <= D741 < 0.0869565
2,"D419,D843","0,0",3064,0.8168488403092509,0 <= D419 < 0.1 AND 0 <= D843 < 0.1
2,"D462,D621","0,0",3064,0.8168488403092509,0 <= D462 < 0.0666667 AND 0 <= D621 < 0.052381
2,"D361,D688","0,0",3063,0.8165822447347374,0 <= D361 < 0.1 AND 0 <= D688 < 0.1
2,"D842,D844","0,0",3063,0.8165822447347374,0 <= D842 < 0.1 AND 0 <= D844 < 0.1
2,"D419,D937","0,0",3062,0.8163156491602239,0 <= D419 < 0.1 AND 0 <= D937 < 0.1
2,"D228,D937","0,0",3061,0.8160490535857104,0 <= D228 < 0.0666667 AND 0 <= D937 < 0.1
2,"D118,D180","0,4",3060,0.815782458011197,0 <= D118 < 0.0922243 AND 0.391951 <= D180 < 0.466313
2,"D416,D740","0,0",3059,0.8155158624366835,0 <= D416 < 0.1 AND 0 <= D740 < 0.0952381
2,"D426,D685","0,0",3059,0.8155158624366835,0 <= D426 < 0.1 AND 0 <= D685 < 0.1
2,"D118,D841","0,0",3057,0.8149826712876567,0 <= D118 < 0.0922243 AND 0 <= D841 < 0.1
2,"D419,D841","0,0",3057,0.8149826712876567,0 <= D419 < 0.1 AND 0 <= D841 < 0.1
2,"D118,D419","0,0",3056,0.8147160757131432,0 <= D118 < 0.0922243 AND 0 <= D419 < 0.1
2,"D336,D418","0,0",3056,0.8147160757131432,0 <= D336 < 0.1 AND 0 <= D418 < 0.08
2,"D460,D621","0,0",3056,0.8147160757131432,0 <= D460 < 0.1 AND 0 <= D621 < 0.052381
2,"D462,D611","0,0",3056,0.8147160757131432,0 <= D462 < 0.0666667 AND 0 <= D611 < 0.05
1,D53,0,3055,0.8144494801386297,0 <= D53 < 0.087848
2,"D462,D675","0,0",3055,0.8144494801386297,0 <= D462 < 0.0666667 AND 0 <= D675 < 0.1
2,"D843,D937","0,0",3055,0.8144494801386297,0 <= D843 < 0.1 AND 0 <= D937 < 0.1
2,"D418,D741","0,0",3054,0.8141828845641162,0 <= D418 < 0.08 AND 0 <= D741 < 0.0869565
2,"D843,D936","0,0",3053,0.8139162889896028,0 <= D843 < 0.1 AND 0 <= D936 < 0.1
2,"D180,D583","4,0",3052,0.8136496934150893,0.391951 <= D180 < 0.466313 AND 0 <= D583 < 0.1
2,"D621,D626","0,0",3052,0.8136496934150893,0 <= D621 < 0.052381 AND 0 <= D626 < 0.07
2,"D685,D937","0,0",3052,0.8136496934150893,0 <= D685 < 0.1 AND 0 <= D937 < 0.1
2,"D336,D740","0,0",3051,0.8133830978405758,0 <= D336 < 0.1 AND 0 <= D740 < 0.0952381
2,"D164,D416","0,0",3050,0.8131165022660624,0 <= D164 < 0.1 AND 0 <= D416 < 0.1
2,"D180,D937","4,0",3050,0.8131165022660624,0.391951 <= D180 < 0.466313 AND 0 <= D937 < 0.1
2,"D214,D416","0,0",3050,0.8131165022660624,0 <= D214 < 0.0642111 AND 0 <= D416 < 0.1
2,"D336,D611","0,0",3050,0.8131165022660624,0 <= D336 < 0.1 AND 0 <= D611 < 0.05
2,"D118,D449","0,0",3049,0.8128499066915489,0 <= D118 < 0.0922243 AND 0 <= D449 < 0.0875
2,"D419,D687","0,0",3049,0.8128499066915489,0 <= D419 < 0.1 AND 0 <= D687 < 0.05
2,"D685,D934","0,0",3049,0.8128499066915489,0 <= D685 < 0.1 AND 0 <= D934 < 0.1
2,"D748,D934","0,0",3049,0.8128499066915489,0 <= D748 < 0.1 AND 0 <= D934 < 0.1
1,D135,0,3048,0.8125833111170354,0 <= D135 < 0.1
2,"D37,D934","0,0",3048,0.8125833111170354,0 <= D37 < 0.1 AND 0 <= D934 < 0.1
2,"D416,D418","0,0",3048,0.8125833111170354,0 <= D416 < 0.1 AND 0 <= D418 < 0.08
2,"D419,D686","0,0",3048,0.8125833111170354,0 <= D419 < 0.1 AND 0 <= D686 < 0.1
2,"D180,D934","4,0",3047,0.8123167155425219,0.391951 <= D180 < 0.466313 AND 0 <= D934 < 0.1
2,"D361,D462","0,0",3047,0.8123167155425219,0 <= D361 < 0.1 AND 0 <= D462 < 0.0666667
2,"D685,D688","0,0",3046,0.8120501199680086,0 <= D685 < 0.1 AND 0 <= D688 < 0.1
2,"D841,D842","0,0",3046,0.8120501199680086,0 <= D841 < 0.1 AND 0 <= D842 < 0.1
1,D674,0,3045,0.8117835243934951,0 <= D674 < 0.1
2,"D360,D611","0,0",3045,0.8117835243934951,0 <= D360 < 0.1 AND 0 <= D611 < 0.05
2,"D361,D843","0,0",3045,0.8117835243934951,0 <= D361 < 0.1 AND 0 <= D843 < 0.1
2,"D109,D227","0,0",3044,0.8115169288189816,0 <= D109 < 0.0833333 AND 0 <= D227 < 0.1
2,"D418,D610","0,0",3044,0.8115169288189816,0 <= D418 < 0.08 AND 0 <= D610 < 0.1
1,D185,0,3042,0.8109837376699547,0 <= D185 < 0.1
2,"D228,D419","0,0",3042,0.8109837376699547,0 <= D228 < 0.0666667 AND 0 <= D419 < 0.1
2,"D361,D937","0,0",3042,0.8109837376699547,0 <= D361 < 0.1 AND 0 <= D937 < 0.1
2,"D419,D936","0,0",3042,0.8109837376699547,0 <= D419 < 0.1 AND 0 <= D936 < 0.1
2,"D462,D598","0,0",3042,0.8109837376699547,0 <= D462 < 0.0666667 AND 0 <= D598 < 0.1
2,"D227,D934","0,0",3041,0.8107171420954412,0 <= D227 < 0.1 AND 0 <= D934 < 0.1
2,"D611,D675","0,0",3041,0.8107171420954412,0 <= D611 < 0.05 AND 0 <= D675 < 0.1
2,"D841,D936","0,0",3041,0.8107171420954412,0 <= D841 < 0.1 AND 0 <= D936 < 0.1
2,"D109,D685","0,0",3040,0.8104505465209277,0 <= D109 < 0.0833333 AND 0 <= D685 < 0.1
2,"D118,D583","0,0",3040,0.8104505465209277,0 <= D118 < 0.0922243 AND 0 <= D583 < 0.1
2,"D180,D841","4,0",3040,0.8104505465209277,0.391951 <= D180 < 0.466313 AND 0 <= D841 < 0.1
2,"D361,D610","0,0",3040,0.8104505465209277,0 <= D361 < 0.1 AND 0 <= D610 < 0.1
2,"D419,D598","0,0",3040,0.8104505465209277,0 <= D419 < 0.1 AND 0 <= D598 < 0.1
2,"D934,D936","0,0",3039,0.8101839509464143,0 <= D934 < 0.1 AND 0 <= D936 < 0.1
2,"D228,D621","0,0",3038,0.8099173553719008,0 <= D228 < 0.0666667 AND 0 <= D621 < 0.052381
2,"D360,D418","0,0",3038,0.8099173553719008,0 <= D360 < 0.1 AND 0 <= D418 < 0.08
2,"D418,D685","0,0",3038,0.8099173553719008,0 <= D418 < 0.08 AND 0 <= D685 < 0.1
2,"D118,D843","0,0",3037,0.8096507597973873,0 <= D118 < 0.0922243 AND 0 <= D843 < 0.1
2,"D180,D228","4,0",3037,0.8096507597973873,0.391951 <= D180 < 0.466313 AND 0 <= D228 < 0.0666667
2,"D419,D675","0,0",3037,0.8096507597973873,0 <= D419 < 0.1 AND 0 <= D675 < 0.1
2,"D611,D687","0,0",3037,0.8096507597973873,0 <= D611 < 0.05 AND 0 <= D687 < 0.05
2,"D611,D843","0,0",3037,0.8096507597973873,0 <= D611 < 0.05 AND 0 <= D843 < 0.1
2,"D685,D740","0,0",3037,0.8096507597973873,0 <= D685 < 0.1 AND 0 <= D740 < 0.0952381
2,"D227,D841","0,0",3036,0.8093841642228738,0 <= D227 < 0.1 AND 0 <= D841 < 0.1
2,"D360,D598","0,0",3036,0.8093841642228738,0 <= D360 < 0.1 AND 0 <= D598 < 0.1
2,"D361,D841","0,0",3036,0.8093841642228738,0 <= D361 < 0.1 AND 0 <= D841 < 0.1
2,"D462,D937","0,0",3036,0.8093841642228738,0 <= D462 < 0.0666667 AND 0 <= D937 < 0.1
2,"D583,D844","0,0",3036,0.8093841642228738,0 <= D583 < 0.1 AND 0 <= D844 < 0.1
1,D212,0,3035,0.8091175686483605,0 <= D212 < 0.0993831
2,"D118,D937","0,0",3035,0.8091175686483605,0 <= D118 < 0.0922243 AND 0 <= D937 < 0.1
2,"D185,D212","0,0",3035,0.8091175686483605,0 <= D185 < 0.1 AND 0 <= D212 < 0.0993831
2,"D419,D621","0,0",3035,0.8091175686483605,0 <= D419 < 0.1 AND 0 <= D621 < 0.052381
2,"D84,D129","0,0",3034,0.808850973073847,0 <= D84 < 0.1 AND 0 <= D129 < 0.1
2,"D157,D180","0,4",3034,0.808850973073847,0 <= D157 < 0.1 AND 0.391951 <= D180 < 0.466313
2,"D164,D937","0,0",3034,0.808850973073847,0 <= D164 < 0.1 AND 0 <= D937 < 0.1
2,"D214,D937","0,0",3034,0.808850973073847,0 <= D214 < 0.0642111 AND 0 <= D937 < 0.1
2,"D360,D740","0,0",3034,0.808850973073847,0 <= D360 < 0.1 AND 0 <= D740 < 0.0952381
2,"D685,D936","0,0",3034,0.808850973073847,0 <= D685 < 0.1 AND 0 <= D936 < 0.1
2,"D841,D934","0,0",3034,0.808850973073847,0 <= D841 < 0.1 AND 0 <= D934 < 0.1
2,"D610,D741","0,0",3033,0.8085843774993335,0 <= D610 < 0.1 AND 0 <= D741 < 0.0869565
2,"D841,D937","0,0",3033,0.8085843774993335,0 <= D841 < 0.1 AND 0 <= D937 < 0.1
2,"D109,D419","0,0",3032,0.8083177819248201,0 <= D109 < 0.0833333 AND 0 <= D419 < 0.1
2,"D129,D843","0,0",3032,0.8083177819248201,0 <= D129 < 0.1 AND 0 <= D843 < 0.1
2,"D164,D611","0,0",3032,0.8083177819248201,0 <= D164 < 0.1 AND 0 <= D611 < 0.05
2,"D214,D611","0,0",3032,0.8083177819248201,0 <= D214 < 0.0642111 AND 0 <= D611 < 0.05
2,"D610,D611","0,0",3032,0.8083177819248201,0 <= D610 < 0.1 AND 0 <= D611 < 0.05
2,"D662,D740","0,0",3032,0.8083177819248201,0 <= D662 < 0.1 AND 0 <= D740 < 0.0952381
2,"D180,D936","4,0",3031,0.8080511863503066,0.391951 <= D180 < 0.466313 AND 0 <= D936 < 0.1
2,"D417,D418","0,0",3031,0.8080511863503066,0 <= D417 < 0.0625 AND 0 <= D418 < 0.08
2,"D687,D740","0,0",3031,0.8080511863503066,0 <= D687 < 0.05 AND 0 <= D740 < 0.0952381
2,"D118,D611","0,0",3029,0.8075179952012796,0 <= D118 < 0.0922243 AND 0 <= D611 < 0.05
2,"D157,D228","0,0",3029,0.8075179952012796,0 <= D157 < 0.1 AND 0 <= D228 < 0.0666667
2,"D165,D336","0,0",3029,0.8075179952012796,0 <= D165 < 0.1 AND 0 <= D336 < 0.1
2,"D215,D336","0,0",3029,0.8075179952012796,0 <= D215 < 0.1 AND 0 <= D336 < 0.1
2,"D462,D936","0,0",3029,0.8075179952012796,0 <= D462 < 0.0666667 AND 0 <= D936 < 0.1
2,"D118,D119","0,0",3028,0.8072513996267662,0 <= D118 < 0.0922243 AND 0 <= D119 < 0.1
2,"D118,D228","0,0",3028,0.8072513996267662,0 <= D118 < 0.0922243 AND 0 <= D228 < 0.0666667
2,"D360,D688","0,0",3028,0.8072513996267662,0 <= D360 < 0.1 AND 0 <= D688 < 0.1
2,"D462,D685","0,0",3028,0.8072513996267662,0 <= D462 < 0.0666667 AND 0 <= D685 < 0.1
2,"D4,D842","0,0",3027,0.8069848040522527,0 <= D4 < 0.1 AND 0 <= D842 < 0.1
2,"D118,D462","0,0",3027,0.8069848040522527,0 <= D118 < 0.0922243 AND 0 <= D462 < 0.0666667
2,"D118,D621","0,0",3027,0.8069848040522527,0 <= D118 < 0.0922243 AND 0 <= D621 < 0.052381
2,"D180,D419","4,0",3027,0.8069848040522527,0.391951 <= D180 < 0.466313 AND 0 <= D419 < 0.1
2,"D460,D675","0,0",3027,0.8069848040522527,0 <= D460 < 0.1 AND 0 <= D675 < 0.1
2,"D685,D843","0,0",3027,0.8069848040522527,0 <= D685 < 0.1 AND 0 <= D843 < 0.1
2,"D228,D936","0,0",3026,0.8067182084777392,0 <= D228 < 0.0666667 AND 0 <= D936 < 0.1
2,"D611,D841","0,0",3026,0.8067182084777392,0 <= D611 < 0.05 AND 0 <= D841 < 0.1
2,"D59,D621","0,0",3025,0.8064516129032258,0 <= D59 < 0.1 AND 0 <= D621 < 0.052381
2,"D841,D844","0,0",3025,0.8064516129032258,0 <= D841 < 0.1 AND 0 <= D844 < 0.1
1,D161,0,3024,0.8061850173287124,0 <= D161 < 0.075
2,"D4,D844","0,0",3024,0.8061850173287124,0 <= D4 < 0.1 AND 0 <= D844 < 0.1
2,"D164,D418","0,0",3024,0.8061850173287124,0 <= D164 < 0.1 AND 0 <= D418 < 0.08
2,"D214,D418","0,0",3024,0.8061850173287124,0 <= D214 < 0.0642111 AND 0 <= D418 < 0.08
2,"D611,D621","0,0",3024,0.8061850173287124,0 <= D611 < 0.05 AND 0 <= D621 < 0.052381
2,"D934,D937","0,0",3024,0.8061850173287124,0 <= D934 < 0.1 AND 0 <= D937 < 0.1
