column_cluster,representative_rank,feature,feature_index,distance_to_cluster_centroid,feature_type,zero_fraction,mean,std
1,7,D1397,1147,0.22123373340955332,binary,0.7877899226872834,0.2122100773127166,0.4088727924424018
1,8,D1232,982,0.22136189207040982,binary,0.7648627032791255,0.23513729672087444,0.42408460053587643
1,9,D1266,1016,0.22464310983798877,binary,0.7739269528125833,0.2260730471874167,0.41828701213737524
1,10,D1412,1162,0.2287590343992493,binary,0.8051186350306585,0.1948813649693415,0.39610935176669054
1,11,D1244,994,0.2333011507425267,binary,0.7987203412423354,0.20127965875766463,0.40095655341702885
1,12,D1403,1153,0.23366556084663928,binary,0.7859237536656891,0.21407624633431085,0.4101799691473516
1,13,D1315,1065,0.23511755331689668,binary,0.7971207677952546,0.2028792322047454,0.4021433194083403
1,14,D1285,1035,0.23604454418652537,binary,0.7851239669421488,0.21487603305785125,0.41073631867071664
1,15,D1369,1119,0.24072021025011253,binary,0.8285790455878432,0.17142095441215677,0.37687638663172046
2,1,D89,87,0.0969948411470287,numeric,0.0,0.5908609018517728,0.059572652492780764
2,2,D217,209,0.10353818587976496,numeric,0.00026659557451346307,0.5003814879520126,0.09504330020939472
2,3,D15,14,0.11104957618513599,numeric,0.0,0.5165150133401759,0.08824631079455285
2,4,D180,175,0.11598119313359297,numeric,0.0,0.4448736725958411,0.03447387193150772
2,5,D25,24,0.12001972635387338,numeric,0.00026659557451346307,0.4934078704881365,0.0756923440954409
2,6,D91,89,0.1270361920752029,numeric,0.00026659557451346307,0.4270920080413223,0.04647388900642407
2,7,D190,183,0.13516267602788573,numeric,0.00026659557451346307,0.6398009547803253,0.03729114373755358
2,8,D2,1,0.14931534312183312,numeric,0.0,0.5924363672220739,0.10584616492577223
2,9,D46,45,0.15033855152620465,numeric,0.0007997867235403892,0.48182082054918685,0.14173658043781057
2,10,D17,16,0.1517778910671339,numeric,0.0,0.5808901428251133,0.10752866664448572
2,11,D107,105,0.15767596814475046,numeric,0.00026659557451346307,0.6471386441306318,0.09518113164295199
2,12,D202,194,0.16395983080966287,numeric,0.00026659557451346307,0.6456077375414556,0.10798266333910168
2,13,D207,199,0.18128170715362107,numeric,0.00026659557451346307,0.6795797427494003,0.07066760257384373
2,14,D6,5,0.1818509650568903,numeric,0.0,0.6866533235521195,0.07869173331698304
2,15,D181,176,0.19003011278379245,numeric,0.0,0.6929257896057051,0.0540785842144797
3,1,D1200,950,0.314161442301128,binary,0.6526259664089576,0.3473740335910424,0.4761358150546246
3,2,D1160,910,0.3146952887705956,binary,0.6014396161023727,0.3985603838976273,0.4896018834573692
3,3,D1201,951,0.3163226381904934,binary,0.6328978938949613,0.3671021061050387,0.48201467799049813
3,4,D1090,840,0.317133181424597,binary,0.6355638496400959,0.364436150359904,0.48127169319497415
3,5,D1088,838,0.31907317895959547,binary,0.6470274593441749,0.3529725406558251,0.4778942625715411
3,6,D1100,850,0.32030861109991293,binary,0.6779525459877366,0.3220474540122634,0.4672610527066026
3,7,D1190,940,0.32562820375841034,binary,0.4550786456944815,0.5449213543055186,0.4979779833761309
3,8,D1096,846,0.32899180696516844,binary,0.4868035190615836,0.5131964809384164,0.4998258225530591
3,9,D1128,878,0.3297562409852649,binary,0.4561450279925353,0.5438549720074647,0.4980730282099448
3,10,D1118,868,0.33322634880465496,binary,0.5363902959210877,0.4636097040789123,0.4986739880550976
3,11,D1121,871,0.34744241465529735,binary,0.6414289522793921,0.3585710477206078,0.47958091231527705
3,12,D1176,926,0.3510611805715606,binary,0.42068781658224474,0.5793121834177553,0.4936695023611529
3,13,D1109,859,0.3511877242954292,binary,0.436950146627566,0.5630498533724341,0.4960087862021343
3,14,D1149,899,0.3573334746137315,binary,0.5545187949880032,0.4454812050119968,0.4970188135202289
3,15,D1117,867,0.36063409505985694,binary,0.6824846707544655,0.31751532924553455,0.4655097688981772
4,1,D1570,1318,0.0915087706941176,binary,0.9896027725939749,0.01039722740602506,0.10143532455852085
4,2,D1573,1321,0.09305015904848157,binary,0.9872034124233537,0.012796587576646227,0.11239588481363298
4,3,D1667,1414,0.0933814984044581,binary,0.989069581444948,0.010930418555051986,0.10397569189605503
4,4,D1660,1407,0.09379835935287005,binary,0.9874700079978672,0.012529992002132765,0.11123394851644551
4,5,D1542,1290,0.09427374644999761,binary,0.9866702212743268,0.013329778725673154,0.11468258684210843
4,6,D1490,1238,0.09439437180530609,binary,0.989069581444948,0.010930418555051986,0.10397569189605503
4,7,D1510,1258,0.09462657218428028,binary,0.9858704345507865,0.014129565449213543,0.11802508559382592
4,8,D1629,1376,0.09476390392807581,binary,0.9866702212743268,0.013329778725673154,0.11468258684210843
4,9,D1692,1439,0.09484106564475324,binary,0.9872034124233537,0.012796587576646227,0.11239588481363298
4,10,D1647,1394,0.09488390615109346,binary,0.9888029858704346,0.011197014129565449,0.10522186561807277
4,11,D1491,1239,0.09519178864934075,binary,0.9864036256998134,0.013596374300186616,0.11580808653145014
4,12,D1549,1297,0.09535388140457526,binary,0.9872034124233537,0.012796587576646227,0.11239588481363298
4,13,D1646,1393,0.0953624049701413,binary,0.9853372434017595,0.01466275659824047,0.12019883596433548
4,14,D1666,1413,0.0957791304903578,binary,0.9874700079978672,0.012529992002132765,0.11123394851644551
4,15,D1714,1460,0.0957791304903578,binary,0.9853372434017595,0.01466275659824047,0.12019883596433548
5,1,D8,7,0.17595144975886082,numeric,0.00026659557451346307,0.4551328157544655,0.16270978720912632
5,2,D200,192,0.22854589679837364,numeric,0.1863503065849107,0.5256194225142629,0.2595651674649112
5,3,D196,188,0.22903572766467134,numeric,0.2684617435350573,0.4788995415329245,0.2953772742622207
5,4,D204,196,0.26544735610474934,numeric,0.0,0.49019066711596904,0.31882336004634665
5,5,D1077,827,0.42700537523275184,binary,0.2991202346041056,0.7008797653958945,0.45787260220992726
5,6,D1027,777,0.42894263091271184,binary,0.6368968275126633,0.3631031724873367,0.480894228096957
5,7,D1076,826,0.4290407978439631,binary,0.5662490002665955,0.4337509997334044,0.49559163629310443
5,8,D1034,784,0.4290744128723835,binary,0.30285257264729404,0.697147427352706,0.4594919932797627
5,9,D1072,822,0.4320918953249738,binary,0.6480938416422287,0.3519061583577713,0.4775648794327808
5,10,D1059,809,0.4338327819708706,binary,0.6222340709144228,0.37776592908557716,0.484828662423838
5,11,D1047,797,0.43409785148719665,binary,0.6632897893894961,0.3367102106105039,0.4725848544770918
5,12,D1033,783,0.4343022864638906,binary,0.7096774193548387,0.2903225806451613,0.4539112025635577
5,13,D978,728,0.43695899053976117,binary,0.6403625699813383,0.35963743001866166,0.4798941018060483
5,14,D1036,786,0.4378519843716374,binary,0.47187416688882966,0.5281258331111703,0.4992083107399181
5,15,D1005,755,0.4421227786356936,binary,0.35990402559317514,0.6400959744068249,0.47997199705295557
6,1,D1358,1108,0.20377120624744002,binary,0.9570781125033324,0.04292188749666755,0.20268102789948286
6,2,D1328,1078,0.2045864545299691,binary,0.9605438549720074,0.03945614502799254,0.19467757356080476
6,3,D1217,967,0.2050138899388731,binary,0.9557451346307652,0.04425486536923487,0.20566081848613207
6,4,D1255,1005,0.2066859180386818,binary,0.953345774460144,0.046654225539856035,0.21089715213613555
6,5,D1370,1120,0.2069360377376488,binary,0.9549453479072247,0.04505465209277526,0.20742403529382566
6,6,D1260,1010,0.2072114607900765,binary,0.9544121567581978,0.045587843241802185,0.20858952943607467
6,7,D1283,1033,0.2080355421252743,binary,0.9570781125033324,0.04292188749666755,0.20268102789948286
6,8,D1284,1034,0.20890399537606746,binary,0.9488136496934151,0.05118635030658491,0.2203776482515332
6,9,D1318,1068,0.21009107331650426,binary,0.9485470541189016,0.051452945881098375,0.22091975973473976
6,10,D1361,1111,0.2102583064537505,binary,0.9509464142895228,0.04905358571047721,0.21597993295540693
6,11,D1308,1058,0.2116258868959738,binary,0.9496134364169555,0.050386563583044525,0.21874130335475364
6,12,D1225,975,0.21236415350521373,binary,0.9522793921620901,0.04772060783790989,0.21317446241398222
6,13,D1367,1117,0.21262630780291997,binary,0.9485470541189016,0.051452945881098375,0.22091975973473973
6,14,D1372,1122,0.2130811894715564,binary,0.9490802452679286,0.05091975473207145,0.21983387662072731
6,15,D1437,1187,0.2131683161226953,binary,0.9480138629698747,0.0519861370301253,0.22199905086916552
7,1,D1148,898,0.3294921643853947,binary,0.8760330578512396,0.12396694214876033,0.3295438353285436
7,2,D1192,942,0.32964093273397,binary,0.8770994401492935,0.12290055985070648,0.32832303032088594
7,3,D1137,887,0.32992898051629904,binary,0.8834977339376167,0.11650226606238337,0.32082625837782197
7,4,D1102,852,0.3318459874718613,binary,0.8712343375099973,0.12876566249000265,0.3349403926872861
7,5,D1139,889,0.33391261987385273,binary,0.8736336976806185,0.1263663023193815,0.3322617341156038
7,6,D1162,912,0.3364496004120068,binary,0.866435617168755,0.133564382831245,0.3401836834272826
7,7,D1146,896,0.3365861897432097,binary,0.8605705145294588,0.13942948547054118,0.3463941455220647
7,8,D1105,855,0.3371410829216168,binary,0.8605705145294588,0.13942948547054118,0.3463941455220647
7,9,D1114,864,0.33813487723875335,binary,0.8747000799786724,0.12529992002132764,0.3310586806956986
7,10,D1115,865,0.33875508354444184,binary,0.8483071181018396,0.1516928818981605,0.3587229452928698
7,11,D1134,884,0.3396810144851049,binary,0.8544388163156491,0.14556118368435084,0.3526657418700624
7,12,D1154,904,0.3409596128795672,binary,0.8656358304452146,0.1343641695547854,0.3410431636826023
7,13,D1104,854,0.341175240644026,binary,0.8747000799786724,0.12529992002132764,0.3310586806956986
7,14,D1092,842,0.34145804544081276,binary,0.8717675286590243,0.12823247134097573,0.3343484778412511
7,15,D1188,938,0.3423140098409798,binary,0.8565715809117569,0.14342841908824314,0.3505092119846359
