feature,cluster_0_mean,cluster_1_mean,cluster_0_median,cluster_1_median,mean_difference_1_minus_0,median_difference_1_minus_0,cohen_d_1_minus_0,mann_whitney_u,mann_whitney_p_value,rank_biserial_1_minus_0,standardized_mean_cluster_0,standardized_mean_cluster_1,standardized_mean_difference_1_minus_0,zero_fraction_cluster_0,zero_fraction_cluster_1,zero_fraction_difference_1_minus_0,feature_cluster,PC1_loading,PC2_loading,mann_whitney_p_fdr_bh,significant_fdr_0.05,absolute_standardized_mean_difference,absolute_rank_biserial
D69,0.07644125609053834,0.3489191659178082,0.0673,0.313665104,0.2724779098272698,0.24636510399999997,4.786001842230939,267131.0,1.0962988472361948e-47,0.9898470729327284,-0.07771143452451516,3.915378851796816,3.9930902863213316,0.0753126699293094,0.0,-0.0753126699293094,6,0.0793683143505939,-0.0299459098833193,3.7349397001429185e-47,True,3.9930902863213316,0.9898470729327284
D448,0.002861373145187602,0.1643924954520548,0.0,0.130434783,0.1615311223068672,0.130434783,4.738447752111997,234750.5,1.8248517401712523e-215,0.7486461522417633,-0.0771717881848825,3.8881895471780528,3.9653613353629353,0.9717237629146275,0.2328767123287671,-0.7388470505858604,6,0.0625224938651753,-0.0354011012811747,1.811817084884315e-213,True,3.9653613353629353,0.7486461522417633
D435,0.0026644915715062535,0.2,0.0,0.2,0.19733550842849376,0.2,4.712504841575024,204886.5,2.0605529266439285e-208,0.526190529397305,-0.07687532365716221,3.873252608370448,3.9501279320276104,0.988852637302882,0.4657534246575342,-0.5230992126453478,6,0.0609214858603848,0.0408120105891264,1.591204760019478e-206,True,3.9501279320276104,0.526190529397305
D436,0.002175095160413268,0.2191780821917808,0.0,0.0,0.21700298703136756,0.0,4.704762100673105,195990.0,2.4612479055045585e-201,0.45992089208697395,-0.07678655991114822,3.8687803747014122,3.9455669346125606,0.9921152800435019,0.5342465753424658,-0.45786870470103613,6,0.0573337422694987,0.0479390257252272,1.4254727452713902e-199,True,3.9455669346125606,0.45992089208697395
D316,0.0008836324089178902,0.1678082191780822,0.0,0.0,0.1669245867691643,0.0,4.6271504634389045,192637.5,2.4681607808452248e-230,0.4349482670003799,-0.07588959513028025,3.823588094372202,3.8994776895024823,0.9953779227841218,0.5616438356164384,-0.43373408716768347,6,0.0467574867455538,0.0257618612835023,4.288429356718578e-228,True,3.8994776895024823,0.4349482670003799
D583,0.020797958627514955,0.28878193242465755,0.0,0.297297297,0.2679839737971426,0.297297297,4.580805564476465,237085.5,2.13077407545406e-59,0.7660394645690407,-0.0753476983676213,3.796285405426181,3.8716331037938025,0.8178357803153888,0.1917808219178082,-0.6260549583975806,6,0.0638852222413406,-0.0269127786435168,8.921011942413081e-59,True,3.8716331037938025,0.7660394645690407
D350,0.0017224216049483414,0.12694657532876713,0.0,0.0667,0.1252241537238188,0.0667,4.550047328313761,204146.5,1.612302857944601e-151,0.5206783019359837,-0.07498544436217726,3.7780337584121617,3.853019202774339,0.9809679173463839,0.4657534246575342,-0.5152144926888497,6,0.0558276499816681,0.0567824737395569,2.54670565061704e-150,True,3.853019202774339,0.5206783019359837
D454,0.003249649745785753,0.11663142626027397,0.0,0.0882,0.11338177651448822,0.0882,4.506679900822296,237200.0,4.7930149211994085e-121,0.7668923700343397,-0.07447113863702531,3.7521212042051926,3.826592342842218,0.9303969548667754,0.2054794520547945,-0.724917502811981,6,0.0545070567411661,-0.0108182046668009,4.898743191519984e-120,True,3.826592342842218,0.7668923700343397
D590,0.002480967917346384,0.15154109589041095,0.0,0.0625,0.14906012797306456,0.0625,4.497908650117295,205631.0,1.4451854824387964e-131,0.5317362771607559,-0.07436661214393124,3.7468547871969755,3.8212213993409065,0.9749864056552474,0.4520547945205479,-0.5229316111346995,6,0.0626455520859577,-0.029360775390983,1.7621121233244973e-130,True,3.8212213993409065,0.5317362771607559
D444,0.014748551845296356,0.2058334534931507,0.0,0.157894737,0.19108490164785433,0.157894737,4.495926991181609,251289.0,2.5079632609946712e-62,0.8718407115242799,-0.07434297321677516,3.7456637738534173,3.8200067470701926,0.7566612289287656,0.0684931506849315,-0.6881680782438342,6,0.062815012773129,-0.0575030597088851,1.075947201476109e-61,True,3.8200067470701926,0.8718407115242799
D592,0.001160340764545949,0.15707990864383564,0.0,0.0667,0.1559195678792897,0.0667,4.493424048180875,203115.5,1.6390727263411826e-193,0.512998428270278,-0.07431310352395576,3.7441588323439654,3.818471935867921,0.988036976617727,0.4794520547945205,-0.5085849218232066,6,0.0585230712199711,-0.0119984175102357,6.328641915595122e-192,True,3.818471935867921,0.512998428270278
D558,0.006026962118542686,0.19178036531506848,0.0,0.166666667,0.18575340319652578,0.166666667,4.476362523178773,218359.0,1.1345005468444718e-92,0.6265465894954823,-0.0741091239688938,3.7338816158574146,3.8079907398263084,0.9390973355084284,0.3424657534246575,-0.5966315820837709,6,0.0561905584145276,-0.0625443607910188,7.233742018870714e-92,True,3.8079907398263084,0.6265465894954823
D547,0.005165851005981512,0.19434931506849315,0.0,0.125,0.18918346406251163,0.125,4.453355448889871,215380.0,2.0232416440502984e-111,0.6043561494856495,-0.07383303848098623,3.7199714456584596,3.793804484139446,0.9564980967917346,0.3698630136986301,-0.5866350830931044,6,0.0628203123141612,0.0285755794340735,1.7148206617255576e-110,True,3.793804484139446,0.6043561494856495
D520,0.004918982882272975,0.19176829741095888,0.0,0.142857143,0.18684931452868592,0.142857143,4.414016021319088,250225.5,1.5388431745461007e-199,0.8639187467876377,-0.07335823449614608,3.6960491298195217,3.7694073643156676,0.953779227841218,0.1095890410958904,-0.8441901867453276,6,0.0649494954260345,-0.0122477254319392,7.129973375396933e-198,True,3.7694073643156676,0.8639187467876377
D29,0.05927134314600326,0.607305936041096,0.0,0.666666667,0.5480345928950927,0.666666667,4.412864326724831,262773.0,3.572519457505829e-76,0.9573845225591633,-0.07334428221901852,3.6953461644047954,3.768690446623814,0.7637302882001088,0.0,-0.7637302882001088,6,0.0551809559295332,0.010196424207525,1.812336513114271e-75,True,3.768690446623814,0.9573845225591633
D521,0.0027188689505165853,0.1678082191780822,0.0,0.1,0.1650893502275656,0.1,4.336012882275708,225606.0,1.0001527953148163e-206,0.6805291738362869,-0.07240655589641089,3.6481001724246456,3.7205067283210567,0.9766177270255574,0.3013698630136986,-0.6752478640118588,6,0.0579922671419671,-0.0255101469549827,6.3191472067617935e-205,True,3.7205067283210567,0.6805291738362869
D586,0.01060268003126699,0.2632090019726028,0.0,0.214285714,0.2526063219413358,0.214285714,4.282493435314588,210138.5,1.0019416970228018e-65,0.5653124464606285,-0.07174569221228597,3.6148035062573647,3.686549198469651,0.9252311038607939,0.3972602739726027,-0.5279708298881911,6,0.0557712550930702,-0.030807552552216,4.521749866434074e-65,True,3.686549198469651,0.5653124464606285
D19,0.13412180699972812,0.44458982971232874,0.121087723,0.394908951,0.31046802271260066,0.273821228,4.274774360529994,263883.0,1.9026783829379157e-45,0.9656528637511452,-0.0716498440304706,3.6099743334804213,3.681624177510892,0.0,0.0,0.0,6,0.0669341056651234,-0.0355180042420812,6.150518493683029e-45,True,3.681624177510892,0.9656528637511452
D532,0.001260551683795541,0.18804470738356166,0.0,0.0,0.1867841556997661,0.0,4.205244017229611,187001.5,1.0105451026153298e-184,0.39296595082199226,-0.07078041605545997,3.5661694555065995,3.6369498715620594,0.9942903752039152,0.6027397260273972,-0.39155064917651794,6,0.0514649013010533,-0.0248750111953561,3.1924038468984284e-183,True,3.6369498715620594,0.39296595082199226
D351,0.003202223427678086,0.200913242,0.0,0.0,0.1977110185723219,0.0,4.202061652096821,191359.0,1.7463224003901223e-109,0.425424776717543,-0.0707403610359351,3.564151340961224,3.634891701997159,0.9812398042414355,0.5616438356164384,-0.41959596862499715,6,0.0528269374385706,0.0493592062175901,1.4448738907989702e-108,True,3.634891701997159,0.425424776717543
D455,0.003222988684339315,0.13632707112328768,0.0,0.0714,0.13310408243894836,0.0714,4.176001629747466,227945.5,3.624966083749315e-142,0.6979560064656938,-0.07041149116202831,3.547581705396441,3.6179931965584693,0.9559543230016313,0.273972602739726,-0.6819817202619053,6,0.0602790409227639,-0.0147311994085734,5.248648808762029e-141,True,3.6179931965584693,0.6979560064656938
D563,0.0017675064942903752,0.13927245056164386,0.0,0.0556,0.13750494406735347,0.0556,4.17192658307885,202603.5,3.751737479568948e-162,0.5091845627835259,-0.0703599259518749,3.544983666451999,3.615343592403874,0.9839586731919522,0.4794520547945205,-0.5045066183974316,6,0.0568882244671731,-0.0480722090444043,7.0471825629741054e-161,True,3.615343592403874,0.5091845627835259
D850,0.001087547580206634,0.14794520547945203,0.0,0.0,0.1468576578992454,0.0,4.15749334336392,183352.5,2.7076288849860233e-170,0.3657847102728553,-0.07017698594481216,3.5357664973290297,3.6059434832738417,0.9945622620989668,0.6301369863013698,-0.364425275797597,6,0.0410741985709715,0.0593000773194113,5.534711985486136e-169,True,3.6059434832738417,0.3657847102728553
D587,0.0028106722762370855,0.10669603461643835,0.0,0.0789,0.10388536234020126,0.0789,4.150045857003411,222709.5,1.5172511622552549e-112,0.6589532726988312,-0.07008240460785692,3.5310011527081917,3.6010835573160485,0.9469820554649266,0.3150684931506849,-0.6319135623142418,6,0.0472879256588261,0.0048867314269071,1.3181119472092525e-111,True,3.6010835573160485,0.6589532726988312
D352,0.0008608573501903208,0.13355799087671233,0.0,0.0,0.13269713352652202,0.0,4.1457811017832125,190622.0,5.271538361548677e-199,0.4199348961243081,-0.07002818644036878,3.528269448324334,3.5982976347647027,0.9940184883088635,0.5753424657534246,-0.4186760225554389,6,0.0583026313498765,0.0398423389315547,2.2898244757977064e-197,True,3.5982976347647027,0.4199348961243081
D912,0.005891861324904839,0.17341894490410958,0.0,0.127659574,0.16752708357920473,0.127659574,4.137485943222738,224112.5,6.759548264639757e-86,0.6694041580072554,-0.06992261097692137,3.522950180453652,3.5928727914305734,0.921152800435019,0.2876712328767123,-0.6334815675583068,6,0.0587430295352336,-0.0213404803446767,3.914905036603859e-85,True,3.5928727914305734,0.6694041580072554
D512,0.08097497089151713,0.43541996083561646,0.0714,0.428571429,0.35444498994409934,0.357171429,4.111618673553298,250100.0,8.837312948598951e-40,0.8629839028060218,-0.06959238344894865,3.506312141441547,3.5759045248904955,0.36269711799891247,0.0410958904109589,-0.32160122758795356,6,0.0702609059728335,0.0052512585313805,2.5485197092432662e-39,True,3.5759045248904955,0.8629839028060218
D929,0.002610114192495922,0.13664383561643836,0.0,0.075,0.13403372142394243,0.075,4.093137217063637,219632.0,1.0225101450072628e-139,0.6360291105201605,-0.06935551141873202,3.49437768490543,3.5637331963241623,0.964110929853181,0.3424657534246575,-0.6216451764285236,6,0.0616350568614904,0.0036633936566937,1.450295001591934e-138,True,3.5637331963241623,0.6360291105201605
D424,0.0012018545557368134,0.13770295606849312,0.0,0.0526,0.1365011015127563,0.0526,4.084761511845334,201024.5,3.0964028913382774e-184,0.4974226612140309,-0.06924790574171719,3.4889561276443266,3.5582040333860436,0.988036976617727,0.4931506849315068,-0.4948862916862202,6,0.0619476488818093,0.0353985969931244,9.356521780348273e-183,True,3.5582040333860436,0.4974226612140309
D505,0.06891795834393692,0.3448560121780822,0.0635,0.301587302,0.27593805383414527,0.238087302,4.081080729961868,258177.5,3.3176561963356744e-42,0.9231528451287552,-0.06920056680578325,3.486571023447547,3.5557715902533302,0.14274061990212072,0.0,-0.14274061990212072,6,0.0687058487300762,-0.0347347298858065,9.853722463475614e-42,True,3.5557715902533302,0.9231528451287552
D593,9.059271343121263e-05,0.10274109590410958,0.0,0.0,0.10265050319067837,0.0,4.078389509998205,200258.0,0.0,0.49171303641794606,-0.06916593516906719,3.484826158244234,3.553992093413301,0.9978249048395867,0.5068493150684932,-0.49097558977109357,6,0.0518025179959452,0.0042835169246395,0.0,True,3.553992093413301,0.49171303641794606
D528,0.0011329436291462754,0.12500136989041094,0.0,0.0417,0.12386842626126467,0.0417,4.072984943437252,206563.0,2.7147144383571622e-201,0.5386787041796093,-0.06909633723387963,3.4813195663864276,3.550415903620307,0.987221315932572,0.4520547945205479,-0.535166521412024,6,0.0546221493283141,0.0144053850262433,1.4513281035832521e-199,True,3.550415903620307,0.5386787041796093
D310,0.014440215078847199,0.28767123279452056,0.0,0.222222222,0.2732310177156734,0.222222222,4.062637599032139,222918.5,1.1927494847034686e-82,0.6605101045088531,-0.06896290205634305,3.47459662689356,3.543559528949903,0.9197933659597607,0.2876712328767123,-0.6321221330830484,6,0.0459996010321687,0.010425915799055,6.631687134951285e-82,True,3.543559528949903,0.6605101045088531
D757,0.0023629857376291463,0.12012233936986301,0.0,0.0769,0.11775935363223386,0.0769,4.0582604270875065,214818.0,1.2209745510372415e-174,0.600169836197457,-0.06890638222080507,3.471748956275631,3.540655338496436,0.9779771615008157,0.3835616438356164,-0.5944155176651993,6,0.0650481429837776,0.0129859463616516,2.6518041030340086e-173,True,3.540655338496436,0.600169836197457
D343,0.0012338666508972269,0.10958682830136986,0.0,0.0769,0.10835296165047263,0.0769,4.048272725464236,201247.0,7.067660991883928e-208,0.49908005393044164,-0.06877725304428445,3.4652429684503847,3.534020221494669,0.9904839586731919,0.4931506849315068,-0.4973332737416851,6,0.064285392764721,0.0239943251575449,4.9120243893593295e-206,True,3.534020221494669,0.49908005393044164
D62,0.0644295309380098,0.37324203752054796,0.0335,0.331113894,0.30881250658253817,0.29761389400000005,4.043396423523716,263273.0,2.246744247349825e-47,0.9611090005735696,-0.06871412540439312,3.462062373114487,3.53077649851888,0.3689505165851006,0.0,-0.3689505165851006,6,0.06219064106895,-0.0562994805654193,7.580035203437516e-47,True,3.53077649851888,0.9611090005735696
D96,0.11428607935943447,0.4146118721506849,0.1,0.366666667,0.30032579279125043,0.26666666699999997,4.033864095439916,262929.0,6.889977814988105e-46,0.9585465596996581,-0.06859056477326125,3.455836948439119,3.5244275132123803,0.05247417074497009,0.0,-0.05247417074497009,6,0.0646818440389723,-0.072565137149874,2.2376329819704358e-45,True,3.5244275132123803,0.9585465596996581
D519,0.005784880615008157,0.17061469489041092,0.0,0.0909,0.16482981427540278,0.0909,4.024269216074896,248140.5,3.076523739122976e-160,0.8483876734675635,-0.06846598347768612,3.4495600990538295,3.5180260825315157,0.9396411092985318,0.1095890410958904,-0.8300520682026414,6,0.0639598206428757,-0.0258746730824412,5.626799996553864e-159,True,3.5180260825315157,0.8483876734675635
D549,0.0025489396411092985,0.14554794520547945,0.0,0.0,0.14299900556437015,0.0,3.9944735814777044,194576.5,2.7521343903596192e-104,0.44939179274024754,-0.06807776960403931,3.430000501419954,3.4980782710239935,0.976889613920609,0.5342465753424658,-0.44264303857814324,6,0.0624149946419638,0.0233433654767051,2.1019048365933355e-103,True,3.4980782710239935,0.44939179274024754
D844,0.022974442631865145,0.3287671232876712,0.0,0.25,0.30579268065580606,0.25,3.9907550111301147,228294.0,2.8023460515887717e-63,0.7005519676417351,-0.06802917683181159,3.4275522244849714,3.495581401316783,0.8675910821098423,0.2328767123287671,-0.6347143697810751,6,0.0460611561660651,0.0151126225783646,1.2097083887293145e-62,True,3.495581401316783,0.7005519676417351
D843,0.022553797368134856,0.30878721464383563,0.0,0.166666667,0.2862334172757008,0.166666667,3.9811536611537695,229233.5,3.0171888477740355e-55,0.7075502618308045,-0.0679035637480316,3.4212233899350744,3.489126953683106,0.8371397498640566,0.2054794520547945,-0.631660297809262,6,0.0484837079599682,0.0231066451020737,1.2051415225304339e-54,True,3.489126953683106,0.7075502618308045
D559,0.00632137030995106,0.19041095890410958,0.0,0.1,0.18408958859415853,0.1,3.9804468416151293,205577.5,3.633185208900968e-79,0.5313377580132144,-0.0678943081799285,3.420757061448999,3.4886513696289274,0.9494290375203915,0.4383561643835616,-0.5110728731368299,6,0.0526573447466031,-0.0573703587799214,1.9129270607471006e-78,True,3.4886513696289274,0.5313377580132144
D530,0.0006163404021207177,0.07580502282191781,0.0,0.0,0.07518868241979709,0.0,3.971616441191526,192513.5,2.2931645573659555e-229,0.4340245964528071,-0.06777858047145355,3.4149262873151525,3.482704867786606,0.9953779227841218,0.5616438356164384,-0.43373408716768347,6,0.051121764270757,-0.0253272912397989,3.187498734738678e-227,True,3.482704867786606,0.4340245964528071
D550,0.0014048758382272976,0.11586484017808218,0.0,0.0417,0.11445996433985489,0.0417,3.922960839334107,206205.0,8.478387436053612e-165,0.5360119779212944,-0.06713771101769106,3.3826370016858602,3.4497747127035514,0.9820554649265906,0.4520547945205479,-0.5300006704060427,6,0.0671335326420856,0.0103826610761141,1.6367997966825723e-163,True,3.4497747127035514,0.5360119779212944
D591,0.0010586703306144645,0.10669906278082192,0.0,0.0526,0.10564039245020745,0.0526,3.912968506361895,210116.0,6.13179351844955e-212,0.5651448449499803,-0.06700542374331886,3.3759718976428323,3.4429773213861514,0.9866775421424687,0.4246575342465753,-0.5620200078958935,6,0.0588353250206307,-0.0274752347278092,5.326995619153047e-210,True,3.4429773213861514,0.5651448449499803
D522,0.0011552085761283308,0.10860469671232877,0.0,0.0357,0.10744948813620044,0.0357,3.9114999178696754,213532.5,1.1907366043662229e-192,0.5905942032224183,-0.06698596194239324,3.3749913427961964,3.4419773047385895,0.9820554649265906,0.3972602739726027,-0.5847951909539879,6,0.0588298278308902,-0.0328314726586705,4.355589158076447e-191,True,3.4419773047385895,0.5905942032224183
D944,0.0005855021544317563,0.10010379353424659,0.0,0.0,0.09951829137981483,0.0,3.8971858096484313,185170.0,1.0956526799255765e-175,0.3793231878552221,-0.06679601110802645,3.3654209432235804,3.432216954331607,0.9942903752039152,0.6164383561643836,-0.3778520190395316,6,0.0513266028426857,0.0109538815229692,2.45638262112347e-174,True,3.432216954331607,0.3793231878552221
D382,0.0016313213713974987,0.1780821917260274,0.0,0.0,0.17645087035462992,0.0,3.894589098953282,181341.0,8.318153226860525e-145,0.35080113522089884,-0.06676150180685099,3.3636822417205203,3.430443743527371,0.9932028276237085,0.6438356164383562,-0.3493672111853523,6,0.0538511599781466,0.048215675633242,1.25676445492784e-143,True,3.430443743527371,0.35080113522089884
D313,0.00731943573545405,0.17913403595890412,0.0,0.153846154,0.17181460022345008,0.153846154,3.8919786507778444,223496.0,3.677733293347096e-117,0.6648118766154922,-0.06672679431200697,3.3619335545145432,3.42866034882655,0.9488852637302883,0.3013698630136986,-0.6475154007165896,6,0.0444710033726718,0.0009606039416293,3.5500342206614325e-116,True,3.42866034882655,0.6648118766154922
D446,0.014191807833877107,0.21233013697260272,0.0,0.192307692,0.19813832913872562,0.192307692,3.88958060882449,237142.0,5.378376977781542e-65,0.7664603305846684,-0.0666948970774292,3.3603264582299253,3.4270213553073545,0.8395867319195215,0.1643835616438356,-0.6752031702756859,6,0.0631087652211188,-0.0288806666863883,2.3961358971526744e-64,True,3.4270213553073545,0.7664603305846684
D423,0.002861538023382273,0.1413078587671233,0.0,0.0526,0.13844632074374102,0.0526,3.884855150080894,214242.5,1.1477764630672887e-149,0.5958829620028754,-0.06663200331180531,3.3571576463126003,3.4237896496244056,0.9725394235997825,0.3835616438356164,-0.5889777797641661,6,0.0653712685298762,0.0301591991862962,1.7726769818483683e-148,True,3.4237896496244056,0.5958829620028754
D551,0.001102942419793366,0.10883165905479453,0.0,0.0,0.10772871663500116,0.0,3.8757404845206964,193748.5,4.772782029906036e-154,0.44322405714839075,-0.06651054606354606,3.351038197557842,3.417548743621388,0.988036976617727,0.547945205479452,-0.440091771138275,6,0.0632070043273026,-0.00858791880496,8.505342335345372e-153,True,3.417548743621388,0.44322405714839075
D281,0.0033985861881457315,0.18835616438356165,0.0,0.0,0.18495757819541592,0.0,3.871834516334802,184518.0,7.639622053865383e-115,0.3744664685244363,-0.06645843868027201,3.3484128420005512,3.4148712806808232,0.9874932028276238,0.6164383561643836,-0.3710548466632402,6,0.0389376227205015,0.0271422449394183,7.079383103248588e-114,True,3.4148712806808232,0.3744664685244363
D452,0.009458744118542686,0.20786926739726028,0.0,0.130434783,0.19841052327871758,0.130434783,3.8618778080044,223038.0,3.1051128757799454e-79,0.6614002547542961,-0.06632545287858244,3.341712543663373,3.4080379965419554,0.9148994018488309,0.2876712328767123,-0.6272281689721186,6,0.0601021417286618,-0.026527201252787,1.647369044784017e-78,True,3.4080379965419554,0.6614002547542961
D743,0.001625426367591082,0.10803212949315068,0.0,0.0227,0.1064067031255596,0.0227,3.843128888626664,212358.0,2.5986717679220797e-138,0.581845404366578,-0.06607441535418514,3.3290643790779852,3.3951387944321705,0.9709081022294725,0.3972602739726027,-0.5736478282568698,6,0.0698019621141792,0.0124036600584904,3.407692223973293e-137,True,3.3951387944321705,0.581845404366578
D531,0.0012852760899945625,0.15442054798630137,0.0,0.0,0.1531352718963068,0.0,3.83677463942763,185043.5,3.871198347652651e-168,0.3783808949175773,-0.0659891518773873,3.3247685014387756,3.3907576533161627,0.9937466014138119,0.6164383561643836,-0.3773082452494283,6,0.0549910986103988,-0.0320052086554467,7.687093861767408e-167,True,3.3907576533161627,0.3783808949175773
D48,0.09170970890565525,0.4159932716438356,0.0701,0.376973267,0.3242835627381804,0.306873267,3.834977030588452,262395.0,1.6290709455947866e-44,0.9545688171802722,-0.06596501407618219,3.323552353043805,3.3895173671199874,0.11011419249592169,0.0,-0.11011419249592169,6,0.0685300759263421,-0.0324135754861374,5.21753136953169e-44,True,3.3895173671199874,0.9545688171802722
D22,0.04141222270989668,0.24468682093150684,0.0345,0.206896552,0.20327459822161015,0.172396552,3.8205900607221324,260407.5,2.0088769007236346e-47,0.9397640170730073,-0.0657715615866398,3.313805527611802,3.379577089198442,0.43230016313213704,0.0,-0.43230016313213704,6,0.0594916271655507,-0.0323290790660327,6.810582663428908e-47,True,3.379577089198442,0.9397640170730073
D309,0.023722131593257204,0.3767123287671233,0.0,0.5,0.3529901971738661,0.5,3.8054025338931825,221756.0,3.848412132545548e-77,0.6518506931253585,-0.06556682705915409,3.3034902729256017,3.3690570999847558,0.9146275149537793,0.3013698630136986,-0.6132576519400806,6,0.0441599264215454,-0.0079350983419225,1.996004800088922e-76,True,3.3690570999847558,0.6518506931253585
D742,0.009465011175910823,0.16012222215068495,0.0,0.0889,0.15065721097477414,0.0889,3.805182816306347,226002.0,7.044303514846184e-53,0.6834789604236966,-0.06556386126881975,3.3033408458454687,3.3689047071142886,0.8417618270799347,0.2328767123287671,-0.6088851147511676,6,0.06814284730833,0.0421718856993551,2.6752955971683597e-52,True,3.3689047071142886,0.6834789604236966
