row_index,binary_selected,binary_k2,binary_k3,binary_k4,binary_k2_aligned_to_mixed,binary_k4_aligned_to_mixed,mixed_classical_selected,mixed_balanced_selected,mixed_balanced_k2,mixed_balanced_k4,Activity
40,1,1,2,3,1,3,1,2,1,3,1
41,3,0,0,0,0,0,1,1,0,0,0
42,3,0,0,0,0,0,1,1,0,0,0
43,1,1,2,3,1,3,1,2,1,3,0
44,3,0,0,0,0,0,1,1,0,0,1
45,1,1,2,3,1,3,1,2,1,3,1
46,3,0,0,0,0,0,1,1,0,0,1
47,2,1,1,2,1,2,0,0,1,2,1
48,3,0,0,0,0,0,1,1,0,0,0
49,1,1,2,3,1,3,1,2,1,3,0
50,1,1,2,3,1,3,1,2,1,3,1
51,2,1,1,2,1,2,0,0,1,2,1
52,0,0,0,1,0,1,1,3,0,1,0
53,1,1,2,3,1,3,1,2,1,3,0
54,2,1,1,2,1,2,0,0,1,2,1
55,2,1,1,2,1,2,0,0,1,2,1
56,3,0,0,0,0,0,1,1,0,0,0
57,0,0,0,1,0,1,1,3,0,1,0
58,1,1,2,3,1,3,1,2,1,3,1
59,2,1,1,2,1,2,0,0,1,2,1
60,1,1,2,3,1,3,1,2,1,3,0
61,3,0,0,0,0,0,1,1,0,0,1
62,1,1,2,3,1,3,1,2,1,3,0
63,2,1,1,2,1,2,0,0,1,2,0
64,1,1,2,3,1,3,1,2,1,3,0
65,2,1,1,2,1,2,0,0,1,2,0
66,3,0,0,0,0,0,1,1,0,0,0
67,1,1,2,3,1,3,1,2,1,3,1
68,3,0,0,0,0,0,1,1,0,0,0
69,3,0,0,0,0,0,1,1,0,0,1
70,3,0,0,0,0,0,1,1,0,0,0
71,1,1,2,3,1,3,1,2,1,3,0
72,0,0,0,1,0,1,1,3,0,1,1
73,1,1,2,3,1,3,1,2,1,3,0
74,1,1,2,3,1,3,1,2,1,3,1
75,1,1,2,3,1,3,1,2,1,3,1
76,3,0,0,0,0,0,1,1,0,0,1
77,3,0,0,0,0,0,1,1,0,0,1
78,3,0,0,0,0,0,1,1,0,0,1
79,0,0,0,1,0,1,1,3,0,1,0
80,2,1,1,2,1,2,0,0,1,2,1
81,3,0,0,0,0,0,1,1,0,0,0
82,3,0,0,0,0,0,1,1,0,0,1
83,2,1,1,2,1,2,0,0,1,2,1
84,1,1,2,3,1,3,1,2,1,3,1
85,3,0,0,0,0,0,1,1,0,0,1
86,3,0,0,0,0,0,1,1,0,0,0
87,1,1,2,3,1,3,1,2,1,3,0
88,2,1,1,2,1,2,0,0,1,2,1
89,2,1,1,2,1,2,0,0,1,2,0
90,2,1,1,2,1,2,0,0,1,2,1
91,3,0,0,0,0,0,1,1,0,0,1
92,2,1,1,2,1,2,0,0,1,2,1
93,0,0,0,1,0,1,1,3,0,1,1
94,2,1,1,2,1,2,0,0,1,2,1
95,2,1,1,2,1,2,0,0,1,2,1
96,3,0,0,0,0,0,1,1,0,0,1
97,0,0,0,1,0,1,1,3,0,1,1
98,1,1,2,3,1,3,1,2,1,3,1
99,3,0,0,0,0,0,1,1,0,0,0
100,0,0,0,1,0,1,1,3,0,1,0
101,3,0,0,0,0,0,1,1,0,0,1
102,1,1,2,3,1,3,1,2,1,3,0
103,3,0,0,0,0,0,1,1,0,0,1
104,2,1,1,2,1,2,0,0,1,2,0
105,2,1,1,2,1,2,0,0,1,2,1
106,2,1,1,2,1,2,0,0,1,2,1
107,1,1,2,3,1,3,1,2,1,3,1
108,0,0,0,1,0,1,1,3,0,1,0
109,1,1,2,3,1,3,1,2,1,3,1
110,3,0,0,0,0,0,1,1,0,0,0
111,0,0,0,1,0,1,1,3,0,1,0
112,2,1,1,2,1,2,0,0,1,2,0
113,2,1,1,2,1,2,0,0,1,2,1
114,1,1,2,3,1,3,1,2,1,3,1
115,1,1,2,3,1,3,1,2,1,3,0
116,2,1,1,2,1,2,0,0,1,2,1
117,2,1,1,2,1,2,0,0,1,2,0
118,2,1,1,2,1,2,0,0,1,2,1
119,1,1,2,3,1,3,1,2,1,3,1
120,3,0,0,0,0,0,1,1,0,0,0
121,1,1,2,3,1,3,1,2,1,3,0
122,1,1,2,3,1,3,1,2,1,3,1
123,1,1,2,3,1,3,1,2,1,3,0
124,1,1,2,3,1,3,1,2,1,3,1
125,2,1,1,2,1,2,0,0,1,2,1
126,1,1,2,3,1,3,1,2,1,3,1
127,3,0,0,0,0,0,1,1,0,0,0
128,2,1,1,2,1,2,0,0,1,2,1
129,2,1,1,2,1,2,0,0,1,2,1
130,1,1,2,3,1,3,1,2,1,3,0
131,2,1,1,2,1,2,0,0,1,2,1
132,3,0,0,0,0,0,1,1,0,0,1
133,2,1,1,2,1,2,0,0,1,2,1
134,1,1,2,3,1,3,1,2,1,3,1
135,3,0,0,0,0,0,1,1,0,0,0
136,3,0,0,0,0,0,1,1,0,0,0
137,0,0,0,1,0,1,1,3,0,1,0
138,1,1,2,3,1,3,1,2,1,3,0
139,1,1,2,3,1,3,1,2,1,3,0
140,2,1,1,2,1,2,0,0,1,2,1
141,1,1,2,3,1,3,1,2,1,3,1
142,1,1,2,3,1,3,1,2,1,3,1
143,2,1,1,2,1,2,0,0,1,2,1
144,0,0,0,1,0,1,1,3,0,1,1
145,1,1,2,3,1,3,1,2,1,3,1
146,2,1,1,2,1,2,0,0,1,2,1
147,2,1,1,2,1,2,0,0,1,2,1
148,2,1,1,2,1,2,0,0,1,2,0
149,0,0,0,1,0,1,1,3,0,1,0
150,0,0,0,1,0,1,1,3,0,1,0
151,1,1,2,3,1,3,1,2,1,3,1
152,2,1,1,2,1,2,0,0,1,2,1
153,1,1,2,3,1,3,1,2,1,3,1
154,2,1,1,2,1,2,0,0,1,2,1
155,1,1,2,3,1,3,1,2,1,3,0
156,3,0,0,0,0,0,1,1,0,0,1
157,2,1,1,2,1,2,0,0,1,2,0
158,1,1,2,3,1,3,1,2,1,3,0
159,0,0,0,1,0,1,1,3,0,1,1
160,1,1,2,3,1,3,1,2,1,3,0
161,0,0,0,1,0,1,1,3,0,1,0
162,3,0,0,0,0,0,1,1,0,0,1
163,3,0,0,0,0,0,1,1,0,0,0
164,1,1,2,3,1,3,1,2,1,3,0
165,0,0,0,1,0,1,1,3,0,1,0
166,0,0,0,1,0,1,1,3,0,1,0
167,3,0,0,0,0,0,1,1,0,0,1
168,1,1,2,3,1,3,1,2,1,3,1
169,3,0,0,0,0,0,1,1,0,0,0
170,2,1,1,2,1,2,0,0,1,2,1
171,3,0,0,0,0,0,1,1,0,0,0
172,2,1,1,2,1,2,0,0,1,2,1
173,2,1,1,2,1,2,0,0,1,2,1
174,2,1,1,2,1,2,0,0,1,2,1
175,2,1,1,2,1,2,0,0,1,2,1
176,2,1,1,2,1,2,0,0,1,2,0
177,2,1,1,2,1,2,0,0,1,2,1
178,0,0,0,1,0,1,1,3,0,1,0
179,2,1,1,2,1,2,0,0,1,2,0
180,1,1,2,3,1,3,1,2,1,3,0
181,3,0,0,0,0,0,1,1,0,0,1
182,2,1,1,2,1,2,0,0,1,2,0
183,0,0,0,1,0,1,1,3,0,1,1
184,1,1,2,3,1,3,1,2,1,3,1
185,3,0,0,0,0,0,1,1,0,0,1
186,3,0,0,0,0,0,1,1,0,0,1
187,1,1,2,3,1,3,1,2,1,3,1
188,0,0,0,1,0,1,1,3,0,1,0
189,1,1,2,3,1,3,1,2,1,3,0
190,1,1,2,3,1,3,1,2,1,3,1
191,3,0,0,0,0,0,1,1,0,0,1
192,3,0,0,0,0,0,1,1,0,0,1
193,0,0,0,1,0,1,1,3,0,1,1
194,2,1,1,2,1,2,0,0,1,2,0
195,0,0,0,1,0,1,1,3,0,1,1
196,2,1,1,2,1,2,0,0,1,2,1
197,1,1,2,3,1,3,1,2,1,3,1
198,1,1,2,3,1,3,1,2,1,3,0
199,1,1,2,3,1,3,1,2,1,3,0
200,2,1,1,2,1,2,0,0,1,2,1
201,0,0,0,1,0,1,1,3,0,1,1
202,2,1,1,2,1,2,0,0,1,2,0
203,2,1,1,2,1,2,0,0,1,2,1
204,3,0,0,0,0,0,1,1,0,0,1
205,3,0,0,0,0,0,1,1,0,0,0
206,3,0,0,0,0,0,1,1,0,0,0
207,1,1,2,3,1,3,1,2,1,3,1
208,0,0,0,1,0,1,1,3,0,1,1
209,2,1,1,2,1,2,0,0,1,2,0
210,2,1,1,2,1,2,0,0,1,2,0
211,2,1,1,2,1,2,0,0,1,2,1
212,2,1,1,2,1,2,0,0,1,2,0
213,3,0,0,0,0,0,1,1,0,0,0
214,3,0,0,0,0,0,1,1,0,0,1
215,2,1,1,2,1,2,0,0,1,2,0
216,0,0,0,1,0,1,1,3,0,1,1
217,3,0,0,0,0,0,1,1,0,0,0
218,3,0,0,0,0,0,1,1,0,0,1
219,1,1,2,3,1,3,1,2,1,3,1
220,0,0,0,1,0,1,1,3,0,1,0
221,3,0,0,0,0,0,1,1,0,0,0
222,3,0,0,0,0,0,1,1,0,0,1
223,1,1,2,3,1,3,1,2,1,3,1
224,2,1,1,2,1,2,0,0,1,2,1
225,1,1,2,3,1,3,1,2,1,3,0
226,1,1,2,3,1,3,1,2,1,3,0
227,3,0,0,0,0,0,1,1,0,0,0
228,1,1,2,3,1,3,1,2,1,3,1
229,2,1,1,2,1,2,0,0,1,2,1
230,0,0,0,1,0,1,1,3,0,1,0
231,2,1,1,2,1,2,0,0,1,2,1
232,2,1,1,2,1,2,0,0,1,2,1
233,0,0,0,1,0,1,1,3,0,1,1
234,1,1,2,3,1,3,1,2,1,3,0
235,2,1,1,2,1,2,0,0,1,2,1
236,2,1,1,2,1,2,0,0,1,2,1
237,1,1,2,3,1,3,1,2,1,3,0
238,0,0,0,1,0,1,1,3,0,1,1
239,1,1,2,3,1,3,1,2,1,3,0
240,2,1,1,2,1,2,0,0,1,2,1
241,3,0,0,0,0,0,1,1,0,0,0
242,2,1,1,2,1,2,0,0,1,2,0
243,2,1,1,2,1,2,0,0,1,2,0
244,0,0,0,1,0,1,1,3,0,1,0
245,0,0,0,1,0,1,1,3,0,1,1
246,3,0,0,0,0,0,1,1,0,0,0
247,1,1,2,3,1,3,1,2,1,3,1
248,1,1,2,3,1,3,1,2,1,3,0
249,2,1,1,2,1,2,0,0,1,2,0
250,1,1,2,3,1,3,1,2,1,3,1
251,0,0,0,1,0,1,1,3,0,1,1
252,0,0,0,1,0,1,1,3,0,1,0
253,1,1,2,3,1,3,1,2,1,3,0
254,1,1,2,3,1,3,1,2,1,3,1
255,0,0,0,1,0,1,1,3,0,1,1
256,2,1,1,2,1,2,0,0,1,2,0
257,3,0,0,0,0,0,1,1,0,0,1
258,3,0,0,0,0,0,1,1,0,0,1
259,2,1,1,2,1,2,0,0,1,2,1
260,2,1,1,2,1,2,0,0,1,2,1
261,1,1,2,3,1,3,1,2,1,3,1
262,2,1,1,2,1,2,0,0,1,2,1
263,2,1,1,2,1,2,0,0,1,2,1
264,2,1,1,2,1,2,0,0,1,2,0
265,2,1,1,2,1,2,0,0,1,2,0
266,1,1,2,3,1,3,1,2,1,3,0
267,3,0,0,0,0,0,1,1,0,0,0
268,1,1,2,3,1,3,1,2,1,3,1
269,3,0,0,0,0,0,1,1,0,0,0
270,1,1,2,3,1,3,1,2,1,3,1
271,2,1,1,2,1,2,0,0,1,2,1
272,3,0,0,0,0,0,1,1,0,0,0
273,1,1,2,3,1,3,1,2,1,3,0
274,2,1,1,2,1,2,0,0,1,2,1
275,3,0,0,0,0,0,1,1,0,0,1
276,2,1,1,2,1,2,0,0,1,2,1
277,0,0,0,1,0,1,1,3,0,1,1
278,1,1,2,3,1,3,1,2,1,3,1
279,0,0,0,1,0,1,1,3,0,1,1
280,2,1,1,2,1,2,0,0,1,2,0
281,3,0,0,0,0,0,1,1,0,0,0
282,2,1,1,2,1,2,0,0,1,2,1
283,1,1,2,3,1,3,1,2,1,3,1
284,2,1,1,2,1,2,0,0,1,2,1
285,2,1,1,2,1,2,0,0,1,2,0
286,2,1,1,2,1,2,0,0,1,2,1
287,3,0,0,0,0,0,1,1,0,0,1
288,1,1,2,3,1,3,1,2,1,3,0
289,1,1,2,3,1,3,1,2,1,3,0
290,3,0,0,0,0,0,1,1,0,0,1
291,1,1,2,3,1,3,1,2,1,3,1
292,1,1,2,3,1,3,1,2,1,3,1
293,2,1,1,2,1,2,0,0,1,2,1
294,1,1,2,3,1,3,1,2,1,3,1
295,1,1,2,3,1,3,1,2,1,3,1
296,1,1,2,3,1,3,1,2,1,3,0
297,1,1,2,3,1,3,1,2,1,3,1
298,0,0,0,1,0,1,1,3,0,1,0
299,2,1,1,2,1,2,0,0,1,2,1
300,2,1,1,2,1,2,0,0,1,2,1
301,3,0,0,0,0,0,1,1,0,0,0
302,1,1,2,3,1,3,1,2,1,3,1
303,1,1,2,3,1,3,1,2,1,3,1
304,3,0,0,0,0,0,1,1,0,0,1
305,1,1,2,3,1,3,1,2,1,3,0
306,1,1,2,3,1,3,1,2,1,3,0
307,3,0,0,0,0,0,1,1,0,0,0
308,3,0,0,0,0,0,1,1,0,0,0
309,1,1,2,3,1,3,1,2,1,3,1
310,2,1,1,2,1,2,0,0,1,2,0
311,2,1,1,2,1,2,0,0,1,2,1
312,1,1,2,3,1,3,1,2,1,3,0
313,1,1,2,3,1,3,1,2,1,3,0
314,1,1,2,3,1,3,1,2,1,3,0
315,2,1,1,2,1,2,0,0,1,2,1
316,2,1,1,2,1,2,0,0,1,2,0
317,1,1,2,3,1,3,1,2,1,3,1
318,3,0,0,0,0,0,1,1,0,0,0
319,1,1,2,3,1,3,1,2,1,3,1
320,3,0,0,0,0,0,1,1,0,0,1
321,2,1,1,2,1,2,0,0,1,2,0
322,0,0,0,1,0,1,1,3,0,1,0
323,1,1,2,3,1,3,1,2,1,3,1
324,1,1,2,3,1,3,1,2,1,3,0
325,2,1,1,2,1,2,0,0,1,2,0
326,1,1,2,3,1,3,1,2,1,3,1
327,2,1,1,2,1,2,0,0,1,2,1
328,1,1,2,3,1,3,1,2,1,3,1
329,1,1,2,3,1,3,1,2,1,3,0
330,1,1,2,3,1,3,1,2,1,3,0
331,3,0,0,0,0,0,1,1,0,0,1
332,1,1,2,3,1,3,1,2,1,3,1
333,1,1,2,3,1,3,1,2,1,3,1
334,3,0,0,0,0,0,1,1,0,0,0
335,0,0,0,1,0,1,1,3,0,1,0
336,2,1,1,2,1,2,0,0,1,2,0
337,3,0,0,0,0,0,1,1,0,0,1
338,2,1,1,2,1,2,0,0,1,2,0
339,2,1,1,2,1,2,0,0,1,2,1
340,3,0,0,0,0,0,1,1,0,0,1
341,2,1,1,2,1,2,0,0,1,2,0
342,3,0,0,0,0,0,1,1,0,0,1
343,1,1,2,3,1,3,1,2,1,3,0
344,2,1,1,2,1,2,0,0,1,2,1
345,2,1,1,2,1,2,0,0,1,2,0
346,3,0,0,0,0,0,1,1,0,0,1
347,1,1,2,3,1,3,1,2,1,3,1
348,0,0,0,1,0,1,1,3,0,1,0
349,0,0,0,1,0,1,1,3,0,1,1
350,1,1,2,3,1,3,1,2,1,3,0
351,1,1,2,3,1,3,1,2,1,3,0
352,1,1,2,3,1,3,1,2,1,3,0
353,0,0,0,1,0,1,1,3,0,1,1
354,1,1,2,3,1,3,1,2,1,3,1
355,3,0,0,0,0,0,1,1,0,0,0
356,0,0,0,1,0,1,1,3,0,1,0
357,1,1,2,3,1,3,1,2,1,3,0
358,1,1,2,3,1,3,1,2,1,3,1
359,0,0,0,1,0,1,1,3,0,1,1
360,0,0,0,1,0,1,1,3,0,1,0
361,1,1,2,3,1,3,1,2,1,3,1
362,2,1,1,2,1,2,0,0,1,2,0
363,2,1,1,2,1,2,0,0,1,2,1
364,2,1,1,2,1,2,0,0,1,2,1
365,1,1,2,3,1,3,1,2,1,3,1
366,3,0,0,0,0,0,1,1,0,0,0
367,2,1,1,2,1,2,0,0,1,2,1
368,1,1,2,3,1,3,1,2,1,3,1
369,1,1,2,3,1,3,1,2,1,3,1
370,1,1,2,3,1,3,1,2,1,3,1
371,0,0,0,1,0,1,1,3,0,1,0
372,1,1,2,3,1,3,1,2,1,3,1
373,1,1,2,3,1,3,1,2,1,3,1
374,1,1,2,3,1,3,1,2,1,3,1
375,0,0,0,1,0,1,1,3,0,1,0
376,3,0,0,0,0,0,1,1,0,0,1
377,2,1,1,2,1,2,0,0,1,2,1
378,1,1,2,3,1,3,1,2,1,3,0
379,2,1,1,2,1,2,0,0,1,2,1
380,0,0,0,1,0,1,1,3,0,1,0
381,1,1,2,3,1,3,1,2,1,3,0
382,3,0,0,0,0,0,1,1,0,0,0
383,3,0,0,0,0,0,1,1,0,0,0
384,1,1,2,3,1,3,1,2,1,3,0
385,2,1,1,2,1,2,0,0,1,2,1
386,3,0,0,0,0,0,1,1,0,0,0
387,1,1,2,3,1,3,1,2,1,3,1
388,3,0,0,0,0,0,1,1,0,0,1
389,3,0,0,0,0,0,1,1,0,0,1
390,2,1,1,2,1,2,0,0,1,2,1
391,3,0,0,0,0,0,1,1,0,0,1
392,1,1,2,3,1,3,1,2,1,3,1
393,3,0,0,0,0,0,1,1,0,0,0
394,3,0,0,0,0,0,1,1,0,0,1
395,1,1,2,3,1,3,1,2,1,3,0
396,0,0,0,1,0,1,1,3,0,1,0
397,1,1,2,3,1,3,1,2,1,3,0
398,2,1,1,2,1,2,0,0,1,2,1
399,1,1,2,3,1,3,1,2,1,3,0
400,3,0,0,0,0,0,1,1,0,0,1
401,3,0,0,0,0,0,1,1,0,0,1
402,3,0,0,0,0,0,1,1,0,0,1
403,2,1,1,2,1,2,0,0,1,2,1
404,1,1,2,3,1,3,1,2,1,3,0
405,3,0,0,0,0,0,1,1,0,0,1
406,3,0,0,0,0,0,1,1,0,0,1
407,3,0,0,0,0,0,1,1,0,0,0
408,2,1,1,2,1,2,0,0,1,2,1
409,0,0,0,1,0,1,1,3,0,1,0
410,3,0,0,0,0,0,1,1,0,0,1
411,1,1,2,3,1,3,1,2,1,3,1
412,1,1,2,3,1,3,1,2,1,3,1
413,3,0,0,0,0,0,1,1,0,0,0
414,3,0,0,0,0,0,1,1,0,0,1
415,1,1,2,3,1,3,1,2,1,3,0
416,2,1,1,2,1,2,0,0,1,2,0
417,0,0,0,1,0,1,1,3,0,1,1
418,1,1,2,3,1,3,1,2,1,3,1
419,3,0,0,0,0,0,1,1,0,0,1
420,2,1,1,2,1,2,0,0,1,2,1
421,3,0,0,0,0,0,1,1,0,0,1
422,2,1,1,2,1,2,0,0,1,2,1
423,2,1,1,2,1,2,0,0,1,2,1
424,1,1,2,3,1,3,1,2,1,3,1
425,2,1,1,2,1,2,0,0,1,2,1
426,0,0,0,1,0,1,1,1,0,0,1
427,2,1,1,2,1,2,0,0,1,2,1
428,2,1,1,2,1,2,0,0,1,2,1
429,3,0,0,0,0,0,1,1,0,0,1
430,1,1,2,3,1,3,1,2,1,3,1
431,2,1,1,2,1,2,0,0,1,2,1
432,1,1,2,3,1,3,1,2,1,3,0
433,2,1,1,2,1,2,0,0,1,2,0
434,2,1,1,2,1,2,0,0,1,2,1
435,2,1,1,2,1,2,0,0,1,2,1
436,1,1,2,3,1,3,1,2,1,3,0
437,1,1,2,3,1,3,1,2,1,3,0
438,1,1,2,3,1,3,1,2,1,3,1
439,1,1,2,3,1,3,1,2,1,3,1
440,1,1,2,3,1,3,1,2,1,3,0
441,2,1,1,2,1,2,0,0,1,2,1
442,2,1,1,2,1,2,0,0,1,2,1
443,3,0,0,0,0,0,1,1,0,0,0
444,1,1,2,3,1,3,1,2,1,3,0
445,1,1,2,3,1,3,1,2,1,3,1
446,3,0,0,0,0,0,1,1,0,0,0
447,3,0,0,0,0,0,1,1,0,0,0
448,3,0,0,0,0,0,1,1,0,0,0
449,2,1,1,2,1,2,0,0,1,2,0
450,1,1,2,3,1,3,1,2,1,3,1
451,3,0,0,0,0,0,1,1,0,0,0
452,3,0,0,0,0,0,1,1,0,0,0
453,3,0,0,0,0,0,1,1,0,0,0
454,3,0,0,0,0,0,1,1,0,0,1
455,2,1,1,2,1,2,0,0,1,2,0
456,1,1,2,3,1,3,1,2,1,3,1
457,3,0,0,0,0,0,1,1,0,0,1
458,0,0,0,1,0,1,1,3,0,1,0
459,3,0,0,0,0,0,1,1,0,0,0
460,1,1,2,3,1,3,1,2,1,3,1
461,2,1,1,2,1,2,0,0,1,2,1
462,3,0,0,0,0,0,1,1,0,0,1
463,2,1,1,2,1,2,0,0,1,2,1
464,1,1,2,3,1,3,1,2,1,3,1
465,2,1,1,2,1,2,0,0,1,2,0
466,1,1,2,3,1,3,1,2,1,3,0
467,3,0,0,0,0,0,1,1,0,0,0
468,3,0,0,0,0,0,1,1,0,0,1
469,3,0,0,0,0,0,1,1,0,0,0
470,3,0,0,0,0,0,1,1,0,0,1
471,2,1,1,2,1,2,0,0,1,2,1
472,2,1,1,2,1,2,0,0,1,2,1
473,1,1,2,3,1,3,1,2,1,3,0
474,3,0,0,0,0,0,1,1,0,0,1
475,1,1,2,3,1,3,1,2,1,3,1
476,2,1,1,2,1,2,0,0,1,2,1
477,1,1,2,3,1,3,1,2,1,3,1
478,1,1,2,3,1,3,1,2,1,3,0
479,1,1,2,3,1,3,1,2,1,3,0
480,1,1,2,3,1,3,1,2,1,3,1
481,2,1,1,2,1,2,0,0,1,2,0
482,0,0,0,1,0,1,1,3,0,1,1
483,1,1,2,3,1,3,1,2,1,3,1
484,1,1,2,3,1,3,1,2,1,3,0
485,2,1,1,2,1,2,0,0,1,2,0
486,1,1,2,3,1,3,1,2,1,3,0
487,1,1,2,3,1,3,1,2,1,3,0
488,1,1,2,3,1,3,1,2,1,3,1
489,2,1,1,2,1,2,0,0,1,2,1
490,1,1,2,3,1,3,1,2,1,3,0
491,2,1,1,2,1,2,0,0,1,2,1
492,1,1,2,3,1,3,1,2,1,3,1
493,1,1,2,3,1,3,1,2,1,3,1
494,0,0,0,1,0,1,1,3,0,1,0
495,3,0,0,0,0,0,1,1,0,0,1
496,1,1,2,3,1,3,1,2,1,3,0
497,3,0,0,0,0,0,1,1,0,0,1
498,0,0,0,1,0,1,1,3,0,1,0
499,3,0,0,0,0,0,1,1,0,0,0
500,2,1,1,2,1,2,0,0,1,2,0
501,1,1,2,3,1,3,1,2,1,3,0
502,1,1,2,3,1,3,1,2,1,3,0
503,2,1,1,2,1,2,0,0,1,2,0
504,3,0,0,0,0,0,1,1,0,0,1
505,2,1,1,2,1,2,0,0,1,2,1
506,1,1,2,3,1,3,1,2,1,3,1
507,2,1,1,2,1,2,0,0,1,2,0
508,1,1,2,3,1,3,1,2,1,3,1
509,1,1,2,3,1,3,1,2,1,3,1
510,3,0,0,0,0,0,1,1,0,0,0
511,3,0,0,0,0,0,1,1,0,0,1
512,3,0,0,0,0,0,1,1,0,0,1
513,2,1,1,2,1,2,0,0,1,2,1
514,0,0,0,1,0,1,1,3,0,1,0
515,3,0,0,0,0,0,1,1,0,0,1
516,3,0,0,0,0,0,1,1,0,0,1
517,0,0,0,1,0,1,1,3,0,1,0
518,1,1,2,3,1,3,1,2,1,3,0
519,0,0,0,1,0,1,1,3,0,1,0
520,3,0,0,0,0,0,1,1,0,0,1
521,3,0,0,0,0,0,1,1,0,0,0
522,0,0,0,1,0,1,1,3,0,1,0
523,1,1,2,3,1,3,1,2,1,3,0
524,1,1,2,3,1,3,1,2,1,3,1
525,3,0,0,0,0,0,1,1,0,0,0
526,1,1,2,3,1,3,1,2,1,3,1
527,1,1,2,3,1,3,1,2,1,3,1
528,2,1,1,2,1,2,0,0,1,2,0
529,2,1,1,2,1,2,0,0,1,2,1
530,2,1,1,2,1,2,0,0,1,2,1
531,2,1,1,2,1,2,0,0,1,2,0
532,1,1,2,3,1,3,1,2,1,3,1
533,3,0,0,0,0,0,1,1,0,0,0
534,2,1,1,2,1,2,0,0,1,2,1
535,3,0,0,0,0,0,1,1,0,0,1
536,0,0,0,1,0,1,1,3,0,1,1
537,2,1,1,2,1,2,0,0,1,2,0
538,2,1,1,2,1,2,0,0,1,2,1
539,0,0,0,1,0,1,1,3,0,1,0
540,1,1,2,3,1,3,1,2,1,3,0
541,3,0,0,0,0,0,1,1,0,0,1
542,1,1,2,3,1,3,1,2,1,3,1
543,1,1,2,3,1,3,1,2,1,3,1
544,1,1,2,3,1,3,1,2,1,3,0
545,3,0,0,0,0,0,1,1,0,0,0
546,3,0,0,0,0,0,1,1,0,0,0
547,2,1,1,2,1,2,0,0,1,2,1
548,2,1,1,2,1,2,0,0,1,2,1
549,1,1,2,3,1,3,1,2,1,3,0
550,3,0,0,0,0,0,1,1,0,0,0
551,3,0,0,0,0,0,1,1,0,0,0
552,1,1,2,3,1,3,1,2,1,3,0
553,0,0,0,1,0,1,1,3,0,1,0
554,1,1,2,3,1,3,1,2,1,3,1
555,1,1,2,3,1,3,1,2,1,3,1
556,0,0,0,1,0,1,1,3,0,1,0
557,3,0,0,0,0,0,1,1,0,0,0
558,2,1,1,2,1,2,0,0,1,2,0
559,3,0,0,0,0,0,1,1,0,0,1
560,0,0,0,1,0,1,1,3,0,1,1
561,3,0,0,0,0,0,1,1,0,0,1
562,3,0,0,0,0,0,1,1,0,0,1
563,1,1,2,3,1,3,1,2,1,3,0
564,1,1,2,3,1,3,1,2,1,3,1
565,2,1,1,2,1,2,0,0,1,2,1
566,2,1,1,2,1,2,0,0,1,2,1
567,2,1,1,2,1,2,0,0,1,2,1
568,2,1,1,2,1,2,0,0,1,2,1
569,1,1,2,3,1,3,1,2,1,3,1
570,1,1,2,3,1,3,1,2,1,3,1
571,2,1,1,2,1,2,0,0,1,2,1
572,3,0,0,0,0,0,1,1,0,0,0
573,3,0,0,0,0,0,1,1,0,0,0
